record_type,instrument,month,basis,timeframe,item_count,first_utc,last_utc,logical_path,bytes,sha256,contract_sha256
TICKS,EURUSD,2021-07,Bid/Ask,TICK,1342684,2021-07-01T00:00:00.099Z,2021-07-30T20:59:56.206Z,normalized/EURUSD/year=2021/month=07/ticks.parquet,15650544,968d12a13ac36b787fcadb0ee73fd04c4a7dc5a1d307d843a39b2f330d269bcb,aa2a593fe0929f38f37a2263f18c14d3bfd35b3c7fbd5bdffb5d8a04efbb74c7
BARS,EURUSD,2021-07,Bid,M5,6300,2021-07-01T00:00:00.000Z,2021-07-30T20:55:00.000Z,bars/EURUSD/bid/M5/year=2021/month=07/bars.parquet,140397,ccb974261bf05cfa4ee9f0ea8e765dcf07423118d466a45fe2a661651d1802b6,
BARS,EURUSD,2021-07,Bid,H1,525,2021-07-01T00:00:00.000Z,2021-07-30T20:00:00.000Z,bars/EURUSD/bid/H1/year=2021/month=07/bars.parquet,21486,662d7bbde934193edc1a9491d5c7c74bcdba35608df3e5797d04993a075fc0ba,
BARS,EURUSD,2021-07,Ask,M5,6300,2021-07-01T00:00:00.000Z,2021-07-30T20:55:00.000Z,bars/EURUSD/ask/M5/year=2021/month=07/bars.parquet,140322,2299dbb14b8ca10b43ac79d67eb7439e1c1db01b812461d2b9bd9d390806f545,
BARS,EURUSD,2021-07,Ask,H1,525,2021-07-01T00:00:00.000Z,2021-07-30T20:00:00.000Z,bars/EURUSD/ask/H1/year=2021/month=07/bars.parquet,21487,c4a09e1bd86eecef2a3d54d106ec367665d4dada39604f9181fa507c7c5157fd,
BARS,EURUSD,2021-07,Mid,M5,6300,2021-07-01T00:00:00.000Z,2021-07-30T20:55:00.000Z,bars/EURUSD/mid/M5/year=2021/month=07/bars.parquet,160923,4e4c7b9139935c07cd1f8c838c7975750f2b8449240a40dc4dd449590e5d1009,
BARS,EURUSD,2021-07,Mid,H1,525,2021-07-01T00:00:00.000Z,2021-07-30T20:00:00.000Z,bars/EURUSD/mid/H1/year=2021/month=07/bars.parquet,22690,4e7ba4c8ba636390b766d6eb895167be9d0240ea18d2f60ca720a4494c374fe9,
TICKS,EURUSD,2021-08,Bid/Ask,TICK,953698,2021-08-01T21:04:14.474Z,2021-08-31T23:59:51.923Z,normalized/EURUSD/year=2021/month=08/ticks.parquet,11492058,5e12320e8d47c43eff9fb759fb04265dac9c1502d29488fb958f38653d3800a6,fe698bfcec63ece6d6bc97e9633f9b470984c70bfe4cdf1a76d279766da9e93a
BARS,EURUSD,2021-08,Bid,M5,6371,2021-08-01T21:00:00.000Z,2021-08-31T23:55:00.000Z,bars/EURUSD/bid/M5/year=2021/month=08/bars.parquet,146828,e59f82f8af4d3b9fef3406d7dd60999912d5c8d50752264db4c5d04fa19eafb1,
BARS,EURUSD,2021-08,Bid,H1,531,2021-08-01T21:00:00.000Z,2021-08-31T23:00:00.000Z,bars/EURUSD/bid/H1/year=2021/month=08/bars.parquet,21794,21876c4b4ae19fe95ac67f2de169848a89a8d41d10b3b2b859ed8e8d23ebee02,
BARS,EURUSD,2021-08,Ask,M5,6371,2021-08-01T21:00:00.000Z,2021-08-31T23:55:00.000Z,bars/EURUSD/ask/M5/year=2021/month=08/bars.parquet,146801,ce0c21594224603836febd6cd5d178c5bcb059b72b31c343261f00419e9fbf39,
BARS,EURUSD,2021-08,Ask,H1,531,2021-08-01T21:00:00.000Z,2021-08-31T23:00:00.000Z,bars/EURUSD/ask/H1/year=2021/month=08/bars.parquet,21882,e212569b0677497ed08f177ee749d12ea9b791b9889a0bde7522b0b75596f4f9,
BARS,EURUSD,2021-08,Mid,M5,6371,2021-08-01T21:00:00.000Z,2021-08-31T23:55:00.000Z,bars/EURUSD/mid/M5/year=2021/month=08/bars.parquet,164409,ea655cc4c292dd377fe37086e98b2b87d49fd14797f3b0f3f936fb65731fde76,
BARS,EURUSD,2021-08,Mid,H1,531,2021-08-01T21:00:00.000Z,2021-08-31T23:00:00.000Z,bars/EURUSD/mid/H1/year=2021/month=08/bars.parquet,22825,b22102a23bdc5dd8a19fb8736fdfa638943edfcbcaa0255c03f012a25b560b80,
TICKS,EURUSD,2021-09,Bid/Ask,TICK,1226796,2021-09-01T00:00:00.192Z,2021-09-30T23:59:53.373Z,normalized/EURUSD/year=2021/month=09/ticks.parquet,14422208,c9ef1054d124b6c1c94072fcc9ce781118a168067911f12d6bc6537955bcde54,9c0d61ed3e696288175198df63421356d22e0141c618db0c381bf1ee4aef1721
BARS,EURUSD,2021-09,Bid,M5,6336,2021-09-01T00:00:00.000Z,2021-09-30T23:55:00.000Z,bars/EURUSD/bid/M5/year=2021/month=09/bars.parquet,151176,1f2b882ab6783b06704f7cf383fdb9f3d20ad5686191e560a900cf8eafdde2ad,
BARS,EURUSD,2021-09,Bid,H1,528,2021-09-01T00:00:00.000Z,2021-09-30T23:00:00.000Z,bars/EURUSD/bid/H1/year=2021/month=09/bars.parquet,22235,5d575e13dda821196b2e855a400106e6f890b66f810410ce9bed4dbbfc9a727c,
BARS,EURUSD,2021-09,Ask,M5,6336,2021-09-01T00:00:00.000Z,2021-09-30T23:55:00.000Z,bars/EURUSD/ask/M5/year=2021/month=09/bars.parquet,151373,19d2aa9dd625ba94f13ae2b84cdca973e137b1b9ca2d893f3f929901feb6a031,
BARS,EURUSD,2021-09,Ask,H1,528,2021-09-01T00:00:00.000Z,2021-09-30T23:00:00.000Z,bars/EURUSD/ask/H1/year=2021/month=09/bars.parquet,22162,d7776a326a5ed9b46b1426d6c923f868159c71eb76051e2414832f0c3cf82a12,
BARS,EURUSD,2021-09,Mid,M5,6336,2021-09-01T00:00:00.000Z,2021-09-30T23:55:00.000Z,bars/EURUSD/mid/M5/year=2021/month=09/bars.parquet,166895,c7fe74f757f675132743872f8da7fd809cefa2f434c4d0ca9a8f517c84f02a8f,
BARS,EURUSD,2021-09,Mid,H1,528,2021-09-01T00:00:00.000Z,2021-09-30T23:00:00.000Z,bars/EURUSD/mid/H1/year=2021/month=09/bars.parquet,22900,ae9e6105f879909e6778e8521b47597603da756dda4823c71281af94426211c4,
TICKS,EURUSD,2021-10,Bid/Ask,TICK,1155325,2021-10-01T00:00:00.969Z,2021-10-31T23:59:59.177Z,normalized/EURUSD/year=2021/month=10/ticks.parquet,13601354,c31c0a2dc58ebe5fcfd7a4e1b69125b639ab1170715cdb16ed038b50c4a111cb,9a45681da7cd4987d037effa6a85f29d89fe8b8dbde00a1fcc464bfdc4b6d0de
BARS,EURUSD,2021-10,Bid,M5,6048,2021-10-01T00:00:00.000Z,2021-10-31T23:55:00.000Z,bars/EURUSD/bid/M5/year=2021/month=10/bars.parquet,135797,20de33cb2e1c53d98df7c9345752967a36e8589c93b2a3d92c0f10eb836a0910,
BARS,EURUSD,2021-10,Bid,H1,504,2021-10-01T00:00:00.000Z,2021-10-31T23:00:00.000Z,bars/EURUSD/bid/H1/year=2021/month=10/bars.parquet,20632,05c87788836566e20cebb272c3dc8536ed254ed53598f797f769decfb184657f,
BARS,EURUSD,2021-10,Ask,M5,6048,2021-10-01T00:00:00.000Z,2021-10-31T23:55:00.000Z,bars/EURUSD/ask/M5/year=2021/month=10/bars.parquet,136070,b939c8ac1a554201d5f19ac9c8494b3c3a0a3805a4067a029a74eb84fe604fbd,
BARS,EURUSD,2021-10,Ask,H1,504,2021-10-01T00:00:00.000Z,2021-10-31T23:00:00.000Z,bars/EURUSD/ask/H1/year=2021/month=10/bars.parquet,20679,c6eba8c591a7370e00c50945662245a5af8b4f78d0bfcbd00b982c8e14284de7,
BARS,EURUSD,2021-10,Mid,M5,6048,2021-10-01T00:00:00.000Z,2021-10-31T23:55:00.000Z,bars/EURUSD/mid/M5/year=2021/month=10/bars.parquet,154862,de4e192ae5d0089bfd69ee2923642368a820e34a6f441ccd01a8c787e5963f28,
BARS,EURUSD,2021-10,Mid,H1,504,2021-10-01T00:00:00.000Z,2021-10-31T23:00:00.000Z,bars/EURUSD/mid/H1/year=2021/month=10/bars.parquet,21588,901266f8f7dae60bcf060235c9be8723488e08c481d4573bd873e0850378eda5,
