symbol,month,tick_count,exact_duplicate_count,conflicting_same_timestamp_count,negative_spread_count,zero_spread_count,gaps_over_60s,longest_gap_ms
XAUUSD,2021-07,3462270,0,0,0,0,30,176402013
XAUUSD,2021-08,3458443,0,0,0,0,47,176402214
XAUUSD,2021-09,4370571,0,0,0,0,37,176402225
XAUUSD,2021-10,4170152,0,0,0,0,38,176402076
XAUUSD,2021-11,4156947,0,0,0,0,23,188163122
XAUUSD,2021-12,3436395,0,0,0,0,31,262862291
XAUUSD,2022-01,4049409,0,0,0,0,25,176402227
XAUUSD,2022-02,4914145,0,0,0,0,25,176401952
XAUUSD,2022-03,6173324,0,0,0,0,27,176403730
XAUUSD,2022-04,4697480,0,0,0,0,25,262860472
XAUUSD,2022-05,4628667,0,0,0,0,30,176402493
XAUUSD,2022-06,4139077,0,0,0,0,40,176443233
XAUUSD,2022-07,4398091,0,0,0,0,27,176404768
XAUUSD,2022-08,4288324,0,0,0,0,35,176401772
XAUUSD,2022-09,5029466,0,0,0,0,27,176402034
XAUUSD,2022-10,4499772,0,0,0,0,59,176609953
XAUUSD,2022-11,3642770,0,0,0,0,73,188164862
XAUUSD,2022-12,3391139,0,0,0,0,58,262893979
XAUUSD,2023-01,3610063,0,0,0,0,29,176409715
XAUUSD,2023-02,3236027,0,0,0,0,47,176404352
XAUUSD,2023-03,4465226,0,0,0,0,41,176403630
XAUUSD,2023-04,2957588,0,0,0,0,42,262862482
XAUUSD,2023-05,3933656,0,0,0,0,41,176403735
XAUUSD,2023-06,3091988,0,0,0,0,55,176406610
XAUUSD,2023-07,2760503,0,0,0,0,100,176404965
XAUUSD,2023-08,2373606,0,0,0,0,178,176403467
XAUUSD,2023-09,1901380,0,0,0,0,170,176403031
XAUUSD,2023-10,2841307,0,0,0,0,77,176409071
XAUUSD,2023-11,2491773,0,0,0,0,56,191783228
XAUUSD,2023-12,2765712,0,0,0,0,23,262895844
XAUUSD,2024-01,3059497,0,0,0,0,38,176402941
XAUUSD,2024-02,2126396,0,0,0,0,74,176421810
XAUUSD,2024-03,2733576,0,0,0,0,49,262861137
XAUUSD,2024-04,5252627,0,0,0,0,28,176414602
XAUUSD,2024-05,5054706,0,0,0,0,36,176403203
XAUUSD,2024-06,4639089,0,0,0,0,30,176403491
