record_type,symbol,month,basis,timeframe,item_count,first_utc,last_utc,relative_path,bytes,sha256,contract_normalized_sha256
TICKS,XAUUSD,2021-07,Bid/Ask,TICK,3462270,2021-07-01T00:00:00.246Z,2021-07-30T20:59:58.215Z,normalized/XAUUSD/year=2021/month=07/ticks.parquet,36983154,3599a51103ae5b7714c92637d0d3da110bde602fd117de519248d7380698c963,bc68b19058284ebfef0d276fc08727a1c71c269419c79b80ab5e4e218d5fcc69
BARS,XAUUSD,2021-07,Bid,M5,6000,2021-07-01T00:00:00.000Z,2021-07-30T20:55:00.000Z,bars/XAUUSD/bid/M5/year=2021/month=07/bars.parquet,125533,786fc5002852cdacd41a1fbfe8c5ad694c39122cff29cb19f2bb95b48f8d3606,
BARS,XAUUSD,2021-07,Bid,M15,2000,2021-07-01T00:00:00.000Z,2021-07-30T20:45:00.000Z,bars/XAUUSD/bid/M15/year=2021/month=07/bars.parquet,46435,eb20cce43075718eb29be2aa0bb5586b1f83fc278af5ab5d60c2a59723f84909,
BARS,XAUUSD,2021-07,Bid,H1,500,2021-07-01T00:00:00.000Z,2021-07-30T20:00:00.000Z,bars/XAUUSD/bid/H1/year=2021/month=07/bars.parquet,14594,620cf25d95693f4eb644af183bb5f56240ece40b9592f4ddfed4c5984ad3e422,
BARS,XAUUSD,2021-07,Bid,H4,136,2021-07-01T00:00:00.000Z,2021-07-30T20:00:00.000Z,bars/XAUUSD/bid/H4/year=2021/month=07/bars.parquet,6464,b1808e5a44a74ec178babb7cb4d4aeb4b33f07dbfb481c103eb1b17e83d39ef3,
BARS,XAUUSD,2021-07,Ask,M5,6000,2021-07-01T00:00:00.000Z,2021-07-30T20:55:00.000Z,bars/XAUUSD/ask/M5/year=2021/month=07/bars.parquet,125592,1dd53b0c5e3517125bf64c90dbb2d5e7d314b86b26d037424d204c39bc8a9534,
BARS,XAUUSD,2021-07,Ask,M15,2000,2021-07-01T00:00:00.000Z,2021-07-30T20:45:00.000Z,bars/XAUUSD/ask/M15/year=2021/month=07/bars.parquet,46470,b0209177e544ce4293df080f2077a74882d6f857a98eac60c828634f11cc5903,
BARS,XAUUSD,2021-07,Ask,H1,500,2021-07-01T00:00:00.000Z,2021-07-30T20:00:00.000Z,bars/XAUUSD/ask/H1/year=2021/month=07/bars.parquet,14729,e83f244db421b100eaed9e4fa39a15b635119ed01267a1409162a98f43a08622,
BARS,XAUUSD,2021-07,Ask,H4,136,2021-07-01T00:00:00.000Z,2021-07-30T20:00:00.000Z,bars/XAUUSD/ask/H4/year=2021/month=07/bars.parquet,6498,9c0f2870515887ee691dccddb35e4f27cabfc488cd339798dac2bc135d4f6b08,
BARS,XAUUSD,2021-07,Mid,M5,6000,2021-07-01T00:00:00.000Z,2021-07-30T20:55:00.000Z,bars/XAUUSD/mid/M5/year=2021/month=07/bars.parquet,135528,621fab0a07140782ef10f4f1f847c16e47dc15e3fa9e46b8c6e990e587e26837,
BARS,XAUUSD,2021-07,Mid,M15,2000,2021-07-01T00:00:00.000Z,2021-07-30T20:45:00.000Z,bars/XAUUSD/mid/M15/year=2021/month=07/bars.parquet,50472,bbae2f66210408650c61c33f67b36895641920a3e340a72ef2fec40a996a634e,
BARS,XAUUSD,2021-07,Mid,H1,500,2021-07-01T00:00:00.000Z,2021-07-30T20:00:00.000Z,bars/XAUUSD/mid/H1/year=2021/month=07/bars.parquet,16236,56269b2f074a2f355481acabca69f63a348084a4c8ff6340bd85bb8216c60e66,
BARS,XAUUSD,2021-07,Mid,H4,136,2021-07-01T00:00:00.000Z,2021-07-30T20:00:00.000Z,bars/XAUUSD/mid/H4/year=2021/month=07/bars.parquet,7018,1be3d7d745fff71c363f89b760ec98f1dd9b1cc80e3f44591d26ecbd8a221cac,
TICKS,XAUUSD,2021-08,Bid/Ask,TICK,3458443,2021-08-01T22:00:00.191Z,2021-08-31T23:59:59.185Z,normalized/XAUUSD/year=2021/month=08/ticks.parquet,37488276,93897a7b216c0b1caffb4414149c1fe55d3f54d65a73d0915dbd4664472adbcd,30d471236e005cc98dd6c4d816dd09e65a7f6a258ca44b70412d5c798b68df71
