strategy_id,direction,baseline_trades,baseline_wins,baseline_losses,baseline_net_R,baseline_expectancy_R,baseline_profit_factor,baseline_maximum_closed_drawdown_R,stress_net_R,stress_expectancy_R,stress_profit_factor
XAU_V2_H1_FAILED_AUCTION_REVERSAL,LONG,42,15,27,5.69342900814,0.135557833527,1.20726662241,10.4573384187,0.319305242478,0.00760250577329,1.01030216611
XAU_V2_H1_FAILED_AUCTION_REVERSAL,SHORT,29,10,19,-0.539267678537,-0.0185954371909,0.970623020278,7.13340222912,-4.46671260854,-0.154024572708,0.787951503962
XAU_V2_H4_BREAKOUT_RETEST_CONTINUATION,LONG,14,4,10,-5.51952165989,-0.394251547135,0.456641735385,5.51952165989,-6.85351910864,-0.489537079189,0.388373747177
XAU_V2_H4_BREAKOUT_RETEST_CONTINUATION,SHORT,14,4,10,-4.61069157568,-0.329335112548,0.544417624878,7.60639228452,-6.44582756798,-0.460416254855,0.442236781417
XAU_V2_H4_COMPRESSION_EXPANSION,SHORT,2,0,2,-2.02410799697,-1.01205399848,0,2.02410799697,-2.34624422135,-1.17312211067,0
XAU_V2_H4_TREND_PULLBACK_CONTINUATION,LONG,42,12,30,-8.45832643911,-0.201388724741,0.722717189632,12.364979063,-13.6723223288,-0.325531484019,0.600516221271
XAU_V2_H4_TREND_PULLBACK_CONTINUATION,SHORT,26,8,18,-6.92117570762,-0.266199065678,0.581849892561,11.923441782,-10.0917444269,-0.388144016419,0.457121346689
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,LONG,82,29,53,1.94964124138,0.0237761126997,1.03608451309,12.7806834041,-10.1026203531,-0.123202687233,0.835600809249
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,SHORT,64,22,42,0.538859299969,0.00841967656202,1.01280160861,16.4935632879,-8.51141062023,-0.132990790941,0.821798387507
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,LONG,111,31,80,-35.9433979254,-0.323814395724,0.565902653892,43.0015082021,-51.884406079,-0.467427081793,0.449064449731
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,SHORT,114,31,83,-32.9677165113,-0.289190495713,0.610385887918,33.7108563421,-49.1933884029,-0.431520950903,0.488855551819
