strategy_id,setup_episode_id,UTC_date,chronological_segment,direction,signal_time,entry_time,entry_bid,entry_ask,entry_price,entry_spread,stop,target,initial_risk_price,exit_time,exit_bid,exit_ask,exit_price,exit_spread,exit_reason,gross_R,baseline_net_R,stress_incremental_entry_spread_R,stress_incremental_exit_spread_R,stress_slippage_R,stress_net_R,broker_transfer_diagnostic_R,MFE_R,MAE_R,holding_minutes,stop_gap,target_gap,identical_timestamp_ambiguity,forced_exit,Capital_contract_minimum_loss,Capital_required_margin,Capital_account_feasible,Capital_rejection_reason,entry_delay_minutes
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-02,2021-07-02,DEVELOPMENT,LONG,2021-07-02T07:30:00.000Z,2021-07-02T07:30:00.258Z,1775.978,1776.362,1776.362,0.384,1774.17639837,1780.18680285,2.18560162897,2021-07-02T08:06:13.361Z,1780.198,1780.512,1780.18680285,0.314,TARGET,1.75,1.75,0.0256222356617,0.0576500302388,0.05,1.6167277341,1.6,1.75512314282,-0.344985101587,36.2183833333,false,true,false,false,,,,,0.0043
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-05,2021-07-05,DEVELOPMENT,SHORT,2021-07-05T07:15:00.000Z,2021-07-05T07:15:00.269Z,1789.448,1789.852,1789.448,0.404,1791.10364202,1786.55062647,1.6556420156,2021-07-05T07:21:35.946Z,1790.658,1791.115,1791.115,0.457,STOP,-1.00686016923,-1.00686016923,0.0217438308891,0,0.05,-1.07860400011,-1.15686016923,0.0942232671861,-1.00686016923,6.59461666667,true,false,false,false,,,,,0.00448333333333
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-09,2021-07-09,DEVELOPMENT,LONG,2021-07-09T07:15:00.000Z,2021-07-09T07:15:00.040Z,1801.938,1802.232,1802.232,0.294,1796.75785556,1811.81175278,5.47414444314,2021-07-09T13:15:00.243Z,1802.258,1802.632,1802.258,0.374,MAXIMUM_ELAPSED_HOLD,0.00474960064904,0.00474960064904,0.0266708344138,0.0120566785706,0.05,-0.0839779123353,-0.145250399351,0.669693691512,-0.744225886312,360.003383333,false,false,false,false,,,,,0.000666666666667
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1626675300000,2021-07-19,DEVELOPMENT,SHORT,2021-07-19T06:40:00.000Z,2021-07-19T06:40:00.069Z,1804.998,1805.365,1804.998,0.367,1807.2851556,1800.42368879,2.28715560426,2021-07-19T07:34:37.176Z,1806.928,1807.334,1807.334,0.406,STOP,-1.02135595656,-1.02135595656,0.0319173736426,0.0148656260801,0.05,-1.11813895628,-1.17135595656,0.893249237695,-1.02135595656,54.61845,true,false,false,false,,,,,0.00115
XAU_V2_H1_FAILED_AUCTION_REVERSAL,D-1626685200000-LONG,2021-07-19,DEVELOPMENT,LONG,2021-07-19T09:30:00.000Z,2021-07-19T09:30:00.055Z,1803.885,1804.232,1804.232,0.347,1801.93503672,1814.78,2.29696327614,2021-07-19T10:01:52.176Z,1801.928,1802.352,1801.928,0.424,STOP,-1.00306348993,-1.00306348993,0.0404882398278,0.00696571868005,0.05,-1.10051744843,-1.15306348993,0.236399077704,-1.00306348993,31.8686833333,true,false,false,false,,,,,0.000916666666667
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1626785100000,2021-07-20,DEVELOPMENT,LONG,2021-07-20T13:05:00.000Z,2021-07-20T13:05:00.114Z,1823.558,1823.982,1823.982,0.424,1822.14651536,1827.65296929,1.83548464396,2021-07-20T13:15:07.929Z,1822.071,1822.432,1822.071,0.361,STOP,-1.04114191654,-1.04114191654,0.00871704378059,0.0430404036665,0.05,-1.14289936399,-1.19114191654,0.422776623358,-1.04114191654,10.13025,true,false,false,false,,,,,0.0019
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-21,2021-07-21,DEVELOPMENT,SHORT,2021-07-21T07:30:00.000Z,2021-07-21T07:30:00.153Z,1808.768,1809.202,1808.768,0.434,1811.6569938,1803.71226085,2.88899379796,2021-07-21T08:27:51.485Z,1803.398,1803.695,1803.71226085,0.297,TARGET,1.75,1.75,0.00207684765688,0.0494982024887,0.05,1.64842494985,1.6,1.75597469388,-0.350987254011,57.8555333333,false,true,false,false,,,,,0.00255
XAU_V2_INTRADAY_IMPULSE_CONTINUATION,F-1626941700000,2021-07-22,DEVELOPMENT,SHORT,2021-07-22T08:35:00.000Z,2021-07-22T08:35:00.061Z,1793.398,1793.725,1793.398,0.327,1795.81545487,1788.56309027,2.41745486683,2021-07-22T08:43:06.833Z,1795.468,1795.832,1795.832,0.364,STOP,-1.00684402981,-1.00684402981,0.046743375254,0.0314380222947,0.05,-1.13502542736,-1.15684402981,0.146848656771,-1.00684402981,8.11286666667,true,false,false,false,,,,,0.00101666666667
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-23,2021-07-23,DEVELOPMENT,LONG,2021-07-23T06:15:00.000Z,2021-07-23T06:15:00.378Z,1803.498,1803.912,1803.912,0.414,1801.28701854,1808.50571755,2.62498145541,2021-07-23T07:49:20.112Z,1808.568,1808.785,1808.50571755,0.217,TARGET,1.75,1.75,0.00990483187848,0.0849529811115,0.05,1.60514218701,1.6,1.77372681639,-0.245335066528,94.3289,false,true,false,false,,,,,0.0063
XAU_V2_LONDON_SESSION_SWEEP_RECLAIM,E-2021-07-27,2021-07-27,DEVELOPMENT,LONG,2021-07-27T07:30:00.000Z,2021-07-27T07:30:00.142Z,1797.588,1797.973,1797.973,0.385,1793.70959807,1805.43395337,4.26340192596,2021-07-27T13:30:00.188Z,1802.948,1803.322,1802.948,0.374,MAXIMUM_ELAPSED_HOLD,1.16690851259,1.16690851259,0.0129004961191,0.015480595343,0.05,1.08852742113,1.01690851259,1.67589172311,-0.749401547281,360.000766667,false,false,false,false,,,,,0.00236666666667
