report_date,market,cftc_contract_market_code,open_interest_all,producer_long_all,producer_short_all,swap_long_all,swap_short_all,managed_money_long_all,managed_money_short_all,managed_money_spread_all,other_reportable_long_all,other_reportable_short_all,nonreportable_long_all,nonreportable_short_all
2016-01-05,GOLD - COMMODITY EXCHANGE INC.,088691,413688,22948,67800,62783,37206,79732,95659,38204,73800,31313,33921,41206
2016-01-12,GOLD - COMMODITY EXCHANGE INC.,088691,397565,23309,75124,52700,44470,82908,82816,35227,75747,31121,37852,38985
2016-01-19,GOLD - COMMODITY EXCHANGE INC.,088691,408835,24206,73168,53388,44569,84054,83615,40214,74266,31011,33749,37300
2016-01-26,GOLD - COMMODITY EXCHANGE INC.,088691,385350,19845,72454,47192,54416,95745,78942,39421,74726,32489,38543,37750
2016-02-02,GOLD - COMMODITY EXCHANGE INC.,088691,379185,24395,80385,48605,69970,100566,71530,34778,76402,32616,39579,35046
2016-02-09,GOLD - COMMODITY EXCHANGE INC.,088691,410833,23988,91728,52921,90104,121059,60423,32630,80695,42903,41975,35480
2016-02-16,GOLD - COMMODITY EXCHANGE INC.,088691,428912,26085,111860,55745,101954,126219,45206,33505,82882,46535,45771,31147
2016-02-23,GOLD - COMMODITY EXCHANGE INC.,088691,445290,19329,123277,53429,112630,141373,32276,33398,86008,50127,49448,31277
2016-03-01,GOLD - COMMODITY EXCHANGE INC.,088691,450555,16920,129587,56255,115019,133823,29453,41306,89363,41320,51148,32130
2016-03-08,GOLD - COMMODITY EXCHANGE INC.,088691,499110,17739,143726,54685,124070,160317,32890,53422,92578,45195,53520,32958
2016-03-15,GOLD - COMMODITY EXCHANGE INC.,088691,493086,19486,143435,60147,121729,159202,29425,50946,88457,48722,49810,33791
2016-03-22,GOLD - COMMODITY EXCHANGE INC.,088691,510579,19858,150125,59953,129680,174457,29558,48913,84189,50257,51562,30399
2016-03-29,GOLD - COMMODITY EXCHANGE INC.,088691,480461,24190,150685,56815,138284,184135,29930,24238,77947,42346,49423,31265
2016-04-05,GOLD - COMMODITY EXCHANGE INC.,088691,474094,21204,151023,57395,134821,186716,33958,29047,77065,39423,47560,30715
2016-04-12,GOLD - COMMODITY EXCHANGE INC.,088691,504523,21129,164322,60602,149196,202500,31866,29873,83841,40668,49032,31052
2016-04-19,GOLD - COMMODITY EXCHANGE INC.,088691,503331,20069,166296,56336,150230,208661,34554,26508,82482,39752,50205,26921
2016-04-26,GOLD - COMMODITY EXCHANGE INC.,088691,497884,18752,165367,55117,148610,206476,34426,25592,81697,32890,47030,27779
2016-05-03,GOLD - COMMODITY EXCHANGE INC.,088691,565774,19259,189227,54485,179418,248842,29947,37026,89634,36881,51223,27970
2016-05-10,GOLD - COMMODITY EXCHANGE INC.,088691,579777,20797,178897,54725,181621,246782,35591,43302,90469,36762,51710,31612
2016-05-17,GOLD - COMMODITY EXCHANGE INC.,088691,595077,21631,170642,54437,195669,247059,34618,53780,93689,39842,52715,28760
2016-05-24,GOLD - COMMODITY EXCHANGE INC.,088691,542958,59557,156435,47330,175665,205180,48719,30056,86086,35915,52714,34133
2016-05-31,GOLD - COMMODITY EXCHANGE INC.,088691,494321,47227,142196,47595,166664,192160,43549,21902,82429,33905,47347,30444
2016-06-07,GOLD - COMMODITY EXCHANGE INC.,088691,496330,26136,147563,46410,168675,212061,34695,24939,83627,32374,46570,31497
2016-06-14,GOLD - COMMODITY EXCHANGE INC.,088691,545357,26395,176665,44717,192524,257500,28260,22155,90057,39435,45594,27379
2016-06-21,GOLD - COMMODITY EXCHANGE INC.,088691,571517,28287,177414,42538,205548,274936,24528,26941,83889,41568,47511,28103
2016-06-28,GOLD - COMMODITY EXCHANGE INC.,088691,613792,30055,179646,41808,218538,285895,24845,43076,87233,46363,49131,24730
2016-07-05,GOLD - COMMODITY EXCHANGE INC.,088691,652971,29270,178378,43240,234339,300070,26994,61753,89520,46633,50789,26545
2016-07-12,GOLD - COMMODITY EXCHANGE INC.,088691,633020,35210,176993,39218,222887,296106,36977,48941,81975,43641,52553,24564
2016-07-19,GOLD - COMMODITY EXCHANGE INC.,088691,617069,31861,167764,37838,217412,287317,34920,45320,79554,46040,55614,26048
2016-07-26,GOLD - COMMODITY EXCHANGE INC.,088691,576325,31448,166649,35575,209397,278777,31356,26975,68649,37115,55829,25761
2016-08-02,GOLD - COMMODITY EXCHANGE INC.,088691,582211,29097,175971,37132,214285,288542,33813,21485,77259,37805,54451,24607
2016-08-09,GOLD - COMMODITY EXCHANGE INC.,088691,575399,29067,165875,32598,208731,281496,36244,23359,74975,33780,52657,26163
2016-08-16,GOLD - COMMODITY EXCHANGE INC.,088691,572496,30091,169299,32762,204547,277152,34425,26023,74383,33259,52525,25383
2016-08-23,GOLD - COMMODITY EXCHANGE INC.,088691,572973,23865,163651,32034,209723,284550,30866,27579,75235,34310,51796,28930
2016-08-30,GOLD - COMMODITY EXCHANGE INC.,088691,558398,22280,158022,31637,197108,266680,35086,28821,73906,29159,53666,28794
2016-09-06,GOLD - COMMODITY EXCHANGE INC.,088691,590656,22474,176277,28000,204170,291692,22157,31809,78683,40358,53939,31826
2016-09-13,GOLD - COMMODITY EXCHANGE INC.,088691,575002,24700,173534,29423,191960,271631,28654,29354,80145,37709,53893,27935
2016-09-20,GOLD - COMMODITY EXCHANGE INC.,088691,558791,25040,163063,33793,186385,246119,32972,25688,80207,37175,61156,26720
2016-09-27,GOLD - COMMODITY EXCHANGE INC.,088691,583161,26681,176013,32038,197300,282151,26974,24127,76821,40094,53108,30418
2016-10-04,GOLD - COMMODITY EXCHANGE INC.,088691,544824,27604,155278,29901,173469,244765,44649,30431,79371,33979,54958,29224
2016-10-11,GOLD - COMMODITY EXCHANGE INC.,088691,500328,28660,143233,34348,140974,203033,54240,29939,80353,33927,53697,27717
2016-10-18,GOLD - COMMODITY EXCHANGE INC.,088691,497061,30322,136610,35745,132128,190008,59054,33837,84337,35673,51020,27967
2016-10-25,GOLD - COMMODITY EXCHANGE INC.,088691,507617,29237,140772,34869,140933,199094,55184,37185,86282,33212,49625,29006
2016-11-01,GOLD - COMMODITY EXCHANGE INC.,088691,521506,27666,153593,36607,149931,203670,37403,42434,84638,35774,51847,27727
2016-11-08,GOLD - COMMODITY EXCHANGE INC.,088691,528203,27597,158095,31113,146201,211670,38033,45490,78190,34589,51015,22667
2016-11-15,GOLD - COMMODITY EXCHANGE INC.,088691,479237,27283,134182,28878,121945,178132,43452,41523,67618,24638,49240,26934
