trade_id,expert,cell_id,symbol,broker,cost_model,entry_time_utc,exit_time_utc,direction,entry_price,stop_loss,take_profit,exit_price,net_pnl,r_multiple,setup_reason_code,chart_context_start_utc,chart_context_end_utc,manual_failure_class,manual_notes,reviewer,reviewed_at_utc
trend_pullback-cell1-327,trend_pullback,1,XAUUSD,capital_com,best_case,2016-05-11T07:35:00+00:00,2016-05-11T10:45:00+00:00,SHORT,1272.335,1274.1079621192662,1270.1630568211008,1274.1079621192662,-35.4592423853228,-0.9856400733074976,market_next_bar_open,2016-05-11T03:35:00+00:00,2016-05-11T11:45:00+00:00,,,,
trend_pullback-cell1-389,trend_pullback,1,XAUUSD,capital_com,best_case,2016-05-27T04:55:00+00:00,2016-05-27T05:10:00+00:00,SHORT,1217.4199999999998,1218.6352475191543,1215.6721287212683,1218.6352475191543,-34.02693053633084,-0.9952921717354394,market_next_bar_open,2016-05-27T00:55:00+00:00,2016-05-27T06:10:00+00:00,,,,
trend_pullback-cell1-491,trend_pullback,1,XAUUSD,capital_com,best_case,2016-06-27T14:00:00+00:00,2016-06-27T15:05:00+00:00,LONG,1325.55,1322.81469158315,1329.127962625275,1322.81469158315,-32.82370100220123,-0.990456825927718,market_next_bar_open,2016-06-27T10:00:00+00:00,2016-06-27T16:05:00+00:00,,,,
trend_pullback-cell1-700,trend_pullback,1,XAUUSD,capital_com,best_case,2016-08-23T04:15:00+00:00,2016-08-23T04:50:00+00:00,SHORT,1336.28,1337.4890817617918,1334.6413773573122,1337.4890817617918,-29.01796228300372,-0.9755481303785776,market_next_bar_open,2016-08-23T00:15:00+00:00,2016-08-23T05:50:00+00:00,,,,
trend_pullback-cell1-1334,trend_pullback,1,XAUUSD,capital_com,best_case,2017-03-09T06:40:00+00:00,2017-03-09T11:25:00+00:00,SHORT,1205.125,1207.064849563562,1202.552725654657,1207.064849563562,-21.33834519918082,-0.9875634907087648,market_next_bar_open,2017-03-09T02:40:00+00:00,2017-03-09T12:25:00+00:00,,,,
trend_pullback-cell1-1534,trend_pullback,1,XAUUSD,capital_com,best_case,2017-05-18T00:10:00+00:00,2017-05-18T00:25:00+00:00,LONG,1259.42,1258.6460957498737,1260.2808563751894,1258.6460957498737,-20.12151050328657,-0.982322761651177,market_next_bar_open,2017-05-17T20:10:00+00:00,2017-05-18T01:25:00+00:00,,,,
trend_pullback-cell1-1941,trend_pullback,1,XAUUSD,capital_com,best_case,2017-09-25T09:25:00+00:00,2017-09-25T09:35:00+00:00,SHORT,1293.98,1294.681054982792,1293.2034175258116,1294.681054982792,-16.82531958701111,-0.9985698973341598,market_next_bar_open,2017-09-25T05:25:00+00:00,2017-09-25T10:35:00+00:00,,,,
trend_pullback-cell1-2043,trend_pullback,1,XAUUSD,capital_com,best_case,2017-10-30T08:50:00+00:00,2017-10-30T09:20:00+00:00,SHORT,1270.725,1271.756900564268,1269.6396491535984,1271.756900564268,-16.51040902828754,-0.9849937217917784,market_next_bar_open,2017-10-30T04:50:00+00:00,2017-10-30T10:20:00+00:00,,,,
trend_pullback-cell1-2103,trend_pullback,1,XAUUSD,capital_com,best_case,2017-11-23T14:30:00+00:00,2017-11-24T08:55:00+00:00,LONG,1291.785,1288.7871102371137,1295.8943346443298,1288.7871102371137,-14.98944881443208,-0.9225885318390704,market_next_bar_open,2017-11-23T10:30:00+00:00,2017-11-24T09:55:00+00:00,,,,
trend_pullback-cell1-3222,trend_pullback,1,XAUUSD,capital_com,best_case,2018-12-06T05:15:00+00:00,2018-12-06T05:25:00+00:00,LONG,1238.905,1238.3163562461773,1239.5254656307338,1238.3163562461773,-8.829656307340201,-0.955830346647478,market_next_bar_open,2018-12-06T01:15:00+00:00,2018-12-06T06:25:00+00:00,,,,
trend_pullback-cell2-151,trend_pullback,2,XAUUSD,capital_com,median,2016-03-03T12:20:00+00:00,2016-03-03T12:25:00+00:00,LONG,1243.58,1242.7640162554114,1244.503975616883,1242.7640162554114,-48.1430409307211,-0.9841643181138602,market_next_bar_open,2016-03-03T08:20:00+00:00,2016-03-03T13:25:00+00:00,,,,
