expert,decile_id,start_utc,end_utc,trade_count,profit_factor,total_return_pct,max_drawdown_pct,avg_trade_R,verdict
round_number_retest_v0,1,2016-01-01T00:00:00+00:00,2016-12-12T21:35:59.900000+00:00,1515,1.488709942971254,464.25263871843754,6.978600528569452,0.23239741390434798,PASS
round_number_retest_v0,2,2016-12-12T21:35:59.900000+00:00,2017-11-24T19:11:59.800000+00:00,1120,1.3838092849881853,242.50849060643068,7.08790897211735,0.22381805655266548,PASS
round_number_retest_v0,3,2017-11-24T19:11:59.800000+00:00,2018-11-06T16:47:59.700000+00:00,1030,1.4373552670746084,236.3728061280034,10.49047145791929,0.23954343237033002,PASS
round_number_retest_v0,4,2018-11-06T16:47:59.700000+00:00,2019-10-19T14:23:59.600000+00:00,1191,1.5433362470781298,348.9369562965236,6.4770446536005695,0.25618920573493337,PASS
round_number_retest_v0,5,2019-10-19T14:23:59.600000+00:00,2020-09-30T11:59:59.500000+00:00,2145,1.4668769156985253,959.2566234367388,10.354818716637263,0.2240053403791152,PASS
round_number_retest_v0,6,2020-09-30T11:59:59.500000+00:00,2021-09-12T09:35:59.400000+00:00,1997,1.3707680076250919,678.0780439945199,10.10280507821954,0.20940468841886692,PASS
round_number_retest_v0,7,2021-09-12T09:35:59.400000+00:00,2022-08-25T07:11:59.300000+00:00,1856,1.4843284516533222,990.344280203652,6.282163638595425,0.2614517581836922,PASS
round_number_retest_v0,8,2022-08-25T07:11:59.300000+00:00,2023-08-07T04:47:59.200000+00:00,1922,1.407151718396888,850.0907508403416,7.547483088869275,0.23825692687923877,PASS
round_number_retest_v0,9,2023-08-07T04:47:59.200000+00:00,2024-07-19T02:23:59.100000+00:00,2034,1.5573119633136199,1210.602568903766,6.385623489079563,0.2570058703521812,PASS
round_number_retest_v0,10,2024-07-19T02:23:59.100000+00:00,2025-06-30T23:59:59+00:00,3127,1.5581808777230817,7490.427137221801,8.887870384795656,0.280943248229899,PASS
