expert,hypothesis_file,sha256,registered_at_utc,file_size_bytes,git_commit_if_available
asia_range_london_breakout_v0,docs/hypothesis_asia_range_london_breakout_v0.md,c8300616321b76d04aeedb7c1f461ec99edcc7e9bfbfc9759ce79c69e4f91a44,2026-05-22T09:00:15+00:00,4836,76b97b81aec831aafc7d87f0ed9f19b39b6a85e2
asia_range_london_failed_break_reversal_v0,docs/hypothesis_asia_range_london_failed_break_reversal_v0.md,03c38548279a88d23297e073dfbba35037d1d339108c0e673ab2f605e8e0d046,2026-05-22T09:39:23+00:00,5178,76b97b81aec831aafc7d87f0ed9f19b39b6a85e2
compression_retest_continuation_v0,docs/hypothesis_compression_retest_continuation_v0.md,ea0d8810a51c6acee5b403ac626bf1b085933aab3cc7b0796358ed16b29ac639,2026-05-22T08:50:57+00:00,5549,d05691a3c29f0219c5b3ebec0d9d63a5ab92d2fe
emr_inactivity_long_v0,docs/hypothesis_emr_inactivity_long_v0.md,17253773c85c76567dc49965d65d07bb7485390a9bbb78ef5e9e41b2a3a0ec34,2026-05-22T08:14:45+00:00,5020,d05691a3c29f0219c5b3ebec0d9d63a5ab92d2fe
extreme_activity_mean_reversion_v0,docs/hypothesis_extreme_activity_mean_reversion_v0.md,a215422bdabc65e14bb33c0d45e648047019d7bbfc34dd61e5a51035a821b712,2026-05-22T08:43:14+00:00,4881,d05691a3c29f0219c5b3ebec0d9d63a5ab92d2fe
london_fix_continuation_v0,docs/hypothesis_london_fix_continuation_v0.md,f373ea4dd5430a400d13138a4a070b4b4ac5fc8dd4c662bace358861bbad953e,2026-05-22T08:35:06+00:00,5078,d05691a3c29f0219c5b3ebec0d9d63a5ab92d2fe
ny_am_pullback_continuation_v0,docs/hypothesis_ny_am_pullback_continuation_v0.md,49c42ea332a3dc2ec1359fe554b5e1991f38d8002b237d252e9e14ca787baede,2026-05-22T09:23:33+00:00,5621,76b97b81aec831aafc7d87f0ed9f19b39b6a85e2
ny_failed_london_reversal_v0,docs/hypothesis_ny_failed_london_reversal_v0.md,f236f3e6d047357dc26ef5ebcad38231d7cf90f9e4bfadd19e0bdc8cf7b23d6f,2026-05-22T08:26:10+00:00,5202,d05691a3c29f0219c5b3ebec0d9d63a5ab92d2fe
ny_london_overlap_compression_break_v0,docs/hypothesis_ny_london_overlap_compression_break_v0.md,0000dafffe65d4949590e858df4fabab447dc98cc4725cbaa1c9091167c10b14,2026-05-22T12:55:28+00:00,6159,7923c5a29b906c4c275864d0dab3d1fda0f68b86
post_spike_short_v0,docs/hypothesis_post_spike_short_v0.md,6c64094f1845270f82a2caf0592d2b245448659b24a54b6bf6489b6da6a78dff,2026-05-22T07:59:09+00:00,4952,a971cc1049ef5c5a222d824606f696c63314275d
previous_day_extreme_retest_v0,docs/hypothesis_previous_day_extreme_retest_v0.md,783e2fe2f7cc2b94fca7f874305067df017d79c3fd76dec3461ea7f7082faed0,2026-05-22T09:08:32+00:00,5363,76b97b81aec831aafc7d87f0ed9f19b39b6a85e2
session_vwap_reclaim_v0,docs/hypothesis_session_vwap_reclaim_v0.md,ec0945331922e4a3abe240d7b71177b18d091407d00d2441aa16a71de07e2774,2026-05-22T09:48:05+00:00,5019,bcfd92eaea6749b290531643a068edfd49ec9659
squeeze_breakout_long_v0,docs/hypothesis_squeeze_breakout_long_v0.md,8afa7c87ae1ee1915a8fd5845e5babb673937084f5a38de98076cac45c252553,2026-05-21T23:18:55+00:00,5222,be726feceb61dca30f5c6f5d206c037182222ab1
swing_breakout_retest_v0,docs/hypothesis_swing_breakout_retest_v0.md,9487012c09f53ac6090a42aea5aab4a45f3457043759b83167e581f9dccf1260,2026-05-22T09:56:47+00:00,4489,bcfd92eaea6749b290531643a068edfd49ec9659
weekly_level_reclaim_v0,docs/hypothesis_weekly_level_reclaim_v0.md,9b8b23ecba420b61a9ae826193ea52981a0e299a6427b12f0ae8b90201b6e8ae,2026-05-22T09:31:32+00:00,4710,76b97b81aec831aafc7d87f0ed9f19b39b6a85e2
