broker,symbol,timeframe,status,files_written,message
capital_com,EURUSD,M5,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/EURUSD/M5/EURUSD_capital_com_M5_20160103_20250701.csv,Imported 1 file(s).
capital_com,EURUSD,M15,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/EURUSD/M15/EURUSD_capital_com_M15_20160103_20250701.csv,Imported 1 file(s).
capital_com,EURUSD,H1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/EURUSD/H1/EURUSD_capital_com_H1_20160103_20250701.csv,Imported 1 file(s).
capital_com,EURUSD,H4,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/EURUSD/H4/EURUSD_capital_com_H4_20160104_20250701.csv,Imported 1 file(s).
capital_com,EURUSD,D1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/EURUSD/D1/EURUSD_capital_com_D1_20160104_20250701.csv,Imported 1 file(s).
capital_com,USDJPY,M5,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/USDJPY/M5/USDJPY_capital_com_M5_20160103_20250701.csv,Imported 1 file(s).
capital_com,USDJPY,M15,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/USDJPY/M15/USDJPY_capital_com_M15_20160103_20250701.csv,Imported 1 file(s).
capital_com,USDJPY,H1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/USDJPY/H1/USDJPY_capital_com_H1_20160103_20250701.csv,Imported 1 file(s).
capital_com,USDJPY,H4,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/USDJPY/H4/USDJPY_capital_com_H4_20160104_20250701.csv,Imported 1 file(s).
capital_com,USDJPY,D1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/USDJPY/D1/USDJPY_capital_com_D1_20160104_20250701.csv,Imported 1 file(s).
capital_com,XAUUSD,M5,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/XAUUSD/M5/XAUUSD_capital_com_M5_20160103_20250701.csv,Imported 1 file(s).
capital_com,XAUUSD,M15,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/XAUUSD/M15/XAUUSD_capital_com_M15_20160103_20250701.csv,Imported 1 file(s).
capital_com,XAUUSD,H1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/XAUUSD/H1/XAUUSD_capital_com_H1_20160103_20250701.csv,Imported 1 file(s).
capital_com,XAUUSD,H4,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/XAUUSD/H4/XAUUSD_capital_com_H4_20160104_20250701.csv,Imported 1 file(s).
capital_com,XAUUSD,D1,IMPORTED,C:/Users/ZHAO ZHU INFORMATION/Downloads/algo-trading-system/xau-usd/xauusd-phase0/data/processed/bars/capital_com/XAUUSD/D1/XAUUSD_capital_com_D1_20160104_20250701.csv,Imported 1 file(s).
