candidate,decision_scope,frequency_bias_diagnosis,absolute_concentration_gate,cells,total_trades,max_absolute_single_trade_pct,max_absolute_top5_pct,max_normalized_top_trade_r,max_normalized_top5_trade_r,concentration_failed_cells,normalized_concentration_flag,gate_context
breakout_retest,APPROVED_OR_ACTIVE,APPROVED_EDGE_FAMILY,PASS,9,66759,0.7566,3.7706,0.014596,0.072829,0,NOT_ABSOLUTE_CONCENTRATION_FAIL,none
swing_breakout_retest_v0,APPROVED_OR_ACTIVE,APPROVED_EDGE_FAMILY,PASS,9,57897,0.7609,3.7931,0.015577,0.077779,0,NOT_ABSOLUTE_CONCENTRATION_FAIL,none
symbol_normalized_round_retest_v0,APPROVED_OR_ACTIVE,APPROVED_EDGE_FAMILY,PASS,9,47388,0.7623,3.7948,0.019751,0.098656,0,NOT_ABSOLUTE_CONCENTRATION_FAIL,none
asia_range_london_breakout_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,4845,100.0,100.0,0.068632,0.316397,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;no_catastrophic_failure;concentration
asia_range_london_failed_break_reversal_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,3102,100.0,100.0,0.075313,0.363652,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;no_catastrophic_failure;concentration
compression_retest_continuation_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,0,100.0,100.0,0.0,0.0,9,NORMALIZATION_UNDEFINED_NO_TRADES,multi_cell_survival;sample_size;concentration;activity;cost_sensitivity
cot_gold_positioning_reversal_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,126,510.922,993.2456,0.61179,1.758605,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
d1_compression_h4_expansion_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,783,100.0,100.0,0.202561,0.976849,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
d1_inside_day_breakout_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,192,100.0,100.0,0.452674,1.504711,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
d1_momentum_h4_pullback_v0,REJECTED_OR_RESEARCH,EDGE_EXPECTANCY_FAILURE,FAIL,9,684,68.9427,148.749,0.91943,1.801944,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;concentration
d1_multi_day_exhaustion_reversion_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,291,100.0,169.4033,0.321023,1.517631,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
d1_outside_day_followthrough_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,261,100.0,100.0,0.31156,1.453205,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration;activity
d1_volatility_expansion_reversal_v0,REJECTED_OR_RESEARCH,EDGE_AND_FREQUENCY_FAILURE,FAIL,9,354,100.0,170.9,0.273805,1.333514,9,REVIEW_NORMALIZED_CONTEXT,multi_cell_survival;sample_size;concentration
