cell_id,broker,cost_model,symbol,trade_count,win_rate,profit_factor,average_R,median_R,gross_expectancy_R,net_expectancy_R,mean_all_in_cost_R,median_cost_R,p95_cost_R,entry_spread_R,entry_slippage_R,exit_slippage_R,commission_R,cost_edge_consumption_pct,cost_edge_flag,fixed_risk_usd,fixed_notional_total_pnl_usd,fixed_notional_max_dd_usd,max_losing_streak
ALL,ALL,MEASURED_P95,XAUUSD,66759,0.45454545454545453,0.4124522599109065,-0.6149515121099423,-1.1240830246984932,0.5115454557998703,-0.6149515121099423,1.1264969679098125,0.6904452006102452,2.0797414112903696,0.3061034028667759,0.008325043738266013,0.008325043738266013,0.0,220.21444138300134,RED,50.0,-2052677.3998473817,2053331.4407359895,16
1,capital_com,best_case,XAUUSD,7287,0.4071634417455743,0.26603808800430745,-0.7854443788242497,-1.3037807121188265,0.36394640461434036,-0.7854443788242497,1.14939078343859,1.0136216198839758,2.4029354700428076,0.15325210445847867,0.0,0.0,0.0,315.8131991045643,RED,50.0,-286176.6594246154,286280.45516015886,14
2,capital_com,median,XAUUSD,7287,0.4400988060930424,0.348878749654202,-0.632192274365771,-1.2437547581716801,0.5171985090728191,-0.632192274365771,1.14939078343859,1.0136216198839758,2.4029354700428076,0.30650420891695734,0.0,0.0,0.0,222.2339707628123,RED,50.0,-230339.25516516867,230484.27003397088,12
3,capital_com,p95,XAUUSD,7287,0.4627418690819267,0.4724853228776162,-0.4435318651522342,-1.1700399891788271,0.7196982004385204,-0.4435318651522342,1.1632300655907544,1.0395816415443773,2.378670875911695,0.5153550923503344,0.029448862420019102,0.029448862420019102,0.0,161.62748008567826,RED,50.0,-161600.83506821655,161785.79991438356,12
4,pepperstone,best_case,XAUUSD,7174,0.4316977976024533,0.44859440235277215,-0.49665800231484875,-1.1685441998402117,0.2828917700899082,-0.49665800231484875,0.779549772404757,0.6010564611303169,1.9887255383527338,0.10528864122371322,0.0,0.0,0.0,275.56466989372007,RED,50.0,-178151.22543033623,178531.77732345977,16
5,pepperstone,median,XAUUSD,7174,0.44633398383049905,0.5314505422422723,-0.3913693610911355,-1.1370314802139219,0.3881804113136214,-0.3913693610911355,0.779549772404757,0.6010564611303169,1.9887255383527338,0.21057728244742643,0.0,0.0,0.0,200.82151228773307,RED,50.0,-140384.1898233903,140889.16782995203,16
6,pepperstone,p95,XAUUSD,7174,0.459018678561472,0.6460458318561169,-0.26488707654935434,-1.0967685090821848,0.52967603134466,-0.26488707654935434,0.7945631078940144,0.6233145611190114,1.9892929438823266,0.3563608554432331,0.02036347745389904,0.02036347745389904,0.0,150.0092624310184,RED,50.0,-95014.99435825339,95655.73376821322,14
7,dukascopy,best_case,XAUUSD,7792,0.47433264887063653,0.28442985648611707,-1.1802996515922504,-1.127978540307204,0.45026876219941486,-1.1802996515922504,1.6305684137916654,0.5242398129179788,1.5235167478976603,0.2178682310424694,0.0,0.0,0.0,362.1322531518453,RED,50.0,-459844.7442603408,457150.586339751,12
8,dukascopy,median,XAUUSD,7792,0.48036447638603696,0.34507893823115016,-0.962432729881989,-1.1060044592228866,0.6681356839096761,-0.962432729881989,1.6305684137916654,0.5242398129179788,1.5235167478976603,0.4357364620849388,0.0,0.0,0.0,244.0474970967272,RED,50.0,-374963.79156202293,372891.2922261446,11
9,dukascopy,p95,XAUUSD,7792,0.48357289527720737,0.6258784965143124,-0.32392634690718036,-1.073847192701116,0.6617228168342099,-0.32392634690718036,0.9856491637413901,0.5445861038153298,1.542119087287505,0.43815163966172027,0.0250372365520983,0.0250372365520983,0.0,148.95196881027871,RED,50.0,-126201.70475503746,126224.21070545625,11
