candidate_id,cell_id,broker,cost_model,measured_cost,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_loss,take_profit_1_5r,take_profit_2_0r,exit_price,stop_distance_points,gross_r,cost_r_median,cost_r_p95,applied_cost_r,net_r,estimated_net_pnl_usd,exit_reason,reason_code
d1_compression_h4_expansion_v0,4,pepperstone,best_case,p95,2019-01-04T12:00:00Z,2019-01-04T16:00:00Z,2019-01-14T12:00:00Z,SHORT,1290.15,1830.39,479.79,209.67,1293.84,54024.0,-0.00683,0.000926,0.001388,0.001388,-0.008219,-0.41,MAX_HOLD_EXIT,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,4,pepperstone,best_case,p95,2020-07-21T16:00:00Z,2020-07-21T20:00:00Z,2020-07-27T04:00:00Z,LONG,1839.19,1789.42,1913.845,1938.73,1913.845,4977.0,1.5,0.010046,0.015069,0.015069,1.484931,74.25,TARGET_1_5R,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,5,pepperstone,median,p95,2019-01-04T12:00:00Z,2019-01-04T16:00:00Z,2019-01-14T12:00:00Z,SHORT,1290.15,1830.39,479.79,209.67,1293.84,54024.0,-0.00683,0.000926,0.001388,0.001388,-0.008219,-0.41,MAX_HOLD_EXIT,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,5,pepperstone,median,p95,2020-07-21T16:00:00Z,2020-07-21T20:00:00Z,2020-07-27T04:00:00Z,LONG,1839.19,1789.42,1913.845,1938.73,1913.845,4977.0,1.5,0.010046,0.015069,0.015069,1.484931,74.25,TARGET_1_5R,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,6,pepperstone,p95,p95,2019-01-04T12:00:00Z,2019-01-04T16:00:00Z,2019-01-14T12:00:00Z,SHORT,1290.15,1830.39,479.79,209.67,1293.84,54024.0,-0.00683,0.000926,0.001388,0.001388,-0.008219,-0.41,MAX_HOLD_EXIT,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,6,pepperstone,p95,p95,2020-07-21T16:00:00Z,2020-07-21T20:00:00Z,2020-07-27T04:00:00Z,LONG,1839.19,1789.42,1913.845,1938.73,1913.845,4977.0,1.5,0.010046,0.015069,0.015069,1.484931,74.25,TARGET_1_5R,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,7,dukascopy,best_case,p95,2022-01-03T16:00:00Z,2022-01-03T20:00:00Z,2022-01-09T16:00:00Z,SHORT,1801.838,2638.105,547.4375,129.304,1795.808,83626.7,0.007211,0.000598,0.000897,0.000897,0.006314,0.32,MAX_HOLD_EXIT,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,7,dukascopy,best_case,p95,2024-09-24T16:00:00Z,2024-09-24T20:00:00Z,2024-09-30T16:00:00Z,LONG,2643.025,2595.905,2713.705,2737.265,2633.734,4712.0,-0.197177,0.010611,0.015917,0.015917,-0.213094,-10.65,MAX_HOLD_EXIT,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,8,dukascopy,median,p95,2022-01-03T16:00:00Z,2022-01-03T20:00:00Z,2022-01-09T16:00:00Z,SHORT,1801.838,2638.105,547.4375,129.304,1795.808,83626.7,0.007211,0.000598,0.000897,0.000897,0.006314,0.32,MAX_HOLD_EXIT,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,8,dukascopy,median,p95,2024-09-24T16:00:00Z,2024-09-24T20:00:00Z,2024-09-30T16:00:00Z,LONG,2643.025,2595.905,2713.705,2737.265,2633.734,4712.0,-0.197177,0.010611,0.015917,0.015917,-0.213094,-10.65,MAX_HOLD_EXIT,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,9,dukascopy,p95,p95,2022-01-03T16:00:00Z,2022-01-03T20:00:00Z,2022-01-09T16:00:00Z,SHORT,1801.838,2638.105,547.4375,129.304,1795.808,83626.7,0.007211,0.000598,0.000897,0.000897,0.006314,0.32,MAX_HOLD_EXIT,D1_COMPRESSION_H4_EXPANSION
d1_compression_h4_expansion_v0,9,dukascopy,p95,p95,2024-09-24T16:00:00Z,2024-09-24T20:00:00Z,2024-09-30T16:00:00Z,LONG,2643.025,2595.905,2713.705,2737.265,2633.734,4712.0,-0.197177,0.010611,0.015917,0.015917,-0.213094,-10.65,MAX_HOLD_EXIT,D1_COMPRESSION_H4_EXPANSION
