candidate_id,level,cell_id,broker,cost_model,period,measured_cost,trade_count,win_rate_pct,gross_expectancy_r,net_expectancy_r,total_net_r,estimated_net_pnl_usd,profit_factor,max_drawdown_r,median_stop_points,median_applied_cost_r
d1_compression_h4_expansion_v0,cell,1,capital_com,best_case,2016-01-01 to 2018-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
d1_compression_h4_expansion_v0,cell,2,capital_com,median,2016-01-01 to 2018-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
d1_compression_h4_expansion_v0,cell,3,capital_com,p95,2016-01-01 to 2018-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
d1_compression_h4_expansion_v0,cell,4,pepperstone,best_case,2019-01-01 to 2021-12-31,p95,2,50.0,0.746585,0.738356,1.476712,73.84,180.67052,0.008219,29500.5,0.008228
d1_compression_h4_expansion_v0,cell,5,pepperstone,median,2019-01-01 to 2021-12-31,p95,2,50.0,0.746585,0.738356,1.476712,73.84,180.67052,0.008219,29500.5,0.008228
d1_compression_h4_expansion_v0,cell,6,pepperstone,p95,2019-01-01 to 2021-12-31,p95,2,50.0,0.746585,0.738356,1.476712,73.84,180.67052,0.008219,29500.5,0.008228
d1_compression_h4_expansion_v0,cell,7,dukascopy,best_case,2022-01-01 to 2024-12-31,p95,2,50.0,-0.094983,-0.10339,-0.20678,-10.34,0.02963,0.213094,44169.35,0.008407
d1_compression_h4_expansion_v0,cell,8,dukascopy,median,2022-01-01 to 2024-12-31,p95,2,50.0,-0.094983,-0.10339,-0.20678,-10.34,0.02963,0.213094,44169.35,0.008407
d1_compression_h4_expansion_v0,cell,9,dukascopy,p95,2022-01-01 to 2024-12-31,p95,2,50.0,-0.094983,-0.10339,-0.20678,-10.34,0.02963,0.213094,44169.35,0.008407
d1_compression_h4_expansion_v0,overall,all,mixed,measured,2016-01-01 to 2024-12-31,p95,4,50.0,0.325801,0.317483,1.269932,63.5,6.738172,0.213094,29500.5,0.008228
h4_trend_pullback_d1_bias_v0,cell,1,capital_com,best_case,2016-01-01 to 2018-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
h4_trend_pullback_d1_bias_v0,cell,2,capital_com,median,2016-01-01 to 2018-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
h4_trend_pullback_d1_bias_v0,cell,3,capital_com,p95,2016-01-01 to 2018-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
h4_trend_pullback_d1_bias_v0,cell,4,pepperstone,best_case,2019-01-01 to 2021-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
h4_trend_pullback_d1_bias_v0,cell,5,pepperstone,median,2019-01-01 to 2021-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
h4_trend_pullback_d1_bias_v0,cell,6,pepperstone,p95,2019-01-01 to 2021-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
h4_trend_pullback_d1_bias_v0,cell,7,dukascopy,best_case,2022-01-01 to 2024-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
h4_trend_pullback_d1_bias_v0,cell,8,dukascopy,median,2022-01-01 to 2024-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
h4_trend_pullback_d1_bias_v0,cell,9,dukascopy,p95,2022-01-01 to 2024-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
h4_trend_pullback_d1_bias_v0,overall,all,mixed,measured,2016-01-01 to 2024-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
weekly_level_h4_rejection_v0,cell,1,capital_com,best_case,2016-01-01 to 2018-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
weekly_level_h4_rejection_v0,cell,2,capital_com,median,2016-01-01 to 2018-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
weekly_level_h4_rejection_v0,cell,3,capital_com,p95,2016-01-01 to 2018-12-31,p95,0,0.0,0.0,0.0,0,0.0,,0.0,0.0,0.0
weekly_level_h4_rejection_v0,cell,4,pepperstone,best_case,2019-01-01 to 2021-12-31,p95,43,46.51,0.135544,0.018661,0.802404,40.12,1.031295,6.137595,714.45,0.104976
weekly_level_h4_rejection_v0,cell,5,pepperstone,median,2019-01-01 to 2021-12-31,p95,43,46.51,0.135544,0.018661,0.802404,40.12,1.031295,6.137595,714.45,0.104976
weekly_level_h4_rejection_v0,cell,6,pepperstone,p95,2019-01-01 to 2021-12-31,p95,43,46.51,0.135544,0.018661,0.802404,40.12,1.031295,6.137595,714.45,0.104976
weekly_level_h4_rejection_v0,cell,7,dukascopy,best_case,2022-01-01 to 2024-12-31,p95,14,28.57,-0.285714,-0.369034,-5.166476,-258.32,0.527372,5.470113,1020.51,0.074134
weekly_level_h4_rejection_v0,cell,8,dukascopy,median,2022-01-01 to 2024-12-31,p95,14,28.57,-0.285714,-0.369034,-5.166476,-258.32,0.527372,5.470113,1020.51,0.074134
weekly_level_h4_rejection_v0,cell,9,dukascopy,p95,2022-01-01 to 2024-12-31,p95,14,28.57,-0.285714,-0.369034,-5.166476,-258.32,0.527372,5.470113,1020.51,0.074134
weekly_level_h4_rejection_v0,overall,all,mixed,measured,2016-01-01 to 2024-12-31,p95,57,42.11,0.032077,-0.076563,-4.364072,-218.2,0.880671,10.419697,785.45,0.095487
