candidate_id,cell_id,broker,cost_model,measured_cost,signal_time_utc,entry_time_utc,exit_time_utc,direction,entry_price,stop_loss,take_profit_1_5r,take_profit_2_0r,exit_price,stop_distance_points,gross_r,cost_r_median,cost_r_p95,applied_cost_r,net_r,estimated_net_pnl_usd,exit_reason,reason_code
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2020-06-22T20:00:00Z,2020-06-23T00:00:00Z,2020-06-23T20:00:00Z,LONG,1755.04,1747.04679,1767.02982,1771.02643,1767.02982,799.32,1.5,0.062553,0.09383,0.09383,1.40617,70.31,TARGET_1_5R,WEEKLY_LEVEL_H4_REJECTION
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2020-06-25T04:00:00Z,2020-06-25T08:00:00Z,2020-06-26T20:00:00Z,LONG,1764.45,1750.72518,1785.03723,1791.89964,1750.72518,1372.48,-1.0,0.03643,0.054646,0.054646,-1.054646,-52.73,STOP,WEEKLY_LEVEL_H4_REJECTION
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2020-06-26T20:00:00Z,2020-06-27T00:00:00Z,2020-07-03T20:00:00Z,LONG,1767.49,1744.98732,1801.24402,1812.49536,1774.88,2250.27,0.328405,0.02222,0.033329,0.033329,0.295076,14.75,MAX_HOLD_EXIT,WEEKLY_LEVEL_H4_REJECTION
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2020-07-14T16:00:00Z,2020-07-14T20:00:00Z,2020-07-21T12:00:00Z,LONG,1801.35,1788.48696,1820.64455,1827.07607,1820.64455,1286.3,1.5,0.038871,0.058307,0.058307,1.441693,72.08,TARGET_1_5R,WEEKLY_LEVEL_H4_REJECTION
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2020-11-24T12:00:00Z,2020-11-24T16:00:00Z,2020-11-24T16:00:00Z,SHORT,1825.58,1835.44089,1810.78866,1805.85821,1810.78866,986.09,1.5,0.050705,0.076058,0.076058,1.423942,71.2,TARGET_1_5R,WEEKLY_LEVEL_H4_REJECTION
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2020-12-14T20:00:00Z,2020-12-15T00:00:00Z,2020-12-15T12:00:00Z,SHORT,1828.88,1841.65875,1809.71188,1803.3225,1841.65875,1277.87,-1.0,0.039127,0.058691,0.058691,-1.058691,-52.93,STOP,WEEKLY_LEVEL_H4_REJECTION
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2021-02-12T20:00:00Z,2021-02-13T00:00:00Z,2021-02-16T16:00:00Z,SHORT,1819.53,1833.41714,1798.69929,1791.75571,1798.69929,1388.71,1.5,0.036005,0.054007,0.054007,1.445993,72.3,TARGET_1_5R,WEEKLY_LEVEL_H4_REJECTION
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2021-02-16T20:00:00Z,2021-02-17T00:00:00Z,2021-02-17T04:00:00Z,LONG,1796.58,1786.58571,1811.57143,1816.56857,1786.58571,999.43,-1.0,0.050029,0.075043,0.075043,-1.075043,-53.75,STOP,WEEKLY_LEVEL_H4_REJECTION
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2021-02-17T04:00:00Z,2021-02-17T08:00:00Z,2021-02-17T12:00:00Z,LONG,1791.04,1783.82696,1801.85955,1805.46607,1783.82696,721.3,-1.0,0.069319,0.103978,0.103978,-1.103978,-55.2,STOP,WEEKLY_LEVEL_H4_REJECTION
weekly_level_h4_rejection_v0,4,pepperstone,best_case,p95,2021-02-22T08:00:00Z,2021-02-22T12:00:00Z,2021-02-22T20:00:00Z,LONG,1789.52,1777.89589,1806.95616,1812.76821,1806.95616,1162.41,1.5,0.043014,0.064521,0.064521,1.435479,71.77,TARGET_1_5R,WEEKLY_LEVEL_H4_REJECTION
