entry_time,exit_time,candidate,status,symbol,direction,state,profit_aed,time_bucket,outcome,shadow_action,shadow_reason,position_ticket
2026-06-04 10:50:01,,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,OPEN,7.23,Morning 06:00-11:59,OPEN,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3807615
2026-06-04 08:20:00,2026-06-04 10:47:22,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-29.80,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3806189
2026-06-04 08:00:00,2026-06-04 08:19:36,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,28.97,Morning 06:00-11:59,WIN,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3806079
2026-06-04 07:25:03,2026-06-04 10:35:46,breakout_retest,ACCEPTED,EURUSD,SELL,CLOSED,-3.75,Morning 06:00-11:59,LOSS,KEEP,KEEP,3805846
2026-06-04 06:50:00,2026-06-04 07:40:33,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-27.67,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3805530
2026-06-04 06:30:00,2026-06-04 06:48:00,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,21.96,Morning 06:00-11:59,WIN,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3805467
2026-06-04 06:00:00,2026-06-04 06:10:15,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-37.00,Morning 06:00-11:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3804973
2026-06-04 05:45:00,2026-06-04 05:47:34,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-21.90,Night 20:00-05:59,LOSS,KEEP,KEEP,3804767
2026-06-04 05:25:00,2026-06-04 05:41:25,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,BUY,CLOSED,-20.61,Night 20:00-05:59,LOSS,KEEP,KEEP,3804685
2026-06-04 05:10:01,2026-06-04 08:34:14,breakout_retest,ACCEPTED,XAUUSD,BUY,CLOSED,77.64,Night 20:00-05:59,WIN,KEEP,KEEP,3804542
2026-06-04 04:20:01,2026-06-04 04:22:02,breakout_retest,ACCEPTED,XAUUSD,BUY,CLOSED,-19.73,Night 20:00-05:59,LOSS,KEEP,KEEP,3804232
2026-06-04 04:15:01,2026-06-04 05:10:02,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-26.68,Night 20:00-05:59,LOSS,KEEP,KEEP,3804205
2026-06-04 04:00:01,2026-06-04 04:00:29,symbol_normalized_round_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,-18.15,Night 20:00-05:59,LOSS,KEEP,KEEP,3804085
2026-06-04 02:20:00,2026-06-04 02:27:26,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-28.07,Night 20:00-05:59,LOSS,KEEP,KEEP,3803300
2026-06-04 02:05:00,2026-06-04 02:07:35,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-10.07,Night 20:00-05:59,LOSS,KEEP,KEEP,3803215
2026-06-03 22:40:01,2026-06-03 22:59:08,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-15.21,Night 20:00-05:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3801784
2026-06-03 21:55:01,2026-06-03 22:30:03,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-13.12,Night 20:00-05:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3801572
2026-06-03 21:20:00,2026-06-04 02:56:43,session_extreme_retest_v0,PROVISIONAL,USDJPY,BUY,CLOSED,-1.60,Night 20:00-05:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3801322
2026-06-03 20:50:00,2026-06-03 20:57:45,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-16.13,Night 20:00-05:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3801019
2026-06-03 20:15:02,2026-06-04 02:57:09,breakout_retest,ACCEPTED,EURUSD,SELL,CLOSED,-3.65,Night 20:00-05:59,LOSS,KEEP,KEEP,3800759
2026-06-03 20:05:01,2026-06-04 02:57:19,session_extreme_retest_v0,PROVISIONAL,EURUSD,SELL,CLOSED,-3.83,Night 20:00-05:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3800655
2026-06-03 19:20:00,2026-06-04 00:33:07,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,42.82,Evening 16:00-19:59,WIN,KEEP,KEEP,3800000
2026-06-03 19:10:00,2026-06-03 19:37:34,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,35.36,Evening 16:00-19:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3799878
2026-06-03 18:20:01,2026-06-04 02:57:02,swing_breakout_retest_v0,ACCEPTED,USDJPY,BUY,CLOSED,-1.97,Evening 16:00-19:59,LOSS,KEEP,KEEP,3799285
2026-06-03 18:20:00,2026-06-03 18:49:19,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-27.41,Evening 16:00-19:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3799276
2026-06-03 17:45:01,2026-06-03 18:59:49,session_extreme_retest_v0,PROVISIONAL,EURUSD,SELL,CLOSED,-3.64,Evening 16:00-19:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3798338
2026-06-03 17:30:01,2026-06-03 17:44:31,swing_breakout_retest_v0,ACCEPTED,XAUUSD,SELL,CLOSED,63.92,Evening 16:00-19:59,WIN,KEEP,KEEP,3798039
2026-06-03 17:25:01,2026-06-03 17:42:51,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,46.48,Evening 16:00-19:59,WIN,KEEP,KEEP,3797950
2026-06-03 17:05:01,,symbol_normalized_round_retest_v0,ACCEPTED,EURUSD,BUY,OPEN,2.90,Evening 16:00-19:59,OPEN,KEEP,KEEP,3797719
2026-06-03 17:00:01,2026-06-03 17:24:18,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,39.65,Evening 16:00-19:59,WIN,KEEP,KEEP,3797624
2026-06-03 16:40:01,2026-06-03 16:41:16,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,-23.29,Evening 16:00-19:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3797375
2026-06-03 16:30:00,2026-06-03 16:44:02,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-24.51,Evening 16:00-19:59,LOSS,KEEP,KEEP,3797251
2026-06-03 15:50:02,2026-06-03 16:20:00,breakout_retest,ACCEPTED,EURUSD,BUY,CLOSED,-3.67,Afternoon 12:00-15:59,LOSS,KEEP,KEEP,3796764
2026-06-03 15:20:00,2026-06-03 15:20:54,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-16.17,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3796571
2026-06-03 15:00:01,2026-06-03 15:45:09,session_extreme_retest_v0,PROVISIONAL,USDJPY,SELL,CLOSED,-1.24,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3796441
2026-06-03 14:40:00,2026-06-03 15:02:58,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,-18.78,Afternoon 12:00-15:59,LOSS,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3796311
2026-06-03 14:15:00,2026-06-03 16:38:14,session_extreme_retest_v0,PROVISIONAL,EURUSD,SELL,CLOSED,5.51,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3796077
2026-06-03 14:05:01,2026-06-03 14:06:12,session_extreme_retest_v0,PROVISIONAL,USDJPY,SELL,CLOSED,1.72,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3795860
2026-06-03 13:25:00,2026-06-03 13:36:12,breakout_retest,ACCEPTED,XAUUSD,SELL,CLOSED,29.74,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_XAUUSD_MORNING_AFTERNOON,3795528
2026-06-03 13:20:00,2026-06-03 13:29:57,session_extreme_retest_v0,PROVISIONAL,XAUUSD,SELL,CLOSED,34.88,Afternoon 12:00-15:59,WIN,BLOCK,BLOCK_PROVISIONAL_SESSION_EXTREME_RETEST,3795493
2026-06-03 13:15:01,2026-06-03 14:05:53,breakout_retest,ACCEPTED,EURUSD,SELL,CLOSED,-3.67,Afternoon 12:00-15:59,LOSS,KEEP,KEEP,3795452
