best_trade_aed,candidate,closed_pnl_aed,closed_win_rate_pct,latest_log_write,longs,losses,open,open_mark_pnl_aed,pnl_aed,rows_today,shorts,signals,status,symbol,wins,worst_trade_aed
7.4313,breakout_retest,30.2124,63.16,2026-06-01 15:05:01,14,7,0,0.0000,30.2124,134,5,19,ACCEPTED,EURUSD,12,-1.6753
7.4313,breakout_retest,30.2124,63.16,2026-06-06 00:54:59,14,7,0,0.0000,30.2124,252,5,19,ACCEPTED,EURUSD,12,-1.6753
4.4034,breakout_retest,-7.5961,15.38,2026-06-01 15:04:59,12,22,1,4.4034,-3.1927,134,15,27,ACCEPTED,USDJPY,4,-2.7455
4.4034,breakout_retest,-7.5961,15.38,2026-06-06 00:54:59,12,22,1,4.4034,-3.1927,252,15,27,ACCEPTED,USDJPY,4,-2.7455
14.8680,breakout_retest,48.7307,53.85,2026-06-01 15:04:58,1,6,0,0.0000,48.7307,134,12,13,ACCEPTED,XAUUSD,7,-7.6830
14.8680,breakout_retest,48.7307,53.85,2026-06-06 00:54:59,1,6,0,0.0000,48.7307,252,12,13,ACCEPTED,XAUUSD,7,-7.6830
4.7788,round_number_retest_v0,10.3711,100.00,2026-06-01 15:04:59,3,0,1,4.4034,14.7745,134,1,4,PROVISIONAL,USDJPY,3,1.2502
4.7788,round_number_retest_v0,10.3711,100.00,2026-06-06 00:54:59,3,0,1,4.4034,14.7745,252,1,4,PROVISIONAL,USDJPY,3,1.2502
25.4253,round_number_retest_v0,5.9655,42.59,2026-06-01 15:04:58,28,31,0,0.0000,5.9655,134,26,54,PROVISIONAL,XAUUSD,23,-22.3156
25.4253,round_number_retest_v0,5.9655,42.59,2026-06-06 00:54:59,28,31,0,0.0000,5.9655,252,26,54,PROVISIONAL,XAUUSD,23,-22.3156
-1.1194,session_extreme_retest_v0,-1.1194,0.00,2026-06-01 15:05:01,1,1,0,0.0000,-1.1194,134,0,1,PROVISIONAL,EURUSD,0,-1.1194
-1.1194,session_extreme_retest_v0,-1.1194,0.00,2026-06-06 00:54:59,1,1,0,0.0000,-1.1194,252,0,1,PROVISIONAL,EURUSD,0,-1.1194
4.7788,session_extreme_retest_v0,9.5274,66.67,2026-06-01 15:04:59,5,2,1,4.4034,13.9308,134,2,7,PROVISIONAL,USDJPY,4,-0.6880
4.7788,session_extreme_retest_v0,9.5274,66.67,2026-06-06 00:54:59,5,2,1,4.4034,13.9308,252,2,7,PROVISIONAL,USDJPY,4,-0.6880
n/a,session_extreme_retest_v0,0.0000,n/a,2026-06-01 15:04:58,0,0,0,0.0000,0.0000,134,0,0,PROVISIONAL,XAUUSD,0,n/a
n/a,session_extreme_retest_v0,0.0000,n/a,2026-06-06 00:54:59,0,0,0,0.0000,0.0000,252,0,0,PROVISIONAL,XAUUSD,0,n/a
7.4313,swing_breakout_retest_v0,23.6979,61.11,2026-06-01 15:05:01,14,7,0,0.0000,23.6979,134,4,18,ACCEPTED,EURUSD,11,-1.6753
7.4313,swing_breakout_retest_v0,23.6979,61.11,2026-06-06 00:54:59,14,7,0,0.0000,23.6979,252,4,18,ACCEPTED,EURUSD,11,-1.6753
2.1535,swing_breakout_retest_v0,-15.0304,8.33,2026-06-01 15:04:59,9,22,0,0.0000,-15.0304,134,15,24,ACCEPTED,USDJPY,2,-2.7455
2.1535,swing_breakout_retest_v0,-15.0304,8.33,2026-06-06 00:54:59,9,22,0,0.0000,-15.0304,252,15,24,ACCEPTED,USDJPY,2,-2.7455
14.1960,swing_breakout_retest_v0,45.8352,60.00,2026-06-01 15:04:58,1,4,0,0.0000,45.8352,134,9,10,ACCEPTED,XAUUSD,6,-7.1317
14.1960,swing_breakout_retest_v0,45.8352,60.00,2026-06-06 00:54:59,1,4,0,0.0000,45.8352,252,9,10,ACCEPTED,XAUUSD,6,-7.1317
5.1111,symbol_normalized_round_retest_v0,1.2176,50.00,2026-06-01 15:05:01,1,1,0,0.0000,1.2176,134,1,2,ACCEPTED,EURUSD,1,-3.8935
5.1111,symbol_normalized_round_retest_v0,1.2176,50.00,2026-06-06 00:54:59,1,1,0,0.0000,1.2176,252,1,2,ACCEPTED,EURUSD,1,-3.8935
4.7788,symbol_normalized_round_retest_v0,10.3711,100.00,2026-06-01 15:04:59,3,0,1,4.4034,14.7745,134,1,4,ACCEPTED,USDJPY,3,1.2502
4.7788,symbol_normalized_round_retest_v0,10.3711,100.00,2026-06-06 00:54:59,3,0,1,4.4034,14.7745,252,1,4,ACCEPTED,USDJPY,3,1.2502
25.4253,symbol_normalized_round_retest_v0,5.9655,42.59,2026-06-01 15:04:58,28,31,0,0.0000,5.9655,134,26,54,ACCEPTED,XAUUSD,23,-22.3156
25.4253,symbol_normalized_round_retest_v0,5.9655,42.59,2026-06-06 00:54:59,28,31,0,0.0000,5.9655,252,26,54,ACCEPTED,XAUUSD,23,-22.3156
