entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.01 00:40:00,2022-07-01,0,night,SHORT,2,0.01,1805.04,A1_M5_MOM_BEAR_QUALI,2022.07.01 05:38:18,2022-07-01,5,night,2022-07-01,0,night,3,1798.02,7.02,1007.02,tp 1798.04
2022.07.01 10:45:00,2022-07-01,10,morning,SHORT,4,0.01,1790.09,A1_M5_MOM_BEAR_QUALI,2022.07.01 13:04:03,2022-07-01,13,afternoon,2022-07-01,10,morning,5,1793.79,-3.7,1003.32,sl 1793.78
2022.07.05 13:10:00,2022-07-05,13,afternoon,SHORT,6,0.01,1795.97,A1_M5_MOM_BEAR_QUALI,2022.07.05 14:00:40,2022-07-05,14,afternoon,2022-07-05,13,afternoon,7,1780.77,15.2,1018.52,tp 1780.78
2022.07.05 17:30:00,2022-07-05,17,evening,SHORT,8,0.01,1764.38,A1_M5_MOM_BEAR_QUALI,2022.07.05 18:28:45,2022-07-05,18,evening,2022-07-05,17,evening,9,1767.88,-3.5,1015.02,sl 1767.88
2022.07.05 20:30:00,2022-07-05,20,night,SHORT,10,0.01,1765.56,A1_M5_MOM_BEAR_QUALI,2022.07.05 23:09:02,2022-07-05,23,night,2022-07-05,20,night,11,1769.06,-3.5,1011.52,sl 1769.06
2022.07.06 03:55:00,2022-07-06,3,night,SHORT,12,0.01,1769.46,A1_M5_MOM_BEAR_QUALI,2022.07.06 10:09:16,2022-07-06,10,morning,2022-07-06,3,night,13,1762.44,7.02,1018.54,tp 1762.46
2022.07.06 10:25:00,2022-07-06,10,morning,SHORT,14,0.01,1760.37,A1_M5_MOM_BEAR_QUALI,2022.07.06 12:07:28,2022-07-06,12,afternoon,2022-07-06,10,morning,15,1763.98,-3.61,1014.93,sl 1763.96
2022.07.06 13:50:00,2022-07-06,13,afternoon,SHORT,16,0.01,1760.10,A1_M5_MOM_BEAR_QUALI,2022.07.06 14:58:18,2022-07-06,14,afternoon,2022-07-06,13,afternoon,17,1745.47,14.63,1029.56,tp 1745.49
2022.07.06 15:55:00,2022-07-06,15,afternoon,SHORT,18,0.01,1735.08,A1_M5_MOM_BEAR_QUALI,2022.07.06 19:15:40,2022-07-06,19,evening,2022-07-06,15,afternoon,19,1742.21,-7.13,1022.43,sl 1742.17
2022.07.06 20:35:00,2022-07-06,20,night,SHORT,20,0.01,1738.61,A1_M5_MOM_BEAR_QUALI,2022.07.07 00:45:29,2022-07-07,0,night,2022-07-06,20,night,21,1742.14,-3.53,1018.9,sl 1742.11
