entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.04 00:00:00,2022-07-04,0,night,SHORT,2,0.01,1808.12,A1_M5_MOM_BEAR_QUALI,2022.07.04 02:17:42,2022-07-04,2,night,2022-07-04,0,night,3,1814.18,-6.06,993.94,sl 1814.16
2022.07.04 08:00:00,2022-07-04,8,morning,SHORT,4,0.01,1808.85,A1_M5_MOM_BEAR_QUALI,2022.07.05 13:30:05,2022-07-05,13,afternoon,2022-07-04,8,morning,5,1793.01,15.84,1009.78,tp 1793.03
2022.07.13 20:00:00,2022-07-13,20,night,SHORT,6,0.01,1733.05,A1_M5_MOM_BEAR_QUALI,2022.07.14 13:32:28,2022-07-14,13,afternoon,2022-07-13,20,night,7,1703.26,29.79,1039.57,tp 1703.27
2022.07.18 20:00:00,2022-07-18,20,night,SHORT,8,0.01,1707.47,A1_M5_MOM_BEAR_QUALI,2022.07.22 11:30:29,2022-07-22,11,morning,2022-07-18,20,night,9,1725.94,-18.47,1021.1,sl 1725.93
2022.07.27 04:00:00,2022-07-27,4,night,SHORT,10,0.01,1716.80,A1_M5_MOM_BEAR_QUALI,2022.07.27 18:35:42,2022-07-27,18,evening,2022-07-27,4,night,11,1727.55,-10.75,1010.35,sl 1727.50
2022.08.23 20:00:00,2022-08-23,20,night,SHORT,12,0.01,1747.21,A1_M5_MOM_BEAR_QUALI,2022.08.24 15:15:38,2022-08-24,15,afternoon,2022-08-23,20,night,13,1755.80,-8.59,1001.76,sl 1755.80
2022.08.26 00:00:00,2022-08-26,0,night,SHORT,14,0.01,1756.41,A1_M5_MOM_BEAR_QUALI,2022.08.26 15:17:40,2022-08-26,15,afternoon,2022-08-26,0,night,15,1735.18,21.23,1022.99,tp 1735.18
2022.08.26 16:00:00,2022-08-26,16,evening,SHORT,16,0.01,1737.11,A1_M5_MOM_BEAR_QUALI,2022.09.01 14:45:38,2022-09-01,14,afternoon,2022-08-26,16,evening,17,1689.63,47.48,1070.47,tp 1689.63
2022.09.05 00:00:00,2022-09-05,0,night,SHORT,18,0.01,1707.98,A1_M5_MOM_BEAR_QUALI,2022.09.06 00:33:38,2022-09-06,0,night,2022-09-05,0,night,19,1719.76,-11.78,1058.69,sl 1719.70
2022.09.06 08:00:00,2022-09-06,8,morning,SHORT,20,0.01,1715.72,A1_M5_MOM_BEAR_QUALI,2022.09.08 11:40:40,2022-09-08,11,morning,2022-09-06,8,morning,21,1728.28,-12.56,1046.13,sl 1728.28
2022.09.08 20:00:00,2022-09-08,20,night,SHORT,22,0.01,1706.81,A1_M5_MOM_BEAR_QUALI,2022.09.12 12:00:38,2022-09-12,12,afternoon,2022-09-08,20,night,23,1730.66,-23.85,1022.28,sl 1730.66
2022.09.19 04:00:00,2022-09-19,4,night,SHORT,24,0.01,1669.18,A1_M5_MOM_BEAR_QUALI,2022.09.21 18:44:24,2022-09-21,18,evening,2022-09-19,4,night,25,1682.86,-13.68,1008.6,sl 1682.85
2022.09.22 00:00:00,2022-09-22,0,night,SHORT,26,0.01,1667.01,A1_M5_MOM_BEAR_QUALI,2022.09.28 06:18:38,2022-09-28,6,morning,2022-09-22,0,night,27,1620.49,46.52,1055.12,tp 1620.52
2022.09.29 04:00:00,2022-09-29,4,night,SHORT,28,0.01,1654.47,A1_M5_MOM_BEAR_QUALI,2022.09.30 00:59:14,2022-09-30,0,night,2022-09-29,4,night,29,1665.40,-10.93,1044.19,sl 1665.40
2022.10.13 04:00:00,2022-10-13,4,night,SHORT,30,0.01,1669.31,A1_M5_MOM_BEAR_QUALI,2022.10.13 11:39:37,2022-10-13,11,morning,2022-10-13,4,night,31,1680.60,-11.29,1032.9,sl 1680.59
2022.10.13 20:00:00,2022-10-13,20,night,SHORT,32,0.01,1663.92,A1_M5_MOM_BEAR_QUALI,2022.10.21 03:45:00,2022-10-21,3,night,2022-10-13,20,night,33,1621.22,42.7,1075.6,tp 1621.22
2022.10.25 08:00:00,2022-10-25,8,morning,SHORT,34,0.01,1645.24,A1_M5_MOM_BEAR_QUALI,2022.10.25 13:45:21,2022-10-25,13,afternoon,2022-10-25,8,morning,35,1657.48,-12.24,1063.36,sl 1657.46
2023.10.05 08:00:00,2023-10-05,8,morning,SHORT,36,0.01,1820.71,A1_M5_MOM_BEAR_QUALI,2023.10.06 15:27:29,2023-10-06,15,afternoon,2023-10-05,8,morning,37,1832.67,-11.96,1051.4,sl 1832.67
