entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.01 01:15:00,2022-07-01,1,night,SHORT,2,0.01,1805.42,A1_M5_MOM_BEAR_QUALI,2022.07.01 05:37:36,2022-07-01,5,night,2022-07-01,1,night,3,1798.40,7.02,1007.02,tp 1798.42
2022.07.01 06:35:00,2022-07-01,6,morning,SHORT,4,0.01,1797.10,A1_M5_MOM_BEAR_QUALI,2022.07.01 11:18:39,2022-07-01,11,morning,2022-07-01,6,morning,5,1788.39,8.71,1015.73,tp 1788.42
2022.07.05 13:25:00,2022-07-05,13,afternoon,SHORT,6,0.01,1794.89,A1_M5_MOM_BEAR_QUALI,2022.07.05 14:01:42,2022-07-05,14,afternoon,2022-07-05,13,afternoon,7,1778.99,15.9,1031.63,tp 1779.01
2022.07.06 11:35:00,2022-07-06,11,morning,SHORT,8,0.01,1760.89,A1_M5_MOM_BEAR_QUALI,2022.07.06 12:07:39,2022-07-06,12,afternoon,2022-07-06,11,morning,9,1764.39,-3.5,1028.13,sl 1764.39
2022.07.06 22:45:00,2022-07-06,22,night,SHORT,10,0.01,1739.13,A1_M5_MOM_BEAR_QUALI,2022.07.07 00:50:59,2022-07-07,0,night,2022-07-06,22,night,11,1742.64,-3.51,1024.62,sl 1742.63
2022.07.07 18:20:00,2022-07-07,18,evening,SHORT,12,0.01,1739.69,A1_M5_MOM_BEAR_QUALI,2022.07.08 00:24:28,2022-07-08,0,night,2022-07-07,18,evening,13,1743.19,-3.5,1021.12,sl 1743.19
2022.07.11 19:05:00,2022-07-11,19,evening,SHORT,14,0.01,1734.31,A1_M5_MOM_BEAR_QUALI,2022.07.12 01:01:38,2022-07-12,1,night,2022-07-11,19,evening,15,1727.28,7.03,1028.15,tp 1727.31
2022.07.12 20:15:00,2022-07-12,20,night,SHORT,16,0.01,1725.13,A1_M5_MOM_BEAR_QUALI,2022.07.13 01:34:40,2022-07-13,1,night,2022-07-12,20,night,17,1728.66,-3.53,1024.62,sl 1728.63
2022.07.14 08:00:00,2022-07-14,8,morning,SHORT,18,0.01,1718.28,A1_M5_MOM_BEAR_QUALI,2022.07.14 13:01:38,2022-07-14,13,afternoon,2022-07-14,8,morning,19,1707.28,11.0,1035.62,tp 1707.28
2022.07.15 08:10:00,2022-07-15,8,morning,SHORT,20,0.01,1702.61,A1_M5_MOM_BEAR_QUALI,2022.07.15 10:52:37,2022-07-15,10,morning,2022-07-15,8,morning,21,1706.22,-3.61,1032.01,sl 1706.22
2022.07.20 19:10:00,2022-07-20,19,evening,SHORT,22,0.01,1700.83,A1_M5_MOM_BEAR_QUALI,2022.07.20 20:00:39,2022-07-20,20,night,2022-07-20,19,evening,23,1693.76,7.07,1039.08,tp 1693.83
2022.07.20 23:50:00,2022-07-20,23,night,SHORT,24,0.01,1694.85,A1_M5_MOM_BEAR_QUALI,2022.07.21 07:11:22,2022-07-21,7,morning,2022-07-20,23,night,25,1687.85,7.0,1046.08,tp 1687.85
2022.07.21 10:55:00,2022-07-21,10,morning,SHORT,26,0.01,1682.30,A1_M5_MOM_BEAR_QUALI,2022.07.21 12:15:32,2022-07-21,12,afternoon,2022-07-21,10,morning,27,1685.98,-3.68,1042.4,sl 1685.97
2022.08.22 11:00:00,2022-08-22,11,morning,SHORT,28,0.01,1734.53,A1_M5_MOM_BEAR_QUALI,2022.08.22 13:35:57,2022-08-22,13,afternoon,2022-08-22,11,morning,29,1738.03,-3.5,1038.9,sl 1738.03
2022.08.26 16:45:00,2022-08-26,16,evening,SHORT,30,0.01,1734.57,A1_M5_MOM_BEAR_QUALI,2022.08.26 17:34:36,2022-08-26,17,evening,2022-08-26,16,evening,31,1738.22,-3.65,1035.25,sl 1738.21
2022.08.29 00:45:00,2022-08-29,0,night,SHORT,32,0.01,1734.23,A1_M5_MOM_BEAR_QUALI,2022.08.29 01:24:29,2022-08-29,1,night,2022-08-29,0,night,33,1727.23,7.0,1042.25,tp 1727.23
2022.08.29 03:40:00,2022-08-29,3,night,SHORT,34,0.01,1726.23,A1_M5_MOM_BEAR_QUALI,2022.08.29 10:51:36,2022-08-29,10,morning,2022-08-29,3,night,35,1729.74,-3.51,1038.74,sl 1729.73
2022.08.31 08:10:00,2022-08-31,8,morning,SHORT,36,0.01,1720.31,A1_M5_MOM_BEAR_QUALI,2022.08.31 09:00:41,2022-08-31,9,morning,2022-08-31,8,morning,37,1713.30,7.01,1045.75,tp 1713.31
2022.08.31 09:25:00,2022-08-31,9,morning,SHORT,38,0.01,1712.86,A1_M5_MOM_BEAR_QUALI,2022.08.31 13:47:04,2022-08-31,13,afternoon,2022-08-31,9,morning,39,1717.01,-4.15,1041.6,sl 1717.00
2022.08.31 18:25:00,2022-08-31,18,evening,SHORT,40,0.01,1712.73,A1_M5_MOM_BEAR_QUALI,2022.08.31 22:21:37,2022-08-31,22,night,2022-08-31,18,evening,41,1705.69,7.04,1048.64,tp 1705.73
2022.09.01 01:10:00,2022-09-01,1,night,SHORT,42,0.01,1705.61,A1_M5_MOM_BEAR_QUALI,2022.09.01 12:41:26,2022-09-01,12,afternoon,2022-09-01,1,night,43,1698.58,7.03,1055.67,tp 1698.61
2022.09.01 13:15:00,2022-09-01,13,afternoon,SHORT,44,0.01,1697.98,A1_M5_MOM_BEAR_QUALI,2022.09.02 07:49:05,2022-09-02,7,morning,2022-09-01,13,afternoon,45,1704.40,-6.42,1049.25,sl 1704.39
2022.09.07 01:10:00,2022-09-07,1,night,SHORT,46,0.01,1694.78,A1_M5_MOM_BEAR_QUALI,2022.09.07 06:49:36,2022-09-07,6,morning,2022-09-07,1,night,47,1699.33,-4.55,1044.7,sl 1699.32
2022.09.14 00:50:00,2022-09-14,0,night,SHORT,48,0.01,1700.46,A1_M5_MOM_BEAR_QUALI,2022.09.14 04:38:04,2022-09-14,4,night,2022-09-14,0,night,49,1703.96,-3.5,1041.2,sl 1703.96
2022.09.15 06:40:00,2022-09-15,6,morning,SHORT,50,0.01,1687.49,A1_M5_MOM_BEAR_QUALI,2022.09.15 10:04:04,2022-09-15,10,morning,2022-09-15,6,morning,51,1690.99,-3.5,1037.7,sl 1690.99
