entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.01 04:00:00,2022-07-01,4,night,SHORT,2,0.01,1801.46,A1_M5_MOM_DOWN_H4_D1,2022.07.05 15:28:38,2022-07-05,15,afternoon,2022-07-01,4,night,6,1765.93,32.23,1032.23,tp 1765.96
2022.07.01 08:00:00,2022-07-01,8,morning,SHORT,3,0.01,1794.81,A1_M5_MOM_DOWN_H4_D1,2022.07.06 15:09:38,2022-07-06,15,afternoon,2022-07-01,8,morning,9,1738.21,63.25,1095.48,tp 1738.24
2022.07.01 12:00:00,2022-07-01,12,afternoon,SHORT,4,0.01,1790.51,A1_M5_MOM_DOWN_H4_D1,2022.07.13 12:33:14,2022-07-13,12,afternoon,2022-07-01,12,afternoon,13,1718.16,76.65,1172.13,tp 1718.17
2022.07.05 12:00:00,2022-07-05,12,afternoon,SHORT,5,0.01,1798.16,A1_M5_MOM_DOWN_H4_D1,2022.07.13 15:07:03,2022-07-13,15,afternoon,2022-07-05,12,afternoon,14,1744.50,-18.74,1153.39,sl 1744.48
2022.07.05 16:00:00,2022-07-05,16,evening,SHORT,7,0.01,1768.93,A1_M5_MOM_DOWN_H4_D1,2022.07.14 13:03:02,2022-07-14,13,afternoon,2022-07-05,16,evening,15,1705.37,85.14,1238.53,tp 1705.39
2022.07.06 12:00:00,2022-07-06,12,afternoon,SHORT,8,0.01,1763.21,A1_M5_MOM_DOWN_H4_D1,2022.07.21 01:03:28,2022-07-21,1,night,2022-07-06,12,afternoon,17,1691.81,40.39,1278.92,tp 1691.82
2022.07.06 16:00:00,2022-07-06,16,evening,SHORT,10,0.01,1733.71,A1_M5_MOM_DOWN_H4_D1,2022.07.21 15:05:41,2022-07-21,15,afternoon,2022-07-06,16,evening,20,1718.42,-26.87,1252.05,sl 1718.40
2022.07.11 20:00:00,2022-07-11,20,night,SHORT,11,0.01,1732.20,A1_M5_MOM_DOWN_H4_D1,2022.07.21 15:05:41,2022-07-21,15,afternoon,2022-07-11,20,night,21,1718.42,-33.55,1218.5,sl 1718.40
2022.07.12 20:00:00,2022-07-12,20,night,SHORT,12,0.01,1725.76,A1_M5_MOM_DOWN_H4_D1,2022.07.22 09:31:19,2022-07-22,9,morning,2022-07-12,20,night,22,1723.93,-28.24,1190.26,sl 1723.92
2022.07.20 20:00:00,2022-07-20,20,night,SHORT,16,0.01,1695.69,A1_M5_MOM_DOWN_H4_D1,2022.08.25 05:04:34,2022-08-25,5,night,2022-07-20,20,night,26,1758.51,-23.56,1166.7,sl 1758.51
2022.07.21 04:00:00,2022-07-21,4,night,SHORT,18,0.01,1691.55,A1_M5_MOM_DOWN_H4_D1,2022.08.25 05:04:35,2022-08-25,5,night,2022-07-21,4,night,27,1758.53,-21.44,1145.26,sl 1758.52
2022.07.21 12:00:00,2022-07-21,12,afternoon,SHORT,19,0.01,1684.87,A1_M5_MOM_DOWN_H4_D1,2022.08.25 05:04:37,2022-08-25,5,night,2022-07-21,12,afternoon,28,1758.57,-25.29,1119.97,sl 1758.56
2022.08.22 08:00:00,2022-08-22,8,morning,SHORT,23,0.01,1737.09,A1_M5_MOM_DOWN_H4_D1,2022.09.07 17:10:35,2022-09-07,17,evening,2022-08-22,8,morning,40,1715.73,-15.63,1104.34,sl 1715.72
2022.08.22 12:00:00,2022-08-22,12,afternoon,SHORT,24,0.01,1733.28,A1_M5_MOM_DOWN_H4_D1,2022.09.07 17:10:35,2022-09-07,17,evening,2022-08-22,12,afternoon,41,1715.75,-12.68,1091.66,sl 1715.74
2022.08.22 20:00:00,2022-08-22,20,night,SHORT,25,0.01,1734.95,A1_M5_MOM_DOWN_H4_D1,2022.09.08 11:39:14,2022-09-08,11,morning,2022-08-22,20,night,42,1726.78,-33.39,1058.27,sl 1726.77
