entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.01 13:05:00,2022-07-01,13,afternoon,LONG,2,0.01,1793.35,A1_M5_MOM_NONUP_ORRE,2022.07.01 14:15:40,2022-07-01,14,afternoon,2022-07-01,13,afternoon,3,1801.66,8.31,1008.31,tp 1801.65
2022.07.04 08:20:00,2022-07-04,8,morning,LONG,4,0.01,1808.49,A1_M5_MOM_NONUP_ORRE,2022.07.04 09:43:36,2022-07-04,9,morning,2022-07-04,8,morning,5,1805.98,-2.51,1005.8,sl 1805.99
2022.07.04 12:45:00,2022-07-04,12,afternoon,LONG,6,0.01,1809.61,A1_M5_MOM_NONUP_ORRE,2022.07.04 15:22:50,2022-07-04,15,afternoon,2022-07-04,12,afternoon,7,1807.11,-2.5,1003.3,sl 1807.11
2022.07.06 08:20:00,2022-07-06,8,morning,SHORT,8,0.01,1769.85,A1_M5_MOM_NONUP_ORRE,2022.07.06 09:06:29,2022-07-06,9,morning,2022-07-06,8,morning,9,1764.74,5.11,1008.41,tp 1764.75
2022.07.06 13:05:00,2022-07-06,13,afternoon,LONG,10,0.01,1767.14,A1_M5_MOM_NONUP_ORRE,2022.07.06 13:20:41,2022-07-06,13,afternoon,2022-07-06,13,afternoon,11,1763.27,-3.87,1004.54,sl 1763.28
2022.07.07 09:00:00,2022-07-07,9,morning,LONG,12,0.01,1742.14,A1_M5_MOM_NONUP_ORRE,2022.07.07 12:48:30,2022-07-07,12,afternoon,2022-07-07,9,morning,13,1739.62,-2.52,1002.02,sl 1739.64
2022.07.08 08:15:00,2022-07-08,8,morning,SHORT,14,0.01,1742.21,A1_M5_MOM_NONUP_ORRE,2022.07.08 08:25:38,2022-07-08,8,morning,2022-07-08,8,morning,15,1735.72,6.49,1008.51,tp 1735.75
2022.07.08 12:25:00,2022-07-08,12,afternoon,SHORT,16,0.01,1740.80,A1_M5_MOM_NONUP_ORRE,2022.07.08 12:30:37,2022-07-08,12,afternoon,2022-07-08,12,afternoon,17,1735.79,5.01,1013.52,tp 1735.80
2022.07.11 11:00:00,2022-07-11,11,morning,LONG,18,0.01,1736.19,A1_M5_MOM_NONUP_ORRE,2022.07.11 11:38:37,2022-07-11,11,morning,2022-07-11,11,morning,19,1733.67,-2.52,1011.0,sl 1733.69
2022.07.11 12:20:00,2022-07-11,12,afternoon,LONG,20,0.01,1736.51,A1_M5_MOM_NONUP_ORRE,2022.07.11 13:52:30,2022-07-11,13,afternoon,2022-07-11,12,afternoon,21,1741.52,5.01,1016.01,tp 1741.51
2022.07.12 08:15:00,2022-07-12,8,morning,LONG,22,0.01,1734.03,A1_M5_MOM_NONUP_ORRE,2022.07.12 08:38:41,2022-07-12,8,morning,2022-07-12,8,morning,23,1739.06,5.03,1021.04,tp 1739.03
2022.07.12 08:45:00,2022-07-12,8,morning,SHORT,24,0.01,1737.56,A1_M5_MOM_NONUP_ORRE,2022.07.12 10:31:51,2022-07-12,10,morning,2022-07-12,8,morning,25,1732.56,5.0,1026.04,tp 1732.56
2022.07.12 10:50:00,2022-07-12,10,morning,LONG,26,0.01,1733.37,A1_M5_MOM_NONUP_ORRE,2022.07.12 11:20:38,2022-07-12,11,morning,2022-07-12,10,morning,27,1738.37,5.0,1031.04,tp 1738.37
2022.07.12 11:35:00,2022-07-12,11,morning,SHORT,28,0.01,1737.10,A1_M5_MOM_NONUP_ORRE,2022.07.12 12:26:37,2022-07-12,12,afternoon,2022-07-12,11,morning,29,1731.84,5.26,1036.3,tp 1731.85
