entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.01 00:40:00,2022-07-01,0,night,SHORT,2,0.01,1805.04,A1_M5_MOM_SHORT_HEDG,2022.07.01 05:38:18,2022-07-01,5,night,2022-07-01,0,night,3,1798.02,7.02,1007.02,tp 1798.04
2022.07.01 05:40:00,2022-07-01,5,night,SHORT,4,0.01,1795.58,A1_M5_MOM_SHORT_HEDG,2022.07.01 05:52:38,2022-07-01,5,night,2022-07-01,5,night,5,1799.08,-3.5,1003.52,sl 1799.08
2022.07.01 10:45:00,2022-07-01,10,morning,SHORT,6,0.01,1790.09,A1_M5_MOM_SHORT_HEDG,2022.07.01 13:04:03,2022-07-01,13,afternoon,2022-07-01,10,morning,7,1793.79,-3.7,999.82,sl 1793.78
2022.07.05 11:20:00,2022-07-05,11,morning,SHORT,8,0.01,1799.20,A1_M5_MOM_SHORT_HEDG,2022.07.05 12:17:20,2022-07-05,12,afternoon,2022-07-05,11,morning,9,1802.71,-3.51,996.31,sl 1802.70
2022.07.05 13:10:00,2022-07-05,13,afternoon,SHORT,10,0.01,1795.97,A1_M5_MOM_SHORT_HEDG,2022.07.05 14:00:40,2022-07-05,14,afternoon,2022-07-05,13,afternoon,11,1780.77,15.2,1011.51,tp 1780.78
2022.07.05 14:05:00,2022-07-05,14,afternoon,SHORT,12,0.01,1777.61,A1_M5_MOM_SHORT_HEDG,2022.07.06 10:12:20,2022-07-06,10,morning,2022-07-05,14,afternoon,13,1761.73,15.88,1027.39,tp 1761.77
2022.07.06 10:25:00,2022-07-06,10,morning,SHORT,14,0.01,1760.37,A1_M5_MOM_SHORT_HEDG,2022.07.06 12:07:28,2022-07-06,12,afternoon,2022-07-06,10,morning,15,1763.98,-3.61,1023.78,sl 1763.96
2022.07.06 13:50:00,2022-07-06,13,afternoon,SHORT,16,0.01,1760.10,A1_M5_MOM_SHORT_HEDG,2022.07.06 14:58:18,2022-07-06,14,afternoon,2022-07-06,13,afternoon,17,1745.47,14.63,1038.41,tp 1745.49
2022.07.06 15:00:00,2022-07-06,15,afternoon,SHORT,18,0.01,1743.72,A1_M5_MOM_SHORT_HEDG,2022.07.12 01:10:38,2022-07-12,1,night,2022-07-06,15,afternoon,19,1726.12,17.6,1056.01,tp 1726.12
2022.07.12 01:15:00,2022-07-12,1,night,SHORT,20,0.01,1724.69,A1_M5_MOM_SHORT_HEDG,2022.07.12 01:29:27,2022-07-12,1,night,2022-07-12,1,night,21,1728.50,-3.81,1052.2,sl 1728.48
2022.07.12 03:40:00,2022-07-12,3,night,SHORT,22,0.01,1733.37,A1_M5_MOM_SHORT_HEDG,2022.07.12 05:16:19,2022-07-12,5,night,2022-07-12,3,night,23,1726.34,7.03,1059.23,tp 1726.37
2022.07.12 08:10:00,2022-07-12,8,morning,SHORT,24,0.01,1732.84,A1_M5_MOM_SHORT_HEDG,2022.07.12 08:33:30,2022-07-12,8,morning,2022-07-12,8,morning,25,1736.70,-3.86,1055.37,sl 1736.70
2022.07.12 13:20:00,2022-07-12,13,afternoon,SHORT,26,0.01,1730.24,A1_M5_MOM_SHORT_HEDG,2022.07.13 12:33:03,2022-07-13,12,afternoon,2022-07-12,13,afternoon,27,1720.08,10.16,1065.53,tp 1720.10
2022.07.14 01:55:00,2022-07-14,1,night,SHORT,28,0.01,1725.71,A1_M5_MOM_SHORT_HEDG,2022.07.14 02:32:33,2022-07-14,2,night,2022-07-14,1,night,29,1729.25,-3.54,1061.99,sl 1729.21
2022.07.14 07:00:00,2022-07-14,7,morning,SHORT,30,0.01,1721.15,A1_M5_MOM_SHORT_HEDG,2022.07.14 09:32:39,2022-07-14,9,morning,2022-07-14,7,morning,31,1712.80,8.35,1070.34,tp 1712.83
2022.07.14 09:35:00,2022-07-14,9,morning,SHORT,32,0.01,1712.47,A1_M5_MOM_SHORT_HEDG,2022.07.14 09:45:36,2022-07-14,9,morning,2022-07-14,9,morning,33,1716.38,-3.91,1066.43,sl 1716.37
