date,open,high,low,close,source,regime,atr14,atr14_pct_252,ema50,ema200,ema50_slope_20_pct,ret20_pct,ret60_pct,range20_pct_rank_252
2016-07-09,1360.81,1370.18,1335.17,1364.93,capital_com_processed_d1,unknown,24.47214285714285,96.02649006622516,1291.9396466257856,,3.2748016364247734,5.513253608119917,5.507544369550432,83.56164383561644
2016-07-11,1368.43,1374.83,1366.84,1369.74,capital_com_processed_d1,unknown,23.67642857142854,92.10526315789474,1294.990640875755,,3.4182964653778125,6.84899449272196,5.7779631174126544,81.63265306122449
2016-07-12,1369.72,1371.14,1350.57,1354.15,capital_com_processed_d1,unknown,18.418571428571404,61.43790849673203,1297.3106157433724,,3.4533581149174264,4.281698817912294,4.998914459400794,84.45945945945947
2016-07-13,1354.28,1357.59,1330.31,1333.69,capital_com_processed_d1,unknown,18.969999999999978,63.63636363636363,1298.7372582632402,,3.4531652868215357,3.448570076712465,3.639895869759502,85.23489932885906
2016-07-14,1333.6,1346.56,1327.46,1345.48,capital_com_processed_d1,unknown,19.1935714285714,65.16129032258064,1300.5703069587994,,3.4940986161530407,4.471655187943058,4.899270255098842,84.0
2016-07-15,1345.67,1347.03,1320.08,1335.21,capital_com_processed_d1,unknown,19.661428571428555,66.66666666666666,1301.9287262937485,,3.5624492890828474,5.220810742655413,4.528872048600241,84.76821192052981
2016-07-16,1335.25,1338.64,1322.41,1338.29,capital_com_processed_d1,unknown,19.78285714285713,68.15286624203821,1303.3546585959546,,3.6581998879340105,5.993933201859636,3.8400062073246533,83.55263157894737
2016-07-18,1334.11,1334.12,1329.8,1332.71,capital_com_processed_d1,unknown,19.40642857142856,65.18987341772153,1304.5058484549368,,3.7177569837602675,5.165515880844351,3.666049565176821,71.89542483660131
2016-07-19,1332.78,1335.36,1323.38,1328.81,capital_com_processed_d1,unknown,18.546428571428546,60.37735849056604,1305.458952437096,,3.606418925782484,0.998730684746163,5.262282355550618,22.727272727272727
2016-07-20,1328.73,1334.89,1325.45,1332.77,capital_com_processed_d1,unknown,18.839999999999982,61.875,1306.529973910151,,3.4577731278022217,0.01425805580153039,5.371472846153247,21.935483870967744
2016-07-21,1332.69,1338.25,1312.48,1312.71,capital_com_processed_d1,unknown,19.465714285714267,66.45962732919256,1306.7723278744588,,3.2792540889602373,-0.8908955009777175,2.7553600363206643,25.64102564102564
2016-07-22,1312.81,1333.79,1310.77,1332.33,capital_com_processed_d1,unknown,19.22285714285712,64.19753086419753,1307.7745895264409,,3.2028868344229133,1.401150754992675,5.181179442646244,12.738853503184714
2016-07-23,1332.35,1333.43,1319.58,1322.39,capital_com_processed_d1,unknown,19.110714285714284,62.57668711656442,1308.3477428783451,,3.0927058151565268,0.4931985713200193,3.8553365271342344,13.924050632911392
2016-07-25,1321.77,1323.22,1320.07,1323.21,capital_com_processed_d1,unknown,17.91,53.04878048780488,1308.930576490959,,2.9713867334597577,0.1172767580164269,3.88383814593245,13.836477987421384
2016-07-26,1323.19,1323.69,1312.25,1316.01,capital_com_processed_d1,unknown,16.226428571428578,42.42424242424242,1309.208200942294,,2.767745272069666,-1.957117739964831,3.2083758136616902,15.0
2016-07-27,1316.06,1324.46,1313.76,1318.97,capital_com_processed_d1,unknown,16.283571428571445,42.77108433734939,1309.591016591616,,2.580476429243128,-1.7724554465768483,3.098496869455114,14.906832298136646
2016-07-28,1319.05,1342.32,1315.67,1339.59,capital_com_processed_d1,unknown,16.717857142857138,45.50898203592814,1310.7674473135135,,2.44337208919323,-0.7343460540941149,6.284612577159243,12.345679012345679
2016-07-29,1339.58,1345.52,1332.36,1335.97,capital_com_processed_d1,unknown,15.709285714285718,35.11904761904761,1311.7557827129835,,2.2606789222802792,-1.9428378497401755,6.302714917724939,12.883435582822086
2016-07-30,1336.07,1354.9,1328.27,1351.11,capital_com_processed_d1,unknown,16.247142857142876,42.60355029585799,1313.29908535169,,2.1204521404556864,-1.1052473631433024,7.923892292576928,11.585365853658537
2016-08-01,1350.61,1350.9,1348.1,1348.97,capital_com_processed_d1,unknown,14.537142857142872,22.941176470588236,1314.697944749663,,1.9967638456369174,-0.8671560954459534,7.742625975415929,12.121212121212121
2016-08-02,1348.98,1354.77,1346.17,1352.67,capital_com_processed_d1,unknown,13.992142857142865,13.450292397660817,1316.1870449555586,,1.8768212890672542,-0.8982145604536473,8.262101421436796,11.44578313253012
2016-08-03,1352.64,1367.21,1347.01,1362.94,capital_com_processed_d1,unknown,14.828571428571438,25.581395348837212,1318.0204941729878,,1.7783799025496094,-0.4964445807233431,11.235890864870601,5.9880239520958085
2016-08-04,1362.92,1366.33,1354.07,1356.05,capital_com_processed_d1,unknown,14.848571428571452,26.011560693641616,1319.5118473426746,,1.7113273667756612,0.14030941919285222,10.699766526800424,0.5952380952380952
2016-08-05,1356.09,1364.93,1349.05,1360.11,capital_com_processed_d1,unknown,15.308571428571456,31.60919540229885,1321.103931760609,,1.722186173920881,1.9809700905007777,11.299231606425364,0.591715976331361
2016-08-06,1360.13,1364.59,1334.61,1336.87,capital_com_processed_d1,unknown,15.609285714285745,35.42857142857142,1321.7222089464676,,1.6263559051358678,-0.6399203258316777,10.335578224555132,1.7647058823529411
