component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
bear_m5_ema_h1_only_rr2_morefreq,bear_m5_ema_h1_only_rr2_morefreq,bear_m5_ema_h1_only_rr2_morefreq,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1_only_rr2_morefreq,0,bear_m5_ema_h1_only_rr2_morefreq,2022-07-01 01:15:00,2022-07-01,2022-07-01 05:37:36,2022-07-01,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1_only_rr2_morefreq_trades.csv,2,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 01:15:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-01 01:15:00,2022-07-01,2022-07-01 05:37:36,2022-07-01,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,2,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 01:15:00
bear_m5_ema_h1h4_rr2_strict_body,bear_m5_ema_h1h4_rr2_strict_body,bear_m5_ema_h1h4_rr2_strict_body,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_strict_body,0,bear_m5_ema_h1h4_rr2_strict_body,2022-07-01 01:15:00,2022-07-01,2022-07-01 05:37:36,2022-07-01,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_strict_body_trades.csv,2,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 01:15:00
bear_m5_ema_h1_only_rr2_morefreq,bear_m5_ema_h1_only_rr2_morefreq,bear_m5_ema_h1_only_rr2_morefreq,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1_only_rr2_morefreq,0,bear_m5_ema_h1_only_rr2_morefreq,2022-07-01 06:25:00,2022-07-01,2022-07-01 11:18:20,2022-07-01,SHORT,8.46,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1_only_rr2_morefreq_trades.csv,3,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 06:25:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-01 06:25:00,2022-07-01,2022-07-01 11:18:20,2022-07-01,SHORT,8.46,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,3,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 06:25:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-01 11:30:00,2022-07-01,2022-07-01 13:04:14,2022-07-01,SHORT,-3.97,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,4,same_direction_overlap_5m,bear_m5_ema_h1_only_rr2_morefreq,2022-07-01 11:30:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-04 12:00:00,2022-07-04,2022-07-04 12:25:40,2022-07-04,SHORT,-3.53,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,5,same_direction_overlap_5m,bear_m5_ema_h1_only_rr2_morefreq,2022-07-04 12:00:00
bear_m5_ema_h1h4_rr2_strict_body,bear_m5_ema_h1h4_rr2_strict_body,bear_m5_ema_h1h4_rr2_strict_body,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_strict_body,0,bear_m5_ema_h1h4_rr2_strict_body,2022-07-04 12:00:00,2022-07-04,2022-07-04 12:25:40,2022-07-04,SHORT,-3.53,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_strict_body_trades.csv,4,same_direction_overlap_5m,bear_m5_ema_h1_only_rr2_morefreq,2022-07-04 12:00:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-05 10:05:00,2022-07-05,2022-07-05 13:09:41,2022-07-05,SHORT,7.03,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,6,same_direction_overlap_5m,bear_m5_ema_h1_only_rr2_morefreq,2022-07-05 10:05:00
bear_m5_ema_h1_only_rr2_morefreq,bear_m5_ema_h1_only_rr2_morefreq,bear_m5_ema_h1_only_rr2_morefreq,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1_only_rr2_morefreq,0,bear_m5_ema_h1_only_rr2_morefreq,2022-07-05 13:10:00,2022-07-05,2022-07-05 14:00:40,2022-07-05,SHORT,15.2,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1_only_rr2_morefreq_trades.csv,8,same_direction_overlap_5m,bear_break_run_h1h4_rr2,2022-07-05 13:10:00
