component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2022-07-20 06:05:00,2022-07-20,2022-07-20 09:30:28,2022-07-20,SHORT,-3.57,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,21,same_direction_overlap_5m,freq_step3_frontier,2022-07-20 06:00:00
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2022-09-16 12:35:00,2022-09-16,2022-09-16 13:59:38,2022-09-16,SHORT,-4.17,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,59,same_direction_overlap_5m,freq_step3_frontier,2022-09-16 12:35:00
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2022-09-22 01:05:00,2022-09-22,2022-09-22 02:56:39,2022-09-22,SHORT,-3.93,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,66,same_direction_overlap_5m,freq_step3_frontier,2022-09-22 01:00:00
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2022-09-22 06:25:00,2022-09-22,2022-09-22 08:04:29,2022-09-22,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,67,same_direction_overlap_5m,freq_step3_frontier,2022-09-22 06:20:00
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2022-10-20 07:05:00,2022-10-20,2022-10-20 07:51:37,2022-10-20,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,92,same_direction_overlap_5m,freq_step3_frontier,2022-10-20 07:05:00
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2023-02-23 07:05:00,2023-02-23,2023-02-23 12:32:20,2023-02-23,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,135,same_direction_overlap_5m,freq_step3_frontier,2023-02-23 07:05:00
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2023-05-18 03:15:00,2023-05-18,2023-05-18 07:24:41,2023-05-18,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,150,same_direction_overlap_5m,freq_step3_frontier,2023-05-18 03:15:00
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2023-05-18 08:00:00,2023-05-18,2023-05-18 09:53:14,2023-05-18,SHORT,-3.67,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,151,same_direction_overlap_5m,freq_step3_frontier,2023-05-18 07:55:00
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2023-08-03 03:05:00,2023-08-03,2023-08-04 12:30:03,2023-08-04,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,199,same_direction_overlap_5m,freq_step3_frontier,2023-08-03 03:00:00
bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,bear_break_run_h1h4_rr2,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_break_run_h1h4_rr2,0,bear_break_run_h1h4_rr2,2023-09-13 12:35:00,2023-09-13,2023-09-13 12:35:40,2023-09-13,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_break_run_h1h4_rr2_trades.csv,221,same_direction_overlap_5m,freq_step3_frontier,2023-09-13 12:35:00
