component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-01 01:15:00,2022-07-01,2022-07-01 05:37:36,2022-07-01,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,2,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 01:15:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-01 06:25:00,2022-07-01,2022-07-01 11:18:20,2022-07-01,SHORT,8.46,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,3,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 06:25:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-07 06:45:00,2022-07-07,2022-07-07 13:50:14,2022-07-07,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,11,same_direction_overlap_5m,freq_step3_frontier,2022-07-07 06:45:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-11 06:15:00,2022-07-11,2022-07-11 17:31:15,2022-07-11,SHORT,7.01,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,13,same_direction_overlap_5m,freq_step3_frontier,2022-07-11 06:15:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-12 05:00:00,2022-07-12,2022-07-12 06:34:29,2022-07-12,SHORT,-3.52,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,15,same_direction_overlap_5m,freq_step3_frontier,2022-07-12 05:00:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-14 01:10:00,2022-07-14,2022-07-14 03:05:15,2022-07-14,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,17,same_direction_overlap_5m,freq_step3_frontier,2022-07-14 01:10:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-14 07:30:00,2022-07-14,2022-07-14 13:01:37,2022-07-14,SHORT,10.4,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,19,same_direction_overlap_5m,freq_step3_frontier,2022-07-14 07:30:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-15 07:25:00,2022-07-15,2022-07-15 11:00:37,2022-07-15,SHORT,-3.87,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,24,same_direction_overlap_5m,freq_step3_frontier,2022-07-15 07:25:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-20 06:00:00,2022-07-20,2022-07-20 09:30:36,2022-07-20,SHORT,-3.53,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,28,same_direction_overlap_5m,freq_step3_frontier,2022-07-20 06:00:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-07-21 07:55:00,2022-07-21,2022-07-21 12:24:40,2022-07-21,SHORT,-4.13,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,33,same_direction_overlap_5m,freq_step3_frontier,2022-07-21 07:55:00
bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,bear_m5_ema_h1h4_rr2_fast_slope,exact_mt5_bear_engine_improvement,bear_engine_improvement,90,bear_m5_ema_h1h4_rr2_fast_slope,0,bear_m5_ema_h1h4_rr2_fast_slope,2022-08-21 23:30:00,2022-08-21,2022-08-22 07:12:02,2022-08-22,SHORT,7.01,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_engine_improvement_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_ENGINE_IMPROVEMENT_202207_202606_XAUUSD_M5_bear_m5_ema_h1h4_rr2_fast_slope_trades.csv,35,same_direction_overlap_5m,freq_step3_frontier,2022-08-21 23:30:00
