component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
bear_quality_m5_ema_slope100,bear_quality_m5_ema_slope100,bear_quality_m5_ema_slope100,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope100,0,bear_quality_m5_ema_slope100,2022-07-01 01:15:00,2022-07-01,2022-07-01 05:37:36,2022-07-01,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope100_trades.csv,2,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 01:15:00
bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope50,0,bear_quality_m5_ema_slope50,2022-07-01 01:15:00,2022-07-01,2022-07-01 05:37:36,2022-07-01,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope50_trades.csv,2,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 01:15:00
bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope50,0,bear_quality_m5_ema_slope50,2022-07-01 06:35:00,2022-07-01,2022-07-01 11:18:39,2022-07-01,SHORT,8.71,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope50_trades.csv,3,same_direction_overlap_5m,bear_quality_m5_ema_slope100,2022-07-01 06:35:00
bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope50,0,bear_quality_m5_ema_slope50,2022-07-05 13:25:00,2022-07-05,2022-07-05 14:01:42,2022-07-05,SHORT,15.9,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope50_trades.csv,4,same_direction_overlap_5m,bear_quality_m5_ema_slope100,2022-07-05 13:25:00
bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope50,0,bear_quality_m5_ema_slope50,2022-07-06 03:55:00,2022-07-06,2022-07-06 10:09:16,2022-07-06,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope50_trades.csv,6,same_direction_overlap_5m,bear_quality_break_run_tight,2022-07-06 03:55:00
bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope50,0,bear_quality_m5_ema_slope50,2022-07-06 11:35:00,2022-07-06,2022-07-06 12:07:39,2022-07-06,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope50_trades.csv,7,same_direction_overlap_5m,bear_quality_m5_ema_slope100,2022-07-06 11:35:00
bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope50,0,bear_quality_m5_ema_slope50,2022-07-06 22:45:00,2022-07-06,2022-07-07 00:50:59,2022-07-07,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope50_trades.csv,8,same_direction_overlap_5m,bear_quality_m5_ema_slope100,2022-07-06 22:45:00
bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope50,0,bear_quality_m5_ema_slope50,2022-07-07 18:20:00,2022-07-07,2022-07-08 00:24:28,2022-07-08,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope50_trades.csv,10,same_direction_overlap_5m,bear_quality_m5_ema_slope100,2022-07-07 18:20:00
bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope50,0,bear_quality_m5_ema_slope50,2022-07-12 05:40:00,2022-07-12,2022-07-12 06:00:41,2022-07-12,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope50_trades.csv,14,same_direction_overlap_5m,freq_step3_frontier,2022-07-12 05:40:00
bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,bear_quality_m5_ema_slope50,exact_mt5_bear_quality_first,bear_quality_first,90,bear_quality_m5_ema_slope50,0,bear_quality_m5_ema_slope50,2022-07-14 08:00:00,2022-07-14,2022-07-14 13:01:38,2022-07-14,SHORT,11.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_bear_quality_first_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_BEAR_QUALITY_FIRST_202207_202606_XAUUSD_M5_bear_quality_m5_ema_slope50_trades.csv,18,same_direction_overlap_5m,bear_quality_m5_ema_slope100,2022-07-14 08:00:00
