component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-01 01:15:00,2022-07-01,2022-07-01 05:37:36,2022-07-01,SHORT,7.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,2,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 01:15:00
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-01 06:25:00,2022-07-01,2022-07-01 11:18:20,2022-07-01,SHORT,8.46,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,3,same_direction_overlap_5m,freq_step3_frontier,2022-07-01 06:25:00
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-07 06:45:00,2022-07-07,2022-07-07 13:50:14,2022-07-07,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,13,same_direction_overlap_5m,freq_step3_frontier,2022-07-07 06:45:00
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-11 06:15:00,2022-07-11,2022-07-11 17:31:15,2022-07-11,SHORT,7.01,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,15,same_direction_overlap_5m,freq_step3_frontier,2022-07-11 06:15:00
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-12 05:00:00,2022-07-12,2022-07-12 06:34:29,2022-07-12,SHORT,-3.52,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,17,same_direction_overlap_5m,freq_step3_frontier,2022-07-12 05:00:00
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-14 01:10:00,2022-07-14,2022-07-14 03:05:15,2022-07-14,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,19,same_direction_overlap_5m,freq_step3_frontier,2022-07-14 01:10:00
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-14 05:25:00,2022-07-14,2022-07-14 07:00:39,2022-07-14,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,20,same_direction_overlap_5m,freq_step3_frontier,2022-07-14 05:25:00
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-14 07:30:00,2022-07-14,2022-07-14 13:01:37,2022-07-14,SHORT,10.4,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,21,same_direction_overlap_5m,freq_step3_frontier,2022-07-14 07:30:00
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-15 03:20:00,2022-07-15,2022-07-15 06:30:00,2022-07-15,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,25,same_direction_overlap_5m,freq_step3_frontier,2022-07-15 03:20:00
down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,down_m5_ema_h1h4_short_rr2,exact_mt5_downtrend_short_engine,downtrend_short_engine,90,down_m5_ema_h1h4_short_rr2,0,down_m5_ema_h1h4_short_rr2,2022-07-15 07:25:00,2022-07-15,2022-07-15 11:00:37,2022-07-15,SHORT,-3.87,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_downtrend_short_engine_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_DOWNTREND_SHORT_ENGINE_202207_202606_XAUUSD_M5_down_m5_ema_h1h4_short_rr2_trades.csv,26,same_direction_overlap_5m,freq_step3_frontier,2022-07-15 07:25:00
