source_id,source_priority,trade_id,run_id,account,symbol,magic,position_id,entry_deal,exit_deal,entry_order,exit_order,entry_time,exit_time,direction,volume,entry_price,exit_price,exit_reason_code,pnl_usd,tickets
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::2,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,2,2,5,2,5,2021-07-26 18:00:00,2021-07-27 12:15:13,SHORT,0.01,1798.46,1803.30,4,-4.8400000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::3,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,3,3,4,3,4,2021-07-27 05:00:00,2021-07-27 12:11:28,SHORT,0.01,1797.95,1801.45,4,-3.5000000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::6,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,6,6,7,6,7,2021-07-28 18:00:00,2021-07-28 18:40:39,SHORT,0.01,1798.64,1803.66,4,-5.0200000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::8,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,8,8,11,8,11,2021-08-09 15:00:00,2021-08-11 15:47:26,SHORT,0.01,1729.75,1750.35,4,-20.6000000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::9,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,9,9,10,9,10,2021-08-10 13:00:00,2021-08-11 03:14:04,SHORT,0.01,1727.57,1734.70,4,-7.1300000000000000,1
h4_d1_long_best_box2_atr80,80,h4_d1_long_best_box2_atr80::BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH::1025742::XAUUSD::932200::2,BT_A1_XAU_ROUTER_V1_R1_LONG_BOX2_PREVHEALTH,1025742,XAUUSD,932200,2,2,3,2,3,2021-09-03 16:00:00,2021-09-07 14:02:39,LONG,0.01,1829.33,1804.79,4,-24.5400000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::12,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,12,12,14,12,14,2021-09-24 12:00:00,2021-09-27 01:19:16,SHORT,0.01,1749.53,1758.56,4,-9.0300000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::13,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,13,13,15,13,15,2021-09-24 13:00:00,2021-09-27 01:23:38,SHORT,0.01,1745.32,1758.63,4,-13.3100000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::16,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,16,16,18,16,18,2021-09-28 06:00:00,2021-09-28 07:04:29,SHORT,0.01,1748.66,1738.38,5,10.2800000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::17,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,17,17,25,17,25,2021-09-28 07:00:00,2021-09-30 14:27:40,SHORT,0.01,1740.88,1752.59,4,-11.7100000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::19,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,19,19,20,19,20,2021-09-28 18:00:00,2021-09-29 07:03:30,SHORT,0.01,1735.02,1741.85,4,-6.8300000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::21,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,21,21,24,21,24,2021-09-29 15:00:00,2021-09-30 14:00:41,SHORT,0.01,1728.49,1744.81,4,-16.3200000000000000,1
r2_pullback_rejection_short_v1,92,r2_pullback_rejection_short_v1::BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18::1025742::XAUUSD::932200::22,BT_A1_XAU_R2_H1_M5_BODY58_HOURS05_18,1025742,XAUUSD,932200,22,22,23,22,23,2021-09-29 17:00:00,2021-09-30 13:20:39,SHORT,0.01,1724.63,1739.05,4,-14.4200000000000000,1
r1_h1_pullback_long_v1,71,r1_h1_pullback_long_v1::BT_A1_XAU_R1_PULLBACK_LONG_V2_M15_SESSION_09_15::1025742::XAUUSD::932200::2,BT_A1_XAU_R1_PULLBACK_LONG_V2_M15_SESSION_09_15,1025742,XAUUSD,932200,2,2,8,2,8,2021-10-28 11:00:00,2021-10-28 13:30:12,LONG,0.01,1799.63,1808.13,5,8.5000000000000000,1
r1_h1_pullback_long_v1,71,r1_h1_pullback_long_v1::BT_A1_XAU_R1_PULLBACK_LONG_V2_M15_SESSION_09_15::1025742::XAUUSD::932200::3,BT_A1_XAU_R1_PULLBACK_LONG_V2_M15_SESSION_09_15,1025742,XAUUSD,932200,3,3,11,3,11,2021-10-28 11:45:00,2021-10-28 14:35:04,LONG,0.01,1802.84,1795.70,4,-7.1400000000000000,1
r1_h1_pullback_long_v1,71,r1_h1_pullback_long_v1::BT_A1_XAU_R1_PULLBACK_LONG_V2_M15_SESSION_09_15::1025742::XAUUSD::932200::4,BT_A1_XAU_R1_PULLBACK_LONG_V2_M15_SESSION_09_15,1025742,XAUUSD,932200,4,4,5,4,5,2021-10-28 12:30:00,2021-10-28 12:47:28,LONG,0.01,1805.26,1797.95,4,-7.3100000000000000,1
r1_h1_pullback_long_v1,71,r1_h1_pullback_long_v1::BT_A1_XAU_R1_PULLBACK_LONG_V2_M15_SESSION_09_15::1025742::XAUUSD::932200::6,BT_A1_XAU_R1_PULLBACK_LONG_V2_M15_SESSION_09_15,1025742,XAUUSD,932200,6,6,9,6,9,2021-10-28 13:15:00,2021-10-28 14:34:40,LONG,0.01,1804.42,1796.53,4,-7.8900000000000000,1
