month,trades,wins,losses,win_rate_pct,avg_win_loss,profit_factor,net_usd,stress_net_030_usd,stress_profit_factor,max_closed_drawdown_usd
2016-07,6,0,6,0.0,0.0,0.0,-30.13,-31.93,0.0,30.13
2016-08,15,5,10,33.33,1.1457,0.5729,-26.2,-30.7,0.5228,61.34
2016-10,11,6,5,54.55,1.4418,1.7302,27.58,24.28,1.6183,33.26
2016-11,7,6,1,85.71,2.8191,16.9148,57.93,55.83,15.1701,3.64
2016-12,3,1,2,33.33,1.7926,0.8963,-2.29,-3.19,0.8593,15.47
2017-02,22,4,18,18.18,1.2233,0.2718,-178.26,-184.86,0.2612,178.26
2017-03,15,7,8,46.67,1.7659,1.5452,30.7,26.2,1.4463,32.62
2017-04,10,6,4,60.0,1.8007,2.7011,28.0,25.0,2.4156,12.96
2017-05,3,1,2,33.33,2.5278,1.2639,5.61,4.71,1.2155,17.75
2017-06,4,0,4,0.0,0.0,0.0,-51.3,-52.5,0.0,51.3
2017-07,11,0,11,0.0,0.0,0.0,-65.31,-68.61,0.0,65.31
2017-08,26,12,14,46.15,5.9927,5.1366,476.91,469.11,4.9259,64.77
2017-10,2,1,1,50.0,0.647,0.647,-3.82,-4.42,0.6025,10.82
2017-12,6,3,3,50.0,3.6264,3.6264,28.47,26.67,3.2717,7.0
2018-01,14,1,13,7.14,1.3756,0.1058,-132.67,-136.87,0.1011,132.67
2018-03,4,1,3,25.0,1.3144,0.4381,-8.99,-10.19,0.397,8.99
2018-04,21,9,12,42.86,0.7876,0.5907,-58.98,-65.28,0.5581,144.11
2018-05,3,0,3,0.0,0.0,0.0,-12.96,-13.86,0.0,12.96
2018-06,7,2,5,28.57,3.0356,1.2143,4.3,2.2,1.102,15.45
2018-07,5,2,3,40.0,2.1422,1.4282,4.5,3.0,1.2629,7.01
2018-08,1,0,1,0.0,0.0,0.0,-3.51,-3.81,0.0,3.51
2018-09,3,0,3,0.0,0.0,0.0,-10.8,-11.7,0.0,10.8
2018-10,14,1,13,7.14,1.2745,0.098,-64.4,-68.6,0.089,64.4
2018-11,9,0,9,0.0,0.0,0.0,-32.9,-35.6,0.0,32.9
2018-12,44,37,7,84.09,3.3429,17.6698,573.94,560.74,16.3501,19.53
2019-01,32,12,20,37.5,2.0653,1.2392,31.08,21.48,1.158,91.05
2019-02,8,0,8,0.0,0.0,0.0,-145.48,-147.88,0.0,145.48
2019-03,6,0,6,0.0,0.0,0.0,-53.6,-55.4,0.0,53.6
2019-04,4,1,3,25.0,1.8457,0.6152,-4.39,-5.59,0.5459,7.9
2019-05,2,0,2,0.0,0.0,0.0,-7.0,-7.6,0.0,7.0
2019-06,13,5,8,38.46,4.8683,3.0427,77.99,74.09,2.8258,21.29
2019-07,14,1,13,7.14,1.8989,0.1461,-41.04,-45.24,0.1293,44.45
2019-08,25,15,10,60.0,2.06,3.0899,104.58,97.08,2.8303,19.95
2019-09,1,0,1,0.0,0.0,0.0,-3.51,-3.81,0.0,3.51
2019-10,4,0,4,0.0,0.0,0.0,-14.87,-16.07,0.0,14.87
2019-11,7,2,5,28.57,2.8612,1.1445,2.89,0.79,1.0367,16.49
2019-12,14,11,3,78.57,3.2228,11.8168,114.55,110.35,10.604,7.06
2020-01,23,14,9,60.87,2.0945,3.2581,165.52,158.62,3.0871,62.8
2020-02,34,28,6,82.35,0.945,4.4101,427.56,417.36,4.2816,125.38
2020-04,14,3,11,21.43,2.6293,0.7171,-27.34,-31.54,0.6844,64.84
2020-05,13,3,10,23.08,0.8343,0.2503,-151.2,-155.1,0.2422,196.96
2020-06,25,9,16,36.0,2.3251,1.3079,27.71,20.21,1.2132,50.6
2020-07,39,30,9,76.92,5.7647,19.2158,1218.27,1206.57,18.3408,47.59
2020-09,2,0,2,0.0,0.0,0.0,-11.72,-12.32,0.0,11.72
2020-10,1,0,1,0.0,0.0,0.0,-6.15,-6.45,0.0,6.15
2020-11,4,1,3,25.0,1.0853,0.3618,-17.36,-18.56,0.3395,17.36
2021-01,8,1,7,12.5,0.4622,0.066,-186.41,-188.81,0.0639,192.73
2021-02,4,2,2,50.0,2.2097,2.2097,32.76,31.56,2.1402,27.08
2021-03,5,5,0,100.0,,,73.13,71.63,,0.0
2021-04,1,0,1,0.0,0.0,0.0,-5.76,-6.06,0.0,5.76
2021-05,47,20,27,42.55,1.0196,0.7553,-127.94,-142.04,0.7324,440.25
2021-06,5,1,4,20.0,1.959,0.4898,-13.45,-14.95,0.4575,20.7
2021-07,3,0,3,0.0,0.0,0.0,-13.36,-14.26,0.0,13.36
2021-08,2,0,2,0.0,0.0,0.0,-27.73,-28.33,0.0,27.73
2021-09,8,1,7,12.5,0.7483,0.1069,-85.88,-88.28,0.1016,85.88
2021-10,5,1,4,20.0,1.0207,0.2552,-24.81,-26.31,0.2376,26.0
2021-11,14,6,8,42.86,1.0107,0.758,-34.61,-38.81,0.7332,116.36
2021-12,4,1,3,25.0,0.6825,0.2275,-37.01,-38.21,0.2172,37.01
2022-01,16,1,15,6.25,0.7682,0.0512,-142.83,-147.63,0.0478,142.83
2022-02,4,1,3,25.0,2.3535,0.7845,-3.59,-4.79,0.7272,9.6
2022-04,1,0,1,0.0,0.0,0.0,-31.22,-31.52,0.0,31.22
2022-05,7,5,2,71.43,1.5813,3.9532,82.69,80.59,3.8178,28.0
2022-06,8,2,6,25.0,2.0281,0.676,-14.78,-17.18,0.6377,45.62
2022-07,10,2,8,20.0,3.1626,0.7907,-12.59,-15.59,0.7507,37.21
2022-08,7,5,2,71.43,1.4493,3.6233,47.01,44.91,3.4249,12.76
2022-09,6,4,2,66.67,1.6782,3.3563,43.05,41.25,3.186,13.14
2022-10,5,1,4,20.0,1.4535,0.3634,-17.03,-18.53,0.337,17.03
2022-11,4,3,1,75.0,11.5049,34.5146,172.6,171.4,32.4495,5.15
2022-12,47,25,22,53.19,3.3454,3.8015,543.36,529.26,3.639,103.34
2023-01,38,16,22,42.11,1.7075,1.2418,92.67,81.27,1.2085,285.68
2023-02,9,1,8,11.11,0.595,0.0744,-87.12,-89.82,0.0694,94.12
2023-03,7,0,7,0.0,0.0,0.0,-39.75,-41.85,0.0,39.75
2023-04,12,5,7,41.67,0.8338,0.5956,-38.61,-42.21,0.5674,87.52
2023-05,6,2,4,33.33,1.2989,0.6495,-14.13,-15.93,0.6162,30.42
2023-06,9,6,3,66.67,1.314,2.6279,46.77,44.07,2.4873,28.73
2023-07,6,0,6,0.0,0.0,0.0,-37.79,-39.59,0.0,37.79
2023-08,12,7,5,58.33,1.7165,2.4031,55.97,52.37,2.2653,32.05
2023-09,4,3,1,75.0,2.8723,8.6169,46.92,45.72,8.0774,6.16
2023-10,6,0,6,0.0,0.0,0.0,-43.39,-45.19,0.0,43.39
2023-11,29,20,9,68.97,4.6858,10.4129,425.65,416.95,9.701,16.51
2023-12,18,14,4,77.78,0.543,1.9004,94.48,89.08,1.8393,104.93
2024-02,5,0,5,0.0,0.0,0.0,-18.24,-19.74,0.0,18.24
2024-03,27,27,0,100.0,,,1155.04,1146.94,,0.0
2024-05,13,6,7,46.15,0.7478,0.641,-37.72,-41.62,0.6116,67.72
2024-07,25,10,15,40.0,3.2455,2.1636,282.44,274.94,2.1121,183.92
2024-08,14,1,13,7.14,0.4647,0.0357,-189.9,-194.1,0.0336,189.9
