timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	position_ticket	volume	entry_price	current_price	current_sl	new_sl	tp	risk_points	unrealized_r	trigger_r	lock_r	retcode	reason
2017.02.09 14:00:35	2017.02.09 14:00:35	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_TRIGGER_OPEN_OK	SHORT	12	0.06	0.00	1236.37	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.10 06:28:41	2017.02.10 06:28:41	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_CLOSE_OK	SHORT	12	0.02	1236.37	1221.98	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.10 06:28:41	2017.02.10 06:28:41	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_CLOSE_OK	SHORT	12	0.01	1236.37	1221.96	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.16 08:00:00	2017.02.16 08:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_OPEN_OK	SHORT	19	0.01	0.00	1237.59	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.23 16:00:01	2017.02.23 16:00:01	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_OPEN_OK	SHORT	21	0.01	0.00	1249.52	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.24 06:29:42	2017.02.24 06:29:42	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_RELEASE_CLOSE_OK	SHORT	21	0.01	1249.52	1254.41	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.24 06:29:42	2017.02.24 06:29:42	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_RELEASE_CLOSE_OK	SHORT	19	0.01	1237.59	1254.41	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.24 06:29:42	2017.02.24 06:29:42	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_RELEASE_CLOSE_OK	SHORT	12	0.03	1236.37	1254.41	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.24 13:41:29	2017.02.24 13:41:29	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_TRIGGER_OPEN_OK	SHORT	27	0.07	0.00	1253.74	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.24 16:22:32	2017.02.24 16:22:32	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_RELEASE_CLOSE_OK	SHORT	27	0.07	1253.74	1257.78	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.27 07:16:01	2017.02.27 07:16:01	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_TRIGGER_OPEN_OK	SHORT	29	0.07	0.00	1253.96	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.27 13:37:23	2017.02.27 13:37:23	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_RELEASE_CLOSE_OK	SHORT	29	0.07	1253.96	1257.87	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.27 17:30:17	2017.02.27 17:30:17	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_TRIGGER_OPEN_OK	SHORT	33	0.07	0.00	1257.50	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.02.28 17:38:04	2017.02.28 17:38:04	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_CLOSE_OK	SHORT	33	0.01	1257.50	1248.30	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.03.02 16:26:03	2017.03.02 16:26:03	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_CLOSE_OK	SHORT	33	0.02	1257.50	1231.56	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.03.03 07:04:00	2017.03.03 07:04:00	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_CLOSE_OK	SHORT	33	0.01	1257.50	1226.52	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.03.07 13:33:29	2017.03.07 13:33:29	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_CLOSE_OK	SHORT	33	0.01	1257.50	1217.20	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.03.08 13:07:18	2017.03.08 13:07:18	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_CLOSE_OK	SHORT	33	0.01	1257.50	1207.54	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.03.08 13:07:26	2017.03.08 13:07:26	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_FLAT_CLOSE_OK	SHORT	33	0.01	1257.50	1207.39	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.03.28 18:00:42	2017.03.28 18:00:42	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_TRIGGER_OPEN_OK	SHORT	51	0.04	0.00	1249.20	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
2017.03.31 01:12:23	2017.03.31 01:12:23	A1_XAU_H4_CLUSTER_HIGHWATER_REARM_V2_HEDGE_TEN_YEAR	1025742	XAUUSD	932200	CLUSTER_HEDGE_REBALANCE_CLOSE_OK	SHORT	51	0.01	1249.20	1241.52	0.00	0.00	0.00	0.00	0.0000	5.00	2.00	10009	pass
