timestamp_broker	timestamp_local	run_id	account	symbol	magic	deal_ticket	position_id	entry_code	type_code	reason_code	direction	volume	price	profit	commission	swap	fee	order_ticket	comment
2021.09.03 16:00:00	2021.09.03 16:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	2	2	0	0	3	LONG	0.01	1829.33	0.00	0.00	0.00	0.0000000000000000	2	A1_M5_MOM_ROUTER_V1_
2021.09.07 09:24:27	2021.09.07 09:24:27	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	3	3	0	1	3	SHORT	0.01	1812.69	0.00	0.00	0.00	0.0000000000000000	3	H4_CLUSTER_HEDGE
2021.09.07 14:02:39	2021.09.07 14:02:39	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	4	2	1	1	4	LONG	0.01	1804.79	-24.54	0.00	0.00	0.0000000000000000	4	sl 1804.83
2021.09.07 14:02:39	2021.09.07 14:02:39	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	5	3	1	0	3	SHORT	0.01	1804.84	7.85	0.00	0.00	0.0000000000000000	5	
2021.11.08 04:00:00	2021.11.08 04:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	6	6	0	0	3	LONG	0.01	1820.07	0.00	0.00	0.00	0.0000000000000000	6	A1_M5_MOM_ROUTER_V1_
2021.11.08 16:00:00	2021.11.08 16:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	7	7	0	0	3	LONG	0.01	1824.11	0.00	0.00	0.00	0.0000000000000000	7	A1_M5_MOM_ROUTER_V1_
2021.11.09 14:08:40	2021.11.09 14:08:40	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	8	8	0	1	3	SHORT	0.02	1820.51	0.00	0.00	0.00	0.0000000000000000	8	H4_CLUSTER_HEDGE
2021.11.09 15:30:05	2021.11.09 15:30:05	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	9	8	1	0	3	SHORT	0.02	1826.48	-11.94	0.00	0.00	0.0000000000000000	9	
2021.11.09 16:00:00	2021.11.09 16:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	10	10	0	0	3	LONG	0.01	1828.47	0.00	0.00	0.00	0.0000000000000000	10	A1_M5_MOM_ROUTER_V1_
2021.11.09 20:00:00	2021.11.09 20:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	11	11	0	0	3	LONG	0.01	1832.35	0.00	0.00	0.00	0.0000000000000000	11	A1_M5_MOM_ROUTER_V1_
2021.11.10 00:56:24	2021.11.10 00:56:24	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	12	12	0	1	3	SHORT	0.04	1827.82	0.00	0.00	0.00	0.0000000000000000	12	H4_CLUSTER_HEDGE
2021.11.10 12:33:27	2021.11.10 12:33:27	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	13	12	1	0	3	SHORT	0.04	1830.92	-12.40	0.00	0.00	0.0000000000000000	13	
2021.11.10 12:50:37	2021.11.10 12:50:37	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	14	14	0	1	3	SHORT	0.04	1846.86	0.00	0.00	0.00	0.0000000000000000	14	H4_CLUSTER_HEDGE
2021.11.10 12:58:41	2021.11.10 12:58:41	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	15	14	1	0	3	SHORT	0.04	1849.82	-11.84	0.00	0.00	0.0000000000000000	15	
2021.11.10 13:31:16	2021.11.10 13:31:16	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	16	10	1	1	5	LONG	0.01	1860.39	31.92	0.00	0.00	0.0000000000000000	16	tp 1860.39
2021.11.10 13:31:16	2021.11.10 13:31:16	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	17	17	0	1	3	SHORT	0.03	1860.39	0.00	0.00	0.00	0.0000000000000000	17	H4_CLUSTER_HEDGE
2021.11.10 13:40:15	2021.11.10 13:40:15	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	18	17	1	0	3	SHORT	0.03	1868.47	-24.24	0.00	0.00	0.0000000000000000	18	
2021.11.10 16:00:00	2021.11.10 16:00:00	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	19	19	0	0	3	LONG	0.01	1855.03	0.00	0.00	0.00	0.0000000000000000	19	A1_M5_MOM_ROUTER_V1_
2021.11.12 18:59:38	2021.11.12 18:59:38	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	20	20	0	1	3	SHORT	0.04	1863.82	0.00	0.00	0.00	0.0000000000000000	20	H4_CLUSTER_HEDGE
2021.11.14 22:05:00	2021.11.14 22:05:00	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	21	20	1	0	3	SHORT	0.04	1866.84	-12.08	0.00	0.00	0.0000000000000000	21	
2021.11.15 12:20:39	2021.11.15 12:20:39	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	22	22	0	1	3	SHORT	0.04	1865.58	0.00	0.00	0.00	0.0000000000000000	22	H4_CLUSTER_HEDGE
2021.11.16 01:37:37	2021.11.16 01:37:37	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	23	22	1	0	3	SHORT	0.04	1868.48	-11.60	0.00	0.00	0.0000000000000000	23	
2021.11.16 07:56:43	2021.11.16 07:56:43	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932200	24	11	1	1	5	LONG	0.01	1872.04	39.69	0.00	0.00	0.0000000000000000	24	tp 1872.03
2021.11.16 07:56:43	2021.11.16 07:56:43	A1_XAU_H4_CLUSTER_HIGHWATER_SCALED_2P0_0P8_HEDGE_FIVE_YEAR	1025742	XAUUSD	932202	25	25	0	1	3	SHORT	0.03	1872.04	0.00	0.00	0.00	0.0000000000000000	25	H4_CLUSTER_HEDGE
