component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,81,supportive_guard,0,supportive_guard_broad,2022-08-01 12:00:00,2022-08-01,2022.08.17 12:35:04,,LONG,-31.22,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_broad_trades.csv,2,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-08-01 12:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,81,supportive_guard,0,supportive_guard_broad,2022-08-02 12:00:00,2022-08-02,2022.08.19 01:32:29,,LONG,-39.31,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_broad_trades.csv,3,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-08-02 12:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,81,supportive_guard,0,supportive_guard_broad,2022-08-04 20:00:00,2022-08-04,2022.08.19 04:17:28,,LONG,-26.66,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_broad_trades.csv,4,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-08-04 20:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,81,supportive_guard,0,supportive_guard_broad,2022-08-09 16:00:00,2022-08-09,2022.08.22 08:36:29,,LONG,-38.65,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_broad_trades.csv,5,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-08-09 16:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,81,supportive_guard,0,supportive_guard_broad,2022-11-08 16:00:00,2022-11-08,2022.12.05 16:01:39,,LONG,-36.86,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_broad_trades.csv,6,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-11-08 16:00:00
h4_d1_long_best_box2_atr80,h4_d1_long_best_box2_atr80,h4_d1_long_best_box2_atr80,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,80,supportive_guard,0,supportive_guard_box2,2022-11-10 20:00:00,2022-11-10,2022.12.13 12:30:39,,LONG,97.35,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_box2_trades.csv,8,same_direction_overlap_5m,freq_step3_frontier,2022-11-10 20:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,81,supportive_guard,0,supportive_guard_broad,2022-11-24 04:00:00,2022-11-24,2022.12.13 13:00:42,,LONG,57.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_broad_trades.csv,7,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-11-24 04:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,81,supportive_guard,0,supportive_guard_broad,2022-11-24 12:00:00,2022-11-24,2022.12.13 13:14:31,,LONG,60.22,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_broad_trades.csv,8,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-11-24 12:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,81,supportive_guard,0,supportive_guard_broad,2022-11-30 20:00:00,2022-11-30,2022.12.15 07:30:20,,LONG,-31.23,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_broad_trades.csv,9,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-11-30 20:00:00
h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_long_broad_box3_atr60,h4_d1_review_repair_supportive_guard,h4_d1_core_shape,81,supportive_guard,0,supportive_guard_broad,2022-12-01 12:00:00,2022-12-01,2022.12.27 14:35:31,,LONG,60.53,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_h4_d1_review_repair_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_H4_D1_REVIEW_REPAIR_202207_202606_XAUUSD_M5_supportive_guard_broad_trades.csv,10,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-12-01 12:00:00
