timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2016.07.12 12:00:00	2016.07.12 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1348.22	1348.62	40	1348.22	0.00	0.00	2661.00	0.0150	0		0	0	0.00	direction_mode_block	
2016.07.14 12:00:00	2016.07.14 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1324.73	1325.04	31	1324.73	0.00	0.00	3286.00	0.0094	0		0	0	0.00	direction_mode_block	
2016.07.20 12:00:00	2016.07.20 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1318.19	1318.54	35	1318.04	0.00	0.00	1732.00	0.0202	0		0	0	0.00	direction_mode_block	
2016.07.25 04:00:00	2016.07.25 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1316.97	1317.33	36	1316.97	0.00	0.00	1646.00	0.0219	0		0	0	0.00	direction_mode_block	
2016.07.27 16:00:00	2016.07.27 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1326.60	1327.01	41	1326.56	0.00	0.00	1431.00	0.0287	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2016.07.28 08:00:00	2016.07.28 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1342.73	1343.15	42	1342.70	0.00	0.00	2894.00	0.0145	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2016.07.29 16:00:00	2016.07.29 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1349.29	1349.68	39	1349.29	0.00	0.00	3362.00	0.0116	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2016.08.02 08:00:00	2016.08.02 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	ORDER_SEND_OK	LONG	0.02	1358.48	1358.80	32	1358.80	1346.48	1383.44	1232.00	0.0260	10009	done at 1358.80	2	2	1358.80	pass	
2016.08.05 16:00:00	2016.08.05 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1339.31	1339.71	40	1339.31	0.00	0.00	2702.00	0.0148	0		0	0	0.00	direction_mode_block	
2016.08.08 08:00:00	2016.08.08 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1330.79	1331.18	39	1330.80	0.00	0.00	3379.00	0.0115	0		0	0	0.00	direction_mode_block	
2016.08.09 16:00:00	2016.08.09 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1339.53	1339.93	40	1339.55	0.00	0.00	978.00	0.0409	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2016.08.10 04:00:00	2016.08.10 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1350.14	1350.54	40	1350.14	0.00	0.00	2037.00	0.0196	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2016.08.12 20:00:00	2016.08.12 20:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1334.76	1335.13	37	1334.68	0.00	0.00	2243.00	0.0165	0		0	0	0.00	direction_mode_block	
2016.08.16 04:00:00	2016.08.16 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1345.81	1346.17	36	1345.84	0.00	0.00	1014.00	0.0355	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2016.08.22 04:00:00	2016.08.22 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1333.71	1334.07	36	1333.71	0.00	0.00	1739.00	0.0207	0		0	0	0.00	direction_mode_block	
2016.08.23 08:00:00	2016.08.23 08:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1339.95	1340.34	39	1340.03	0.00	0.00	837.00	0.0466	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2016.08.24 16:00:00	2016.08.24 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1326.08	1326.33	25	1326.11	0.00	0.00	1847.00	0.0135	0		0	0	0.00	direction_mode_block	
2016.08.25 12:00:00	2016.08.25 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1323.04	1323.40	36	1323.03	0.00	0.00	2155.00	0.0167	0		0	0	0.00	direction_mode_block	
2016.08.29 04:00:00	2016.08.29 04:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1317.77	1318.12	35	1317.79	0.00	0.00	2433.00	0.0144	0		0	0	0.00	direction_mode_block	
2016.08.30 20:00:00	2016.08.30 20:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1310.76	1311.11	35	1310.74	0.00	0.00	1425.00	0.0246	0		0	0	0.00	direction_mode_block	
2016.08.31 16:00:00	2016.08.31 16:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1308.02	1308.34	32	1307.94	0.00	0.00	1740.00	0.0184	0		0	0	0.00	direction_mode_block	
2016.09.06 12:00:00	2016.09.06 12:00:00	A1_XAU_H4_EPISODE_REPAIR_RULE_CLEAN_COMMON_RISK_TEN_YEAR	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1332.43	1332.70	27	1332.41	0.00	0.00	1073.00	0.0252	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
