component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-11-24 04:00:00,2022-11-24,2022-12-05 16:01:39,2022-12-05,LONG,-36.86,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,2,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-11-24 04:00:00
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-11-24 12:00:00,2022-11-24,2022-12-13 13:00:42,2022-12-13,LONG,57.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,3,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-11-24 12:00:00
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-11-30 20:00:00,2022-11-30,2022-12-13 13:14:31,2022-12-13,LONG,60.22,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,4,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-11-30 20:00:00
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-12-01 12:00:00,2022-12-01,2022-12-15 07:30:20,2022-12-15,LONG,-31.23,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,5,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-12-01 12:00:00
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-12-01 16:00:00,2022-12-01,2022-12-27 14:35:31,2022-12-27,LONG,60.53,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,6,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-12-01 16:00:00
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-12-05 04:00:00,2022-12-05,2023-01-04 06:32:31,2023-01-04,LONG,58.63,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,7,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-12-05 04:00:00
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-12-09 04:00:00,2022-12-09,2023-01-04 07:16:14,2023-01-04,LONG,58.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,8,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-12-09 04:00:00
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-12-09 12:00:00,2022-12-09,2023-01-06 17:40:38,2023-01-06,LONG,66.65,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,9,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-12-09 12:00:00
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-12-13 16:00:00,2022-12-13,2023-01-09 00:52:38,2023-01-09,LONG,90.34,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,10,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-12-13 16:00:00
r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,r1_long_expansion_r3_reclass_strict_r1,xau_r1_long_expansion_r3_reclass,85,r1_long_expansion_r3_reclass,0,r1_long_expansion_r3_reclass_strict_r1,2022-12-20 08:00:00,2022-12-20,2023-01-12 12:34:55,2023-01-12,LONG,72.34,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r1_long_expansion_r3_reclass_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R1_LONG_EXPANSION_R3_RECLASS_EXACT_202207_202606_XAUUSD_M5_r1_long_expansion_r3_reclass_strict_r1_trades.csv,11,same_direction_overlap_5m,h4_d1_long_best_box2_atr80,2022-12-20 08:00:00
