book,year,name,signals,wins,losses,wr,wl,pf,net,stress_030_wl,stress_030_pf,stress_030_net,active_weekday_pct,max_closed_dd,positive_week_pct,worst_week,q2_signals,q2_net,top10_removed_net,top3_days_removed_net,best_month_share_pct,positive_year_buckets,closing_months,positive_months,negative_months,flat_months,positive_month_pct,worst_month,worst_month_net,best_month,best_month_net,dropped_data,dropped_signals,recent3_signals,recent3_net,net_2023_2024
r3_all,2022,r3_all_2022,14,3,11,21.43,1.7567,0.4791,-193.25,1.7324,0.4725,-197.45,1.05,339.77,0.95,-103.66,0,0,-371.0,-344.34,,0,3,1,2,0,33.33,2022-08,-199.25,2022-12,109.66,[],0,0,0,0
r3_all,2023,r3_all_2023,72,37,35,51.39,2.248,2.3765,1751.63,2.2214,2.3484,1730.03,4.89,733.18,4.76,-209.84,0,0,545.22,1045.94,54.1,2,10,5,5,0,50.0,2023-09,-295.68,2023-01,947.59,[],0,0,0,1079.11
r3_all,2024,r3_all_2024,49,29,20,59.18,2.1082,3.0569,2061.01,2.0897,3.03,2046.31,3.07,623.28,5.24,-357.72,0,0,602.65,1029.79,76.01,1,8,5,3,0,62.5,2024-11,-623.28,2024-10,1566.52,[],0,0,0,2061.01
r3_all,2025,r3_all_2025,75,59,16,78.67,1.4238,5.2504,7247.12,1.417,5.2253,7224.62,3.55,856.09,8.1,-856.09,0,0,4796.92,4885.38,40.37,1,8,5,3,0,62.5,2025-07,-403.02,2025-09,2925.93,[],0,0,0,0
r3_all,2026,r3_all_2026,5,4,1,80.0,1.8714,7.4854,1327.57,1.8672,7.4686,1326.07,0.29,204.7,0.95,-204.7,1,-204.7,-204.7,0.0,115.42,2,2,1,1,0,50.0,2026-06,-204.7,2026-01,1532.27,[],0,1,-204.7,0
current_r1_r2_plus_r3_all,2022,current_r1_r2_plus_r3_all_2022,77,28,49,36.36,1.2649,0.7228,-183.5,1.2157,0.6947,-206.6,4.03,332.86,2.86,-97.19,0,0,-498.54,-340.61,,0,6,1,5,0,16.67,2022-08,-160.6,2022-12,64.12,[],0,0,0,0
current_r1_r2_plus_r3_all,2023,current_r1_r2_plus_r3_all_2023,208,105,103,50.48,2.0662,2.1063,1861.17,2.0109,2.0499,1798.77,8.63,735.33,9.05,-359.07,0,0,831.11,1223.2,53.74,2,12,5,7,0,41.67,2023-02,-321.01,2023-01,1000.22,[],0,0,0,1381.66
current_r1_r2_plus_r3_all,2024,current_r1_r2_plus_r3_all_2024,192,92,100,47.92,2.6879,2.4729,2562.5,2.6254,2.4154,2504.9,6.04,462.32,8.1,-315.99,0,0,1210.78,1605.54,42.63,1,11,6,5,0,54.55,2024-11,-371.12,2024-10,1092.27,[],0,0,0,2562.5
current_r1_r2_plus_r3_all,2025,current_r1_r2_plus_r3_all_2025,219,129,90,58.9,2.5147,3.6044,7437.29,2.4818,3.5573,7371.59,6.62,1076.56,10.0,-866.37,0,0,5000.13,5047.94,42.24,1,11,8,3,0,72.73,2025-07,-407.75,2025-09,3141.38,[],0,0,0,0
current_r1_r2_plus_r3_all,2026,current_r1_r2_plus_r3_all_2026,87,50,37,57.47,4.2588,5.7552,3168.14,4.1727,5.6387,3142.04,2.68,236.94,4.29,-215.55,60,560.22,452.04,803.84,85.07,2,6,4,2,0,66.67,2026-02,-50.02,2026-01,2695.08,[],0,60,560.22,0
