component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-07-18 10:10:00,2022-07-18,2022-07-18 11:30:38,2022-07-18,SHORT,5.04,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,2,,,
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-07-19 12:20:00,2022-07-19,2022-07-19 13:37:42,2022-07-19,SHORT,-2.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,3,,,
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-07-25 11:10:00,2022-07-25,2022-07-25 11:20:36,2022-07-25,SHORT,-2.52,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,4,,,
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-07-25 11:35:00,2022-07-25,2022-07-25 13:09:38,2022-07-25,SHORT,5.01,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,5,,,
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-07-27 10:50:00,2022-07-27,2022-07-27 13:07:31,2022-07-27,SHORT,5.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,6,,,
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-07-28 08:55:00,2022-07-28,2022-07-28 09:25:36,2022-07-28,SHORT,-2.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,7,,,
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-07-28 09:50:00,2022-07-28,2022-07-28 10:46:36,2022-07-28,SHORT,5.02,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,8,,,
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-08-04 08:25:00,2022-08-04,2022-08-04 08:56:55,2022-08-04,SHORT,-2.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,9,,,
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-08-10 10:40:00,2022-08-10,2022-08-10 12:30:20,2022-08-10,SHORT,-2.59,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,10,,,
r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,r4_chop_orrev_london_firm_short,xau_r4_chop_opening_range_reversal,153,r4_chop_orrev_london_firm_short,0,r4_chop_orrev_london_firm_short,2022-08-18 08:25:00,2022-08-18,2022-08-18 08:47:40,2022-08-18,SHORT,-2.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_r4_chop_orrev_v1_exact_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_R4_CHOP_ORREV_V1_EXACT_202207_202606_XAUUSD_M5_r4_chop_orrev_london_firm_short_trades.csv,11,,,
