entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2021.07.01 14:35:00,2021-07-01,14,afternoon,SHORT,2,0.01,1775.77,A1_M5_MOM_R5_UPCHOP_,2021.07.01 15:19:38,2021-07-01,15,afternoon,2021-07-01,14,afternoon,3,1768.76,7.01,1007.01,tp 1768.77
2021.08.16 05:55:00,2021-08-16,5,night,SHORT,4,0.01,1773.36,A1_M5_MOM_R5_UPCHOP_,2021.08.16 07:19:36,2021-08-16,7,morning,2021-08-16,5,night,5,1776.87,-3.51,1003.5,sl 1776.86
2021.08.17 14:35:00,2021-08-17,14,afternoon,SHORT,6,0.01,1784.61,A1_M5_MOM_R5_UPCHOP_,2021.08.18 01:10:38,2021-08-18,1,night,2021-08-17,14,afternoon,7,1788.12,-3.51,999.99,sl 1788.11
2021.08.24 22:45:00,2021-08-24,22,night,SHORT,8,0.01,1802.38,A1_M5_MOM_R5_UPCHOP_,2021.08.25 00:44:16,2021-08-25,0,night,2021-08-24,22,night,9,1795.37,7.01,1007.0,tp 1795.38
2021.09.03 19:50:00,2021-09-03,19,evening,SHORT,10,0.01,1829.15,A1_M5_MOM_R5_UPCHOP_,2021.09.06 13:00:04,2021-09-06,13,afternoon,2021-09-03,19,evening,11,1822.15,7.0,1014.0,tp 1822.15
2021.09.07 05:50:00,2021-09-07,5,night,SHORT,12,0.01,1817.53,A1_M5_MOM_R5_UPCHOP_,2021.09.07 09:33:35,2021-09-07,9,morning,2021-09-07,5,night,13,1810.51,7.02,1021.02,tp 1810.53
2021.09.22 04:30:00,2021-09-22,4,night,SHORT,14,0.01,1776.57,A1_M5_MOM_R5_UPCHOP_,2021.09.22 06:25:37,2021-09-22,6,morning,2021-09-22,4,night,15,1780.09,-3.52,1017.5,sl 1780.07
2021.09.23 12:50:00,2021-09-23,12,afternoon,SHORT,16,0.01,1766.72,A1_M5_MOM_R5_UPCHOP_,2021.09.23 13:06:31,2021-09-23,13,afternoon,2021-09-23,12,afternoon,17,1756.59,10.13,1027.63,tp 1756.60
2021.10.01 04:15:00,2021-10-01,4,night,SHORT,18,0.01,1752.86,A1_M5_MOM_R5_UPCHOP_,2021.10.01 06:56:54,2021-10-01,6,morning,2021-10-01,4,night,19,1756.36,-3.5,1024.13,sl 1756.36
2021.10.05 00:50:00,2021-10-05,0,night,SHORT,20,0.01,1765.85,A1_M5_MOM_R5_UPCHOP_,2021.10.05 04:13:27,2021-10-05,4,night,2021-10-05,0,night,21,1758.82,7.03,1031.16,tp 1758.85
