run,source_timeframe,timestamp,matching_h1,matching_h4,matching_d1
run1,H1,2025-06-18T03:00:00,2025-06-18T03:00:00,2025-06-18T00:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T04:00:00,2025-06-18T04:00:00,2025-06-18T04:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T05:00:00,2025-06-18T05:00:00,2025-06-18T04:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T06:00:00,2025-06-18T06:00:00,2025-06-18T04:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T08:00:00,2025-06-18T08:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T09:00:00,2025-06-18T09:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T10:00:00,2025-06-18T10:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T11:00:00,2025-06-18T11:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T12:00:00,2025-06-18T12:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T13:00:00,2025-06-18T13:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T14:00:00,2025-06-18T14:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T15:00:00,2025-06-18T15:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T16:00:00,2025-06-18T16:00:00,2025-06-18T16:00:00,2025-06-18T00:00:00
run1,H1,2025-06-18T17:00:00,2025-06-18T17:00:00,2025-06-18T16:00:00,2025-06-18T00:00:00
run1,H1,2025-09-29T14:00:00,2025-09-29T14:00:00,2025-09-29T12:00:00,2025-09-29T00:00:00
run1,H1,2025-09-29T15:00:00,2025-09-29T15:00:00,2025-09-29T12:00:00,2025-09-29T00:00:00
run1,H1,2025-11-17T01:00:00,2025-11-17T01:00:00,2025-11-17T00:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T02:00:00,2025-11-17T02:00:00,2025-11-17T00:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T04:00:00,2025-11-17T04:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T05:00:00,2025-11-17T05:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T06:00:00,2025-11-17T06:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T07:00:00,2025-11-17T07:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T08:00:00,2025-11-17T08:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T09:00:00,2025-11-17T09:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T10:00:00,2025-11-17T10:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T11:00:00,2025-11-17T11:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run1,H1,2025-11-17T12:00:00,2025-11-17T12:00:00,2025-11-17T12:00:00,2025-11-17T00:00:00
run1,H1,2026-04-14T02:00:00,2026-04-14T02:00:00,2026-04-14T00:00:00,2026-04-14T00:00:00
run1,H1,2026-04-14T05:00:00,2026-04-14T05:00:00,2026-04-14T04:00:00,2026-04-14T00:00:00
run1,H1,2026-04-14T06:00:00,2026-04-14T06:00:00,2026-04-14T04:00:00,2026-04-14T00:00:00
run1,H1,2026-04-14T07:00:00,2026-04-14T07:00:00,2026-04-14T04:00:00,2026-04-14T00:00:00
run1,H4,2025-06-18T00:00:00,,2025-06-18T00:00:00,2025-06-18T00:00:00
run1,H4,2025-06-18T04:00:00,2025-06-18T04:00:00,2025-06-18T04:00:00,2025-06-18T00:00:00
run1,H4,2025-06-18T08:00:00,2025-06-18T08:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run1,H4,2025-06-18T12:00:00,2025-06-18T12:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run1,H4,2025-06-18T16:00:00,2025-06-18T16:00:00,2025-06-18T16:00:00,2025-06-18T00:00:00
run1,H4,2025-09-29T12:00:00,,2025-09-29T12:00:00,2025-09-29T00:00:00
run1,H4,2025-11-17T00:00:00,,2025-11-17T00:00:00,2025-11-17T00:00:00
run1,H4,2025-11-17T04:00:00,2025-11-17T04:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run1,H4,2025-11-17T08:00:00,2025-11-17T08:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run1,H4,2025-11-17T12:00:00,2025-11-17T12:00:00,2025-11-17T12:00:00,2025-11-17T00:00:00
run1,H4,2026-04-14T00:00:00,,2026-04-14T00:00:00,2026-04-14T00:00:00
run1,H4,2026-04-14T04:00:00,,2026-04-14T04:00:00,2026-04-14T00:00:00
run1,D1,2025-06-18T00:00:00,,2025-06-18T00:00:00,2025-06-18T00:00:00
run1,D1,2025-09-29T00:00:00,,,2025-09-29T00:00:00
run1,D1,2025-11-17T00:00:00,,2025-11-17T00:00:00,2025-11-17T00:00:00
run1,D1,2026-04-14T00:00:00,,2026-04-14T00:00:00,2026-04-14T00:00:00
run2,H1,2025-06-18T03:00:00,2025-06-18T03:00:00,2025-06-18T00:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T04:00:00,2025-06-18T04:00:00,2025-06-18T04:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T05:00:00,2025-06-18T05:00:00,2025-06-18T04:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T06:00:00,2025-06-18T06:00:00,2025-06-18T04:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T08:00:00,2025-06-18T08:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T09:00:00,2025-06-18T09:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T10:00:00,2025-06-18T10:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T11:00:00,2025-06-18T11:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T12:00:00,2025-06-18T12:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T13:00:00,2025-06-18T13:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T14:00:00,2025-06-18T14:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T15:00:00,2025-06-18T15:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T16:00:00,2025-06-18T16:00:00,2025-06-18T16:00:00,2025-06-18T00:00:00
run2,H1,2025-06-18T17:00:00,2025-06-18T17:00:00,2025-06-18T16:00:00,2025-06-18T00:00:00
run2,H1,2025-09-29T14:00:00,2025-09-29T14:00:00,2025-09-29T12:00:00,2025-09-29T00:00:00
run2,H1,2025-09-29T15:00:00,2025-09-29T15:00:00,2025-09-29T12:00:00,2025-09-29T00:00:00
run2,H1,2025-11-17T01:00:00,2025-11-17T01:00:00,2025-11-17T00:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T02:00:00,2025-11-17T02:00:00,2025-11-17T00:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T04:00:00,2025-11-17T04:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T05:00:00,2025-11-17T05:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T06:00:00,2025-11-17T06:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T07:00:00,2025-11-17T07:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T08:00:00,2025-11-17T08:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T09:00:00,2025-11-17T09:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T10:00:00,2025-11-17T10:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T11:00:00,2025-11-17T11:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run2,H1,2025-11-17T12:00:00,2025-11-17T12:00:00,2025-11-17T12:00:00,2025-11-17T00:00:00
run2,H1,2026-04-14T02:00:00,2026-04-14T02:00:00,2026-04-14T00:00:00,2026-04-14T00:00:00
run2,H1,2026-04-14T05:00:00,2026-04-14T05:00:00,2026-04-14T04:00:00,2026-04-14T00:00:00
run2,H1,2026-04-14T06:00:00,2026-04-14T06:00:00,2026-04-14T04:00:00,2026-04-14T00:00:00
run2,H1,2026-04-14T07:00:00,2026-04-14T07:00:00,2026-04-14T04:00:00,2026-04-14T00:00:00
run2,H4,2025-06-18T00:00:00,,2025-06-18T00:00:00,2025-06-18T00:00:00
run2,H4,2025-06-18T04:00:00,2025-06-18T04:00:00,2025-06-18T04:00:00,2025-06-18T00:00:00
run2,H4,2025-06-18T08:00:00,2025-06-18T08:00:00,2025-06-18T08:00:00,2025-06-18T00:00:00
run2,H4,2025-06-18T12:00:00,2025-06-18T12:00:00,2025-06-18T12:00:00,2025-06-18T00:00:00
run2,H4,2025-06-18T16:00:00,2025-06-18T16:00:00,2025-06-18T16:00:00,2025-06-18T00:00:00
run2,H4,2025-09-29T12:00:00,,2025-09-29T12:00:00,2025-09-29T00:00:00
run2,H4,2025-11-17T00:00:00,,2025-11-17T00:00:00,2025-11-17T00:00:00
run2,H4,2025-11-17T04:00:00,2025-11-17T04:00:00,2025-11-17T04:00:00,2025-11-17T00:00:00
run2,H4,2025-11-17T08:00:00,2025-11-17T08:00:00,2025-11-17T08:00:00,2025-11-17T00:00:00
run2,H4,2025-11-17T12:00:00,2025-11-17T12:00:00,2025-11-17T12:00:00,2025-11-17T00:00:00
run2,H4,2026-04-14T00:00:00,,2026-04-14T00:00:00,2026-04-14T00:00:00
run2,H4,2026-04-14T04:00:00,,2026-04-14T04:00:00,2026-04-14T00:00:00
run2,D1,2025-06-18T00:00:00,,2025-06-18T00:00:00,2025-06-18T00:00:00
run2,D1,2025-09-29T00:00:00,,,2025-09-29T00:00:00
run2,D1,2025-11-17T00:00:00,,2025-11-17T00:00:00,2025-11-17T00:00:00
run2,D1,2026-04-14T00:00:00,,2026-04-14T00:00:00,2026-04-14T00:00:00
