variant,period,start,end,trades,wins,losses,wr,wl,pf,net
short_v2_r1_d1_ema20_bearish,B1,2022-07-01,2022-12-31,79,29,50,36.71,2.0712,1.2013,41.34
short_v2_r1_d1_ema20_bearish,B2,2023-01-01,2023-06-30,68,16,52,23.53,2.0933,0.6441,-67.09
short_v2_r1_d1_ema20_bearish,B3,2023-07-01,2023-12-31,49,15,34,30.61,1.8313,0.8079,-25.57
short_v2_r1_d1_ema20_bearish,B4,2024-01-01,2024-06-30,31,3,28,9.68,2.2753,0.2438,-96.41
short_v2_r1_d1_ema20_bearish,B5,2024-07-01,2024-12-31,27,7,20,25.93,2.7552,0.9643,-3.62
short_v2_r1_d1_ema20_bearish,B6,2025-01-01,2025-06-30,12,4,8,33.33,4.2211,2.1106,45.6
short_v2_r1_d1_ema20_bearish,B7,2025-07-01,2025-12-31,9,4,5,44.44,3.1614,2.5292,59.27
short_v2_r1_d1_ema20_bearish,B8,2026-01-01,2026-06-30,54,30,24,55.56,2.0505,2.5631,487.9
short_v2_r2_d1_ema20_nonup,B1,2022-07-01,2022-12-31,85,31,54,36.47,2.07,1.1884,41.32
short_v2_r2_d1_ema20_nonup,B2,2023-01-01,2023-06-30,71,17,54,23.94,2.0866,0.6569,-67.08
short_v2_r2_d1_ema20_nonup,B3,2023-07-01,2023-12-31,57,22,35,38.6,1.891,1.1886,25.87
short_v2_r2_d1_ema20_nonup,B4,2024-01-01,2024-06-30,35,3,32,8.57,2.3302,0.2185,-111.19
short_v2_r2_d1_ema20_nonup,B5,2024-07-01,2024-12-31,32,8,24,25.0,2.6467,0.8822,-14.01
short_v2_r2_d1_ema20_nonup,B6,2025-01-01,2025-06-30,31,11,20,35.48,2.4359,1.3397,42.44
short_v2_r2_d1_ema20_nonup,B7,2025-07-01,2025-12-31,22,8,14,36.36,2.7691,1.5823,71.15
short_v2_r2_d1_ema20_nonup,B8,2026-01-01,2026-06-30,60,33,27,55.0,1.9993,2.4436,519.06
short_v2_r3_d1_ema50_structural_down,B1,2022-07-01,2022-12-31,83,30,53,36.14,2.0764,1.1753,37.84
short_v2_r3_d1_ema50_structural_down,B2,2023-01-01,2023-06-30,50,12,38,24.0,2.1679,0.6846,-43.0
short_v2_r3_d1_ema50_structural_down,B3,2023-07-01,2023-12-31,40,16,24,40.0,1.827,1.218,21.35
short_v2_r3_d1_ema50_structural_down,B4,2024-01-01,2024-06-30,2,0,2,0.0,0.0,0.0,-7.03
short_v2_r3_d1_ema50_structural_down,B5,2024-07-01,2024-12-31,16,3,13,18.75,1.3758,0.3175,-48.84
short_v2_r3_d1_ema50_structural_down,B6,2025-01-01,2025-06-30,1,0,1,0.0,0.0,0.0,-3.52
short_v2_r3_d1_ema50_structural_down,B7,2025-07-01,2025-12-31,0,0,0,0.0,,,0
short_v2_r3_d1_ema50_structural_down,B8,2026-01-01,2026-06-30,50,27,23,54.0,1.9356,2.2722,388.92
