variant,period,start,end,trades,wins,losses,wr,wl,pf,net
short_v2_r1_d1_ema20_bearish,2022,2022-07-01,2022-12-31,79,29,50,36.71,2.0712,1.2013,41.34
short_v2_r1_d1_ema20_bearish,2023,2023-01-01,2023-12-31,117,31,86,26.5,1.975,0.7119,-92.66
short_v2_r1_d1_ema20_bearish,2024,2024-01-01,2024-12-31,58,10,48,17.24,2.7026,0.563,-100.03
short_v2_r1_d1_ema20_bearish,2025,2025-01-01,2025-12-31,21,8,13,38.1,3.76,2.3138,104.87
short_v2_r1_d1_ema20_bearish,2026,2026-01-01,2026-06-30,54,30,24,55.56,2.0505,2.5631,487.9
short_v2_r2_d1_ema20_nonup,2022,2022-07-01,2022-12-31,85,31,54,36.47,2.07,1.1884,41.32
short_v2_r2_d1_ema20_nonup,2023,2023-01-01,2023-12-31,128,39,89,30.47,1.9994,0.8761,-41.21
short_v2_r2_d1_ema20_nonup,2024,2024-01-01,2024-12-31,67,11,56,16.42,2.6512,0.5208,-125.2
short_v2_r2_d1_ema20_nonup,2025,2025-01-01,2025-12-31,53,19,34,35.85,2.6121,1.4597,113.59
short_v2_r2_d1_ema20_nonup,2026,2026-01-01,2026-06-30,60,33,27,55.0,1.9993,2.4436,519.06
short_v2_r3_d1_ema50_structural_down,2022,2022-07-01,2022-12-31,83,30,53,36.14,2.0764,1.1753,37.84
short_v2_r3_d1_ema50_structural_down,2023,2023-01-01,2023-12-31,90,28,62,31.11,2.0097,0.9076,-21.65
short_v2_r3_d1_ema50_structural_down,2024,2024-01-01,2024-12-31,18,3,15,16.67,1.4455,0.2891,-55.87
short_v2_r3_d1_ema50_structural_down,2025,2025-01-01,2025-12-31,1,0,1,0.0,0.0,0.0,-3.52
short_v2_r3_d1_ema50_structural_down,2026,2026-01-01,2026-06-30,50,27,23,54.0,1.9356,2.2722,388.92
