variant,period,start,end,trades,wins,losses,wr,wl,pf,net
wr50_s1_m5_sweep_structural,B1,2022-07-01,2022-12-31,24,10,14,41.67,1.9252,1.3751,19.83
wr50_s1_m5_sweep_structural,B2,2023-01-01,2023-06-30,21,6,15,28.57,1.8744,0.7497,-14.68
wr50_s1_m5_sweep_structural,B3,2023-07-01,2023-12-31,16,7,9,43.75,2.0854,1.6219,19.61
wr50_s1_m5_sweep_structural,B4,2024-01-01,2024-06-30,3,0,3,0.0,0.0,0.0,-12.96
wr50_s1_m5_sweep_structural,B5,2024-07-01,2024-12-31,6,1,5,16.67,2.9817,0.5963,-7.73
wr50_s1_m5_sweep_structural,B6,2025-01-01,2025-06-30,0,0,0,0.0,,,0
wr50_s1_m5_sweep_structural,B7,2025-07-01,2025-12-31,0,0,0,0.0,,,0
wr50_s1_m5_sweep_structural,B8,2026-01-01,2026-06-30,14,5,9,35.71,1.9487,1.0826,9.96
wr50_s2_prior_day_sweep_structural,B1,2022-07-01,2022-12-31,7,4,3,57.14,1.4978,1.9971,20.31
wr50_s2_prior_day_sweep_structural,B2,2023-01-01,2023-06-30,4,0,4,0.0,0.0,0.0,-14.05
wr50_s2_prior_day_sweep_structural,B3,2023-07-01,2023-12-31,7,2,5,28.57,1.6287,0.6515,-7.49
wr50_s2_prior_day_sweep_structural,B4,2024-01-01,2024-06-30,1,0,1,0.0,0.0,0.0,-5.16
wr50_s2_prior_day_sweep_structural,B5,2024-07-01,2024-12-31,2,2,0,100.0,,,20.97
wr50_s2_prior_day_sweep_structural,B6,2025-01-01,2025-06-30,2,0,2,0.0,0.0,0.0,-13.31
wr50_s2_prior_day_sweep_structural,B7,2025-07-01,2025-12-31,0,0,0,0.0,,,0
wr50_s2_prior_day_sweep_structural,B8,2026-01-01,2026-06-30,7,2,5,28.57,1.8336,0.7334,-18.35
wr50_s3_ema_pullback_structural,B1,2022-07-01,2022-12-31,127,41,86,32.28,1.9573,0.9331,-22.78
wr50_s3_ema_pullback_structural,B2,2023-01-01,2023-06-30,61,19,42,31.15,1.9797,0.8956,-17.26
wr50_s3_ema_pullback_structural,B3,2023-07-01,2023-12-31,55,19,36,34.55,1.8083,0.9544,-6.5
wr50_s3_ema_pullback_structural,B4,2024-01-01,2024-06-30,7,1,6,14.29,1.6699,0.2783,-19.37
wr50_s3_ema_pullback_structural,B5,2024-07-01,2024-12-31,27,6,21,22.22,1.9928,0.5694,-43.76
wr50_s3_ema_pullback_structural,B6,2025-01-01,2025-06-30,4,0,4,0.0,0.0,0.0,-22.5
wr50_s3_ema_pullback_structural,B7,2025-07-01,2025-12-31,3,1,2,33.33,2.0941,1.0471,0.6
wr50_s3_ema_pullback_structural,B8,2026-01-01,2026-06-30,93,33,60,35.48,1.9228,1.0575,51.51
wr50_s4_m5_ema_trend_structural,B1,2022-07-01,2022-12-31,91,31,60,34.07,1.897,0.9801,-4.58
wr50_s4_m5_ema_trend_structural,B2,2023-01-01,2023-06-30,48,11,37,22.92,1.7796,0.5291,-73.36
wr50_s4_m5_ema_trend_structural,B3,2023-07-01,2023-12-31,44,20,24,45.45,1.9458,1.6215,55.89
wr50_s4_m5_ema_trend_structural,B4,2024-01-01,2024-06-30,6,1,5,16.67,1.9362,0.3872,-11.82
wr50_s4_m5_ema_trend_structural,B5,2024-07-01,2024-12-31,11,3,8,27.27,2.1603,0.8101,-7.69
wr50_s4_m5_ema_trend_structural,B6,2025-01-01,2025-06-30,1,0,1,0.0,0.0,0.0,-4.96
wr50_s4_m5_ema_trend_structural,B7,2025-07-01,2025-12-31,2,1,1,50.0,2.1934,2.1934,7.22
wr50_s4_m5_ema_trend_structural,B8,2026-01-01,2026-06-30,50,19,31,38.0,1.8018,1.1043,48.76
wr50_s5_v2_strict_retest_structural,B1,2022-07-01,2022-12-31,78,26,52,33.33,2.1595,1.0797,16.81
wr50_s5_v2_strict_retest_structural,B2,2023-01-01,2023-06-30,36,9,27,25.0,2.478,0.826,-17.27
wr50_s5_v2_strict_retest_structural,B3,2023-07-01,2023-12-31,36,13,23,36.11,2.0243,1.1442,12.38
wr50_s5_v2_strict_retest_structural,B4,2024-01-01,2024-06-30,3,0,3,0.0,0.0,0.0,-11.27
wr50_s5_v2_strict_retest_structural,B5,2024-07-01,2024-12-31,13,2,11,15.38,1.2486,0.227,-48.01
wr50_s5_v2_strict_retest_structural,B6,2025-01-01,2025-06-30,1,0,1,0.0,0.0,0.0,-3.52
wr50_s5_v2_strict_retest_structural,B7,2025-07-01,2025-12-31,0,0,0,0.0,,,0
wr50_s5_v2_strict_retest_structural,B8,2026-01-01,2026-06-30,42,22,20,52.38,1.7879,1.9667,285.93
