variant,period,start,end,trades,wins,losses,wr,wl,pf,net
wr50_s1_m5_sweep_structural,2022,2022-07-01,2022-12-31,24,10,14,41.67,1.9252,1.3751,19.83
wr50_s1_m5_sweep_structural,2023,2023-01-01,2023-12-31,37,13,24,35.14,1.9471,1.0547,4.93
wr50_s1_m5_sweep_structural,2024,2024-01-01,2024-12-31,9,1,8,11.11,2.8452,0.3557,-20.69
wr50_s1_m5_sweep_structural,2025,2025-01-01,2025-12-31,0,0,0,0.0,,,0
wr50_s1_m5_sweep_structural,2026,2026-01-01,2026-06-30,14,5,9,35.71,1.9487,1.0826,9.96
wr50_s2_prior_day_sweep_structural,2022,2022-07-01,2022-12-31,7,4,3,57.14,1.4978,1.9971,20.31
wr50_s2_prior_day_sweep_structural,2023,2023-01-01,2023-12-31,11,2,9,18.18,1.7727,0.3939,-21.54
wr50_s2_prior_day_sweep_structural,2024,2024-01-01,2024-12-31,3,2,1,66.67,2.032,4.064,15.81
wr50_s2_prior_day_sweep_structural,2025,2025-01-01,2025-12-31,2,0,2,0.0,0.0,0.0,-13.31
wr50_s2_prior_day_sweep_structural,2026,2026-01-01,2026-06-30,7,2,5,28.57,1.8336,0.7334,-18.35
wr50_s3_ema_pullback_structural,2022,2022-07-01,2022-12-31,127,41,86,32.28,1.9573,0.9331,-22.78
wr50_s3_ema_pullback_structural,2023,2023-01-01,2023-12-31,116,38,78,32.76,1.8942,0.9228,-23.76
wr50_s3_ema_pullback_structural,2024,2024-01-01,2024-12-31,34,7,27,20.59,1.9616,0.5086,-63.13
wr50_s3_ema_pullback_structural,2025,2025-01-01,2025-12-31,7,1,6,14.29,2.2723,0.3787,-21.9
wr50_s3_ema_pullback_structural,2026,2026-01-01,2026-06-30,93,33,60,35.48,1.9228,1.0575,51.51
wr50_s4_m5_ema_trend_structural,2022,2022-07-01,2022-12-31,91,31,60,34.07,1.897,0.9801,-4.58
wr50_s4_m5_ema_trend_structural,2023,2023-01-01,2023-12-31,92,31,61,33.7,1.8278,0.9289,-17.47
wr50_s4_m5_ema_trend_structural,2024,2024-01-01,2024-12-31,17,4,13,23.53,2.1895,0.6737,-19.51
wr50_s4_m5_ema_trend_structural,2025,2025-01-01,2025-12-31,3,1,2,33.33,2.4105,1.2053,2.26
wr50_s4_m5_ema_trend_structural,2026,2026-01-01,2026-06-30,50,19,31,38.0,1.8018,1.1043,48.76
wr50_s5_v2_strict_retest_structural,2022,2022-07-01,2022-12-31,78,26,52,33.33,2.1595,1.0797,16.81
wr50_s5_v2_strict_retest_structural,2023,2023-01-01,2023-12-31,72,22,50,30.56,2.2127,0.9736,-4.89
wr50_s5_v2_strict_retest_structural,2024,2024-01-01,2024-12-31,16,2,14,12.5,1.3451,0.1922,-59.28
wr50_s5_v2_strict_retest_structural,2025,2025-01-01,2025-12-31,1,0,1,0.0,0.0,0.0,-3.52
wr50_s5_v2_strict_retest_structural,2026,2026-01-01,2026-06-30,42,22,20,52.38,1.7879,1.9667,285.93
