component,source_id,upstream_source_id,upstream_component,family_group,source_priority,cell_id,component_priority,variant_name,entry_time,entry_date,exit_time,exit_date,direction,pnl_usd,tickets,lots,source_csv,source_row,drop_reason,duplicate_of_source_id,duplicate_of_entry_time
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2022-07-08 14:55:00,2022-07-08,2022-07-11 11:38:34,2022-07-11,SHORT,12.94,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,2,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2022-07-12 01:40:00,2022-07-12,2022-07-13 15:13:37,2022-07-13,SHORT,-13.36,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,3,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2022-07-18 18:00:00,2022-07-18,2022-07-19 09:31:41,2022-07-19,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,4,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2022-08-22 02:40:00,2022-08-22,2022-08-22 07:01:36,2022-08-22,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,5,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2022-09-26 07:50:00,2022-09-26,2022-09-26 16:32:14,2022-09-26,SHORT,13.74,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,6,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2022-10-17 00:15:00,2022-10-17,2022-10-17 01:33:41,2022-10-17,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,7,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2022-10-31 03:35:00,2022-10-31,2022-10-31 07:30:29,2022-10-31,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,8,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-02-27 00:10:00,2023-02-27,2023-02-27 12:53:37,2023-02-27,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,9,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-05-29 01:40:00,2023-05-29,2023-05-29 06:18:15,2023-05-29,SHORT,-3.52,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,10,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-05-29 09:50:00,2023-05-29,2023-05-29 12:48:35,2023-05-29,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,11,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-06-30 12:45:00,2023-06-30,2023-06-30 14:06:32,2023-06-30,SHORT,-3.52,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,12,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-08-14 07:50:00,2023-08-14,2023-08-14 12:24:28,2023-08-14,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,13,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-08-21 00:45:00,2023-08-21,2023-08-21 04:06:41,2023-08-21,SHORT,-3.51,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,14,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-08-21 06:05:00,2023-08-21,2023-08-21 11:44:38,2023-08-21,SHORT,-4.85,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,15,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-08-21 16:35:00,2023-08-21,2023-08-21 17:23:38,2023-08-21,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,16,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-09-08 13:00:00,2023-09-08,2023-09-08 13:57:40,2023-09-08,SHORT,-6.13,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,17,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-09-11 01:25:00,2023-09-11,2023-09-11 02:30:35,2023-09-11,SHORT,-3.5,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,18,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2023-10-02 00:15:00,2023-10-02,2023-10-02 05:42:51,2023-10-02,SHORT,7.0,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,19,,,
wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,wr50_s2_prior_day_sweep_structural,exact_mt5_short_v2_robustness,xau_short_v2_robustness,88,wr50_s2_prior_day_sweep_structural,0,wr50_s2_prior_day_sweep_structural,2024-01-28 22:35:00,2024-01-28,2024-01-29 05:59:15,2024-01-29,SHORT,-5.16,1,0.01,C:\Users\ZHAO ZHU INFORMATION\Downloads\algo-trading-system\xau-usd\xauusd-phase1\outputs\reports\mt5_backtests\a1_momentum_variants_owner_goal_short_wr50_rr2_202207_202606_20260701\A1XauM5Momentum_OWNER_GOAL_SHORT_WR50_RR2_202207_202606_XAUUSD_M5_wr50_s2_prior_day_sweep_structural_trades.csv,20,,,
