start,end,episode,dominant_regime,dominant_share_pct,gold_return_pct,trades,wins,win_rate_pct,baseline_net_usd,stress_net_usd,stress_profit_factor,average_stress_usd,maximum_closed_drawdown_usd
2016-07-09,2016-09-30,post-spike compression / range,compression,100.0,-3.14,5,0,0.0,-43.279999999999994,-44.779999999999994,0.0,-8.956,44.779999999999994
2016-10-01,2016-12-31,downtrend selloff,downtrend,44.87,-12.45,78,28,35.8974358974359,3.3700000000000045,-20.029999999999994,0.9394131881427709,-0.2567948717948717,107.25000000000003
2017-01-01,2018-05-31,broad chop with short trend bursts,chop,48.97,13.19,135,42,31.11111111111111,-39.409999999999975,-79.90999999999997,0.9267794311684509,-0.5919259259259257,371.4000000000001
2018-06-01,2018-09-30,compression into downtrend,downtrend,64.42,-8.3,91,42,46.15384615384615,205.97,178.67000000000002,1.8476208548792639,1.9634065934065936,42.12
2018-10-01,2019-05-31,base-building chop,chop,57.28,8.37,76,25,32.89473684210527,128.98,106.18000000000002,1.2280547262613026,1.397105263157895,289.1
2019-06-01,2020-09-30,major bull expansion with shock bursts,uptrend,54.46,45.34,70,43,61.42857142857143,1778.1699999999998,1757.17,5.089294856876893,25.10242857142857,303.19999999999993
2020-10-01,2021-03-31,post-bull correction / chop-to-downtrend,chop,62.99,-10.71,75,30,40.0,67.18,44.67999999999998,1.080800043401993,0.595733333333333,283.65000000000003
2021-04-01,2022-01-31,compression and range rotation,compression,43.08,4.67,85,19,22.35294117647059,-584.52,-610.0199999999999,0.4214639327782098,-7.176705882352939,816.26
2022-02-01,2022-03-31,upside event shock,shock,45.1,7.64,3,2,66.66666666666666,104.45000000000002,103.55000000000001,4.848011891490152,34.51666666666667,26.91
2022-04-01,2022-10-31,Fed/USD downtrend,downtrend,53.3,-15.21,134,60,44.776119402985074,469.92999999999995,429.72999999999996,1.723914288602136,3.206940298507462,135.49000000000004
2022-11-01,2023-05-31,recovery uptrend with shock rally,uptrend,39.11,19.87,42,19,45.23809523809524,600.32,587.7200000000001,1.998640657921566,13.993333333333336,419.28999999999996
2023-06-01,2023-10-31,compression then violent reversal,compression,60.31,1.49,94,37,39.361702127659576,127.09,98.88999999999999,1.251763028590341,1.0520212765957446,108.94
2023-11-01,2024-05-31,fresh bull breakout / high-vol uptrend,uptrend,55.56,18.39,21,16,76.19047619047619,1021.27,1014.97,6.107024252792593,48.33190476190477,134.73000000000002
2024-06-01,2024-12-31,bull trend with mid-year chop and year-end pause,uptrend,55.19,12.04,47,19,40.42553191489361,844.48,830.3800000000001,1.8668935566041676,17.667659574468086,431.3800000000001
2025-01-01,2026-02-28,extreme bull expansion / crowded upside,uptrend,60.22,101.15,89,62,69.66292134831461,8017.16,7990.46,4.783021413793267,89.78044943820225,868.4699999999984
2026-03-01,2026-07-09,bull break into chop/downtrend,transition,50.0,-23.81,11,6,54.54545454545454,139.13,135.83,2.4343189017951428,12.34818181818182,77.51
