source,assigned_regime,entry_time,exit_time,direction,volume,entry_price,exit_price,profit_usd,stress_profit_usd,exit_comment
r1_box_clean_strict_uptrend,R1_UPTREND_LONG,2016.08.02 08:00:00,2016.08.05 12:30:30,LONG,0.01,1358.8,1346.43,-12.37,-12.67,sl 1346.48
r1_box_clean_strict_uptrend,R1_UPTREND_LONG,2016.08.02 16:00:00,2016.08.05 12:30:30,LONG,0.01,1366.83,1346.43,-20.4,-20.7,sl 1346.52
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.09.19 00:00:00,2016.09.19 01:20:04,SHORT,0.01,1310.84,1314.35,-3.51,-3.8099999999999996,sl 1314.34
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.09.19 19:00:00,2016.09.20 06:55:29,SHORT,0.01,1313.65,1317.15,-3.5,-3.8,sl 1317.15
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.09.20 18:00:00,2016.09.21 04:18:29,SHORT,0.01,1314.05,1317.55,-3.5,-3.8,sl 1317.55
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.03 03:00:00,2016.10.04 12:05:27,SHORT,0.01,1316.05,1307.17,8.88,8.58,tp 1307.17
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.03 05:00:00,2016.10.04 12:20:27,SHORT,0.01,1314.32,1304.79,7.0,6.7,tp 1304.79
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.03 13:00:00,2016.10.04 12:21:27,SHORT,0.01,1313.31,1303.13,11.19,10.889999999999999,tp 1303.13
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.03 15:00:00,2016.10.04 12:21:40,SHORT,0.01,1311.94,1302.45,10.86,10.559999999999999,tp 1302.47
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.04 00:00:00,2016.10.04 12:23:31,SHORT,0.01,1311.79,1300.76,7.0,6.7,tp 1300.76
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.04 07:00:00,2016.10.04 12:23:31,SHORT,0.01,1308.66,1300.7,7.96,7.66,tp 1300.70
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.04 12:00:00,2016.10.04 12:23:41,SHORT,0.01,1307.76,1299.86,12.08,11.78,tp 1299.87
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.05 15:00:00,2016.10.06 13:06:19,SHORT,0.01,1268.14,1257.77,8.19,7.89,tp 1257.78
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.05 17:00:00,2016.10.06 13:16:43,SHORT,0.01,1262.55,1254.93,9.1,8.799999999999999,tp 1254.94
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.06 03:00:00,2016.10.07 12:30:30,SHORT,0.01,1265.96,1260.54,-4.31,-4.609999999999999,sl 1260.51
r2_pullback_short_h1_confirm,R2_DOWNTREND_SHORT,2016.10.06 12:00:00,2016.10.07 12:30:30,SHORT,0.01,1264.03,1260.54,-6.66,-6.96,sl 1260.50
