date,trades,stress_pnl_usd
2016-08-05,2,-33.37
2016-09-19,1,-3.81
2016-09-20,1,-3.8
2016-09-21,1,-3.8
2016-10-04,2,15.28
2016-10-06,2,16.69
2016-10-11,2,-7.6
2016-10-14,2,20.26
2016-10-19,2,-24.49
2016-11-21,1,-5.7
2016-11-23,3,11.53
2016-11-25,2,16.57
2016-11-27,1,-11.36
2016-11-28,2,-10.54
2016-11-29,2,-12.45
2016-11-30,2,18.77
2016-12-01,2,-19.18
2016-12-04,1,-10.52
2016-12-07,2,-19.57
2016-12-09,1,7.11
2016-12-13,1,-4.56
2016-12-14,2,35.83
2016-12-16,2,-11.02
2016-12-21,2,-7.64
2016-12-22,2,-7.72
2016-12-30,1,-21.54
2017-02-10,2,-39.94
2017-03-02,1,-26.93
2017-03-03,1,-23.83
