time_utc,event,trade_id,source,direction,decision,equity_usd,active_trades,active_gross_lots
2016-08-02T08:00:00Z,ENTRY,T00001,r1_box_clean_strict_uptrend,LONG,ACCEPTED_ENTRY,1000.0,1,0.01
2016-08-02T16:00:00Z,ENTRY,T00002,r1_box_clean_strict_uptrend,LONG,ACCEPTED_ENTRY,1000.0,2,0.02
2016-08-05T12:30:30Z,EXIT,T00001,r1_box_clean_strict_uptrend,LONG,ACCEPTED_EXIT,987.33,1,0.01
2016-08-05T12:30:30Z,EXIT,T00002,r1_box_clean_strict_uptrend,LONG,ACCEPTED_EXIT,966.63,0,0
2016-09-19T00:00:00Z,ENTRY,T00003,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,966.63,1,0.01
2016-09-19T01:20:04Z,EXIT,T00003,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,962.82,0,0
2016-09-19T19:00:00Z,ENTRY,T00004,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,962.82,1,0.01
2016-09-20T06:55:29Z,EXIT,T00004,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,959.02,0,0
2016-09-20T18:00:00Z,ENTRY,T00005,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,959.02,1,0.01
2016-09-21T04:18:29Z,EXIT,T00005,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,955.22,0,0
2016-10-03T03:00:00Z,ENTRY,T00006,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,955.22,1,0.01
2016-10-03T05:00:00Z,ENTRY,T00007,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,955.22,2,0.02
2016-10-03T13:00:00Z,ENTRY,T00008,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,955.22,2,0.02
2016-10-03T15:00:00Z,ENTRY,T00009,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,955.22,2,0.02
2016-10-04T00:00:00Z,ENTRY,T00010,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,955.22,2,0.02
2016-10-04T07:00:00Z,ENTRY,T00011,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,955.22,2,0.02
2016-10-04T12:00:00Z,ENTRY,T00012,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,955.22,2,0.02
2016-10-04T12:05:27Z,EXIT,T00006,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,963.8,1,0.01
2016-10-04T12:20:27Z,EXIT,T00007,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,970.5,0,0
2016-10-05T15:00:00Z,ENTRY,T00013,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,970.5,1,0.01
2016-10-05T17:00:00Z,ENTRY,T00014,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,970.5,2,0.02
2016-10-06T03:00:00Z,ENTRY,T00015,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,970.5,2,0.02
2016-10-06T12:00:00Z,ENTRY,T00016,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,970.5,2,0.02
2016-10-06T13:00:00Z,ENTRY,T00017,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,970.5,2,0.02
2016-10-06T13:06:19Z,EXIT,T00013,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,978.39,1,0.01
2016-10-06T13:16:43Z,EXIT,T00014,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,987.19,0,0
2016-10-06T14:00:00Z,ENTRY,T00018,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,987.19,1,0.01
2016-10-06T15:00:00Z,ENTRY,T00019,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,987.19,2,0.02
2016-10-07T03:00:00Z,ENTRY,T00020,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,987.19,2,0.02
2016-10-07T04:00:00Z,ENTRY,T00021,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,987.19,2,0.02
2016-10-10T17:00:00Z,ENTRY,T00022,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,987.19,2,0.02
2016-10-11T00:00:00Z,ENTRY,T00023,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,987.19,2,0.02
2016-10-11T03:00:00Z,ENTRY,T00024,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,987.19,2,0.02
2016-10-11T05:00:00Z,ENTRY,T00025,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,987.19,2,0.02
2016-10-11T06:22:14Z,EXIT,T00018,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,983.39,1,0.01
2016-10-11T06:22:39Z,EXIT,T00019,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,979.59,0,0
2016-10-11T09:00:00Z,ENTRY,T00026,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,979.59,1,0.01
2016-10-11T14:00:00Z,ENTRY,T00027,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,979.59,2,0.02
2016-10-11T17:00:00Z,ENTRY,T00028,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,979.59,2,0.02
2016-10-11T20:00:00Z,ENTRY,T00029,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,979.59,2,0.02
2016-10-12T11:00:00Z,ENTRY,T00030,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,979.59,2,0.02
2016-10-12T15:00:00Z,ENTRY,T00031,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,979.59,2,0.02
2016-10-14T10:00:00Z,ENTRY,T00032,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,979.59,2,0.02
2016-10-14T12:30:38Z,EXIT,T00026,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,989.25,1,0.01
2016-10-14T12:30:43Z,EXIT,T00027,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,999.85,0,0
2016-10-14T18:00:00Z,ENTRY,T00033,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,999.85,1,0.01
2016-10-14T19:00:00Z,ENTRY,T00034,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,999.85,2,0.02
2016-10-14T20:00:00Z,ENTRY,T00035,r2_pullback_short_h1_confirm,SHORT,MAXIMUM_CONCURRENT_TRADES,999.85,2,0.02
2016-10-19T09:36:17Z,EXIT,T00033,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,990.06,1,0.01
2016-10-19T09:36:18Z,EXIT,T00034,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_EXIT,975.36,0,0
2016-11-21T18:00:00Z,ENTRY,T00036,r2_pullback_short_h1_confirm,SHORT,ACCEPTED_ENTRY,975.36,1,0.01
