signal_id,candidate_id,direction,entry_time,exit_time,session_bucket,h1_regime,entry_price,stop_loss,take_profit,risk_points,gross_r,charged_spread_points,median_spread_points,p95_spread_points,realized_spread_points,entry_slippage_points,stop_exit_slippage_points,charged_cost_r,p95_spread_cost_r,stress_cost_r,net_r,stress_net_r,cost_guard_pass,market_day_direction,loss_class
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 05:35:00|2025-01-02 07:10:00|2025-01-02 07:15:00|2634.15,B0_RAW_ALL_SESSION,LONG,2025-01-02 07:20:00,2025-01-02 07:35:00,Morning 06:00-11:59,RISING,2634.664,2633.89138,2635.82293,77.26,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,1.423724,1.747298,1.747298,-2.423724,-2.747298,False,UP,NEAR_TP_GIVEBACK
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 13:30:00|2025-01-02 13:45:00|2025-01-02 13:50:00|2638.97,B0_RAW_ALL_SESSION,LONG,2025-01-02 13:55:00,2025-01-02 14:50:00,Evening 16:00-19:59,RISING,2642.875,2637.69631,2650.64303,517.87,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.11586,0.164134,0.164134,1.38414,1.335866,True,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 14:55:00|2025-01-02 15:00:00|2025-01-02 15:05:00|2646.26,B0_RAW_ALL_SESSION,LONG,2025-01-02 15:10:00,2025-01-02 15:55:00,Evening 16:00-19:59,RISING,2648.535,2644.67504,2654.32494,386.0,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.155442,0.22021,0.22021,1.344558,1.27979,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 15:55:00|2025-01-02 16:05:00|2025-01-02 16:10:00|2650.97,B0_RAW_ALL_SESSION,LONG,2025-01-02 16:15:00,2025-01-02 16:25:00,Night 20:00-05:59,RISING,2652.565,2649.5638,2657.0668,300.12,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.19992,0.28322,0.28322,1.30008,1.21678,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 20:20:00|2025-01-02 21:30:00|2025-01-02 21:35:00|2657.05,B0_RAW_ALL_SESSION,LONG,2025-01-02 21:40:00,2025-01-03 01:05:00,Night 20:00-05:59,RISING,2658.208,2656.31182,2661.05227,189.62,1.5,50.0,50.0,50.0,0.0,10.0,0.0,0.316426,0.316426,0.316426,1.183574,1.183574,False,UP,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 02:15:00|2025-01-03 02:30:00|2025-01-03 02:35:00|2660.38,B0_RAW_ALL_SESSION,LONG,2025-01-03 02:40:00,2025-01-03 05:50:00,Morning 06:00-11:59,RISING,2661.465,2658.52295,2665.87808,294.21,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.373889,0.458864,0.458864,-1.373889,-1.458864,False,DOWN,NEAR_TP_GIVEBACK
1033669|XAUUSD|breakout_retest|SHORT|2025-01-03 07:05:00|2025-01-03 07:10:00|2025-01-03 07:15:00|2656.49,B0_RAW_ALL_SESSION,SHORT,2025-01-03 07:20:00,2025-01-03 07:25:00,Morning 06:00-11:59,RISING,2655.588,2657.12089,2653.28867,153.29,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.391419,0.55451,0.55451,1.108581,0.94549,False,DOWN,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 10:10:00|2025-01-03 10:15:00|2025-01-03 10:20:00|2655.80,B0_RAW_ALL_SESSION,LONG,2025-01-03 10:25:00,2025-01-03 10:35:00,Afternoon 12:00-15:59,FALLING,2657.225,2655.24909,2660.18886,197.59,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.556706,0.68323,0.68323,-1.556706,-1.68323,False,DOWN,BAD_SIGNAL
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 10:10:00|2025-01-03 10:50:00|2025-01-03 10:55:00|2655.80,B0_RAW_ALL_SESSION,LONG,2025-01-03 11:00:00,2025-01-03 11:05:00,Afternoon 12:00-15:59,RISING,2656.215,2654.89492,2658.19512,132.01,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.454518,0.643901,0.643901,1.045482,0.856099,False,DOWN,WIN
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 11:10:00|2025-01-03 11:35:00|2025-01-03 11:40:00|2657.22,B0_RAW_ALL_SESSION,LONG,2025-01-03 11:45:00,2025-01-03 11:50:00,Afternoon 12:00-15:59,RISING,2657.908,2656.59945,2659.87083,130.86,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.840625,1.031676,1.031676,-1.840625,-2.031676,False,DOWN,MIXED
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 11:10:00|2025-01-03 11:55:00|2025-01-03 12:00:00|2657.22,B0_RAW_ALL_SESSION,LONG,2025-01-03 12:05:00,2025-01-03 12:20:00,Evening 16:00-19:59,RISING,2657.858,2656.62735,2659.70398,123.07,-1.0,50.0,50.0,75.0,0.0,10.0,50.0,0.893837,1.096981,1.096981,-1.893837,-2.096981,False,DOWN,BAD_SIGNAL
1033669|XAUUSD|breakout_retest|SHORT|2025-01-03 12:25:00|2025-01-03 12:50:00|2025-01-03 12:55:00|2656.11,B0_RAW_ALL_SESSION,SHORT,2025-01-03 13:00:00,2025-01-03 13:20:00,Evening 16:00-19:59,RISING,2655.275,2657.21227,2652.36909,193.73,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.309714,0.438761,0.438761,1.190286,1.061239,False,DOWN,WIN
1033669|XAUUSD|breakout_retest|SHORT|2025-01-03 13:00:00|2025-01-03 13:15:00|2025-01-03 13:20:00|2654.64,B0_RAW_ALL_SESSION,SHORT,2025-01-03 13:25:00,2025-01-03 13:40:00,Evening 16:00-19:59,RISING,2651.965,2656.326,2645.4235,436.1,1.5,50.0,50.0,75.0,0.0,10.0,0.0,0.137583,0.194909,0.194909,1.362417,1.305091,False,DOWN,WIN
