signal_id,candidate_id,direction,entry_time,exit_time,entry_price,stop_loss,take_profit,final_r,outcome,mfe_r,mae_r,cost_r,loss_class,session_bucket,h1_regime
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 05:35:00|2025-01-02 07:10:00|2025-01-02 07:15:00|2634.15,B0_RAW_ALL_SESSION,LONG,2025-01-02 07:20:00,2025-01-02 07:35:00,2634.664,2633.8913785714285,2635.822932142858,-1.0,LOSS,1.4677,2.3763,0.0,NEAR_TP_GIVEBACK,Morning 06:00-11:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 13:30:00|2025-01-02 13:45:00|2025-01-02 13:50:00|2638.97,B0_RAW_ALL_SESSION,LONG,2025-01-02 13:55:00,2025-01-02 14:50:00,2642.875,2637.6963142857144,2650.6430285714287,1.5,WIN,1.5641,0.5291,0.0,WIN,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 14:55:00|2025-01-02 15:00:00|2025-01-02 15:05:00|2646.26,B0_RAW_ALL_SESSION,LONG,2025-01-02 15:10:00,2025-01-02 15:55:00,2648.5350000000003,2644.675042857143,2654.324935714286,1.5,WIN,1.741,0.5648,0.0,WIN,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 15:55:00|2025-01-02 16:05:00|2025-01-02 16:10:00|2650.97,B0_RAW_ALL_SESSION,LONG,2025-01-02 16:15:00,2025-01-02 16:25:00,2652.565,2649.5638,2657.0668000000005,1.5,WIN,1.716,0.0,0.0,WIN,Night 20:00-05:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-02 20:20:00|2025-01-02 21:30:00|2025-01-02 21:35:00|2657.05,B0_RAW_ALL_SESSION,LONG,2025-01-02 21:40:00,2025-01-03 01:05:00,2658.208,2656.3118214285714,2661.0522678571433,1.5,WIN,2.1659,0.77,0.0,WIN,Night 20:00-05:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 02:15:00|2025-01-03 02:30:00|2025-01-03 02:35:00|2660.38,B0_RAW_ALL_SESSION,LONG,2025-01-03 02:40:00,2025-01-03 05:50:00,2661.465,2658.52295,2665.8780750000005,-1.0,LOSS,1.2644,1.227,0.0,NEAR_TP_GIVEBACK,Morning 06:00-11:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-03 07:05:00|2025-01-03 07:10:00|2025-01-03 07:15:00|2656.49,B0_RAW_ALL_SESSION,SHORT,2025-01-03 07:20:00,2025-01-03 07:25:00,2655.5879999999997,2657.120885714286,2653.2886714285705,1.5,WIN,2.5312,0.0,0.0,WIN,Morning 06:00-11:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 10:10:00|2025-01-03 10:15:00|2025-01-03 10:20:00|2655.80,B0_RAW_ALL_SESSION,LONG,2025-01-03 10:25:00,2025-01-03 10:35:00,2657.2250000000004,2655.249092857143,2660.1888607142864,-1.0,LOSS,0.0,1.8306,0.0,BAD_SIGNAL,Afternoon 12:00-15:59,FALLING
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 10:10:00|2025-01-03 10:50:00|2025-01-03 10:55:00|2655.80,B0_RAW_ALL_SESSION,LONG,2025-01-03 11:00:00,2025-01-03 11:05:00,2656.215,2654.8949214285713,2658.1951178571435,1.5,WIN,1.5529,0.0,0.0,WIN,Afternoon 12:00-15:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 11:10:00|2025-01-03 11:35:00|2025-01-03 11:40:00|2657.22,B0_RAW_ALL_SESSION,LONG,2025-01-03 11:45:00,2025-01-03 11:50:00,2657.9080000000004,2656.5994499999997,2659.8708250000013,-1.0,LOSS,0.5479,1.0959,0.0,MIXED,Afternoon 12:00-15:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 11:10:00|2025-01-03 11:55:00|2025-01-03 12:00:00|2657.22,B0_RAW_ALL_SESSION,LONG,2025-01-03 12:05:00,2025-01-03 12:20:00,2657.858,2656.6273499999998,2659.703975000001,-1.0,LOSS,0.2982,1.1376,0.0,BAD_SIGNAL,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-03 12:25:00|2025-01-03 12:50:00|2025-01-03 12:55:00|2656.11,B0_RAW_ALL_SESSION,SHORT,2025-01-03 13:00:00,2025-01-03 13:20:00,2655.2749999999996,2657.2122714285715,2652.369092857142,1.5,WIN,1.7034,0.4646,0.0,WIN,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-03 13:00:00|2025-01-03 13:15:00|2025-01-03 13:20:00|2654.64,B0_RAW_ALL_SESSION,SHORT,2025-01-03 13:25:00,2025-01-03 13:40:00,2651.9649999999997,2656.326,2645.423499999999,1.5,WIN,1.9032,0.0,0.0,WIN,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-03 15:15:00|2025-01-03 15:40:00|2025-01-03 15:45:00|2644.99,B0_RAW_ALL_SESSION,SHORT,2025-01-03 15:50:00,2025-01-03 16:05:00,2643.758,2646.296835714286,2639.9497464285705,-1.0,LOSS,0.3123,1.2868,0.0,BAD_SIGNAL,Evening 16:00-19:59,FALLING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-03 15:15:00|2025-01-03 16:10:00|2025-01-03 16:15:00|2644.99,B0_RAW_ALL_SESSION,SHORT,2025-01-03 16:20:00,2025-01-03 20:15:00,2643.165,2646.1911,2638.62585,1.5,WIN,1.5766,0.0826,0.0,WIN,Night 20:00-05:59,FALLING
1033669|XAUUSD|breakout_retest|LONG|2025-01-03 19:50:00|2025-01-03 20:10:00|2025-01-03 20:15:00|2638.97,B0_RAW_ALL_SESSION,LONG,2025-01-03 20:20:00,2025-01-03 20:30:00,2639.125,2638.2996642857142,2640.3630035714286,-1.0,LOSS,0.5937,1.019,0.0,MIXED,Night 20:00-05:59,FALLING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-07 01:55:00|2025-01-07 02:00:00|2025-01-07 02:05:00|2639.90,B0_RAW_ALL_SESSION,SHORT,2025-01-07 02:10:00,2025-01-07 05:20:00,2638.705,2640.232657142857,2636.413514285714,-1.0,LOSS,1.2961,1.355,0.0,NEAR_TP_GIVEBACK,Morning 06:00-11:59,FALLING
1033669|XAUUSD|breakout_retest|LONG|2025-01-07 06:50:00|2025-01-07 06:55:00|2025-01-07 07:00:00|2639.90,B0_RAW_ALL_SESSION,LONG,2025-01-07 07:05:00,2025-01-07 07:25:00,2641.1650000000004,2639.4918500000003,2643.6747250000008,-1.0,LOSS,0.4781,1.0459,0.0,BAD_SIGNAL,Morning 06:00-11:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-07 07:25:00|2025-01-07 07:55:00|2025-01-07 08:00:00|2639.90,B0_RAW_ALL_SESSION,LONG,2025-01-07 08:05:00,2025-01-07 08:30:00,2640.485,2637.965557142857,2644.2641642857147,1.5,WIN,1.6115,0.0,0.0,WIN,Afternoon 12:00-15:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-07 10:35:00|2025-01-07 11:00:00|2025-01-07 11:05:00|2643.76,B0_RAW_ALL_SESSION,LONG,2025-01-07 11:10:00,2025-01-07 11:20:00,2645.405,2643.579757142857,2648.142864285715,-1.0,LOSS,0.5972,1.4299,0.0,MIXED,Afternoon 12:00-15:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-07 11:10:00|2025-01-07 11:20:00|2025-01-07 11:25:00|2643.76,B0_RAW_ALL_SESSION,LONG,2025-01-07 11:30:00,2025-01-07 11:50:00,2644.1150000000002,2641.7457142857147,2647.6689285714283,1.5,WIN,1.5714,0.0,0.0,WIN,Afternoon 12:00-15:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-07 13:00:00|2025-01-07 13:05:00|2025-01-07 13:10:00|2651.12,B0_RAW_ALL_SESSION,LONG,2025-01-07 13:15:00,2025-01-07 13:25:00,2653.248,2649.609664285714,2658.705503571429,1.5,WIN,2.1155,0.0,0.0,WIN,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-07 13:50:00|2025-01-07 15:15:00|2025-01-07 15:20:00|2651.12,B0_RAW_ALL_SESSION,LONG,2025-01-07 15:25:00,2025-01-07 15:40:00,2651.2650000000003,2647.438157142857,2657.0052642857154,-1.0,LOSS,0.5966,1.7299,0.0,MIXED,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-08 01:25:00|2025-01-08 01:30:00|2025-01-08 01:35:00|2648.43,B0_RAW_ALL_SESSION,SHORT,2025-01-08 01:40:00,2025-01-08 01:45:00,2647.475,2648.837742857143,2645.430885714285,-1.0,LOSS,0.3669,1.5263,0.0,BAD_SIGNAL,Night 20:00-05:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-08 01:50:00|2025-01-08 02:00:00|2025-01-08 02:05:00|2648.43,B0_RAW_ALL_SESSION,SHORT,2025-01-08 02:10:00,2025-01-08 02:50:00,2646.895,2648.736171428571,2644.133242857143,-1.0,LOSS,0.5974,1.2438,0.0,MIXED,Morning 06:00-11:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-08 01:50:00|2025-01-08 03:00:00|2025-01-08 03:05:00|2648.43,B0_RAW_ALL_SESSION,SHORT,2025-01-08 03:10:00,2025-01-08 03:15:00,2647.9449999999997,2648.7770285714287,2646.6969571428563,1.5,WIN,1.5624,0.0721,0.0,WIN,Morning 06:00-11:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-08 07:20:00|2025-01-08 07:25:00|2025-01-08 07:30:00|2652.49,B0_RAW_ALL_SESSION,LONG,2025-01-08 07:35:00,2025-01-08 07:45:00,2652.9950000000003,2652.1592785714283,2654.248582142858,-1.0,LOSS,0.542,1.5759,0.0,MIXED,Morning 06:00-11:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2025-01-08 11:00:00|2025-01-08 11:05:00|2025-01-08 11:10:00|2652.25,B0_RAW_ALL_SESSION,SHORT,2025-01-08 11:15:00,2025-01-08 11:30:00,2651.2949999999996,2652.5961785714285,2649.3432321428563,1.5,WIN,2.042,0.5072,0.0,WIN,Afternoon 12:00-15:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-08 12:45:00|2025-01-08 12:50:00|2025-01-08 12:55:00|2651.05,B0_RAW_ALL_SESSION,LONG,2025-01-08 13:00:00,2025-01-08 13:05:00,2652.318,2650.828142857143,2654.552785714286,1.5,WIN,3.1392,0.6195,0.0,WIN,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-08 15:15:00|2025-01-08 15:30:00|2025-01-08 15:35:00|2664.10,B0_RAW_ALL_SESSION,LONG,2025-01-08 15:40:00,2025-01-08 16:15:00,2666.4440000000004,2663.4379714285715,2670.953042857144,-1.0,LOSS,0.2342,1.3403,0.0,BAD_SIGNAL,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-08 16:00:00|2025-01-08 16:10:00|2025-01-08 16:15:00|2664.10,B0_RAW_ALL_SESSION,LONG,2025-01-08 16:20:00,2025-01-08 16:50:00,2664.808,2662.192114285714,2668.731828571429,1.5,WIN,1.6002,0.2141,0.0,WIN,Night 20:00-05:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-08 17:00:00|2025-01-08 17:05:00|2025-01-08 17:10:00|2667.65,B0_RAW_ALL_SESSION,LONG,2025-01-08 17:15:00,2025-01-08 17:25:00,2669.208,2667.04545,2672.451825,-1.0,LOSS,0.0416,1.6157,0.0,BAD_SIGNAL,Night 20:00-05:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-08 19:15:00|2025-01-08 19:55:00|2025-01-08 20:00:00|2657.98,B0_RAW_ALL_SESSION,LONG,2025-01-08 20:05:00,2025-01-08 20:50:00,2658.558,2656.7490357142856,2661.271446428572,1.5,WIN,1.8336,0.1437,0.0,WIN,Night 20:00-05:59,RISING
1033669|XAUUSD|breakout_retest|LONG|2025-01-10 00:35:00|2025-01-10 00:40:00|2025-01-10 00:45:00|2669.84,B0_RAW_ALL_SESSION,LONG,2025-01-10 00:50:00,2025-01-10 01:05:00,2670.425,2669.611542857143,2671.645185714286,-1.0,LOSS,0.7253,1.3031,0.0,MIXED,Night 20:00-05:59,RISING
