signal_id,candidate_id,direction,entry_time,exit_time,entry_price,stop_loss,take_profit,final_r,outcome,mfe_r,mae_r,cost_r,loss_class,session_bucket,h1_regime
1033669|XAUUSD|breakout_retest|SHORT|2026-06-01 06:20:00|2026-06-01 06:30:00|2026-06-01 06:35:00|4512.55,B0_RAW_ALL_SESSION,SHORT,2026-06-01 06:40:00,2026-06-01 06:50:00,4510.179999999999,4515.206071428572,4502.640892857141,1.5,WIN,1.8842,0.0,0.0995,WIN,Morning 06:00-11:59,DATA_UNAVAILABLE
1033669|XAUUSD|breakout_retest|SHORT|2026-06-01 07:50:00|2026-06-01 08:00:00|2026-06-01 08:05:00|4500.01,B0_RAW_ALL_SESSION,SHORT,2026-06-01 08:10:00,2026-06-01 09:20:00,4495.26,4504.667785714286,4481.148321428572,-1.0,LOSS,0.5325,1.0938,0.0531,MIXED,Afternoon 12:00-15:59,DATA_UNAVAILABLE
1033669|XAUUSD|breakout_retest|SHORT|2026-06-01 07:45:00|2026-06-01 09:20:00|2026-06-01 09:25:00|4500.01,B0_RAW_ALL_SESSION,SHORT,2026-06-01 09:30:00,2026-06-01 10:45:00,4498.45,4506.624142857143,4486.188785714285,-1.0,LOSS,1.1561,1.0802,0.0612,BAD_EXIT_GIVEBACK,Afternoon 12:00-15:59,DATA_UNAVAILABLE
1033669|XAUUSD|breakout_retest|LONG|2026-06-01 15:30:00|2026-06-01 16:15:00|2026-06-01 16:20:00|4464.79,B0_RAW_ALL_SESSION,LONG,2026-06-01 16:25:00,2026-06-01 16:55:00,4467.39,4462.272285714286,4475.0665714285715,1.5,WIN,2.5988,0.1778,0.0977,WIN,Night 20:00-05:59,DATA_UNAVAILABLE
1033669|XAUUSD|breakout_retest|SHORT|2026-06-01 19:30:00|2026-06-01 19:35:00|2026-06-01 19:40:00|4484.62,B0_RAW_ALL_SESSION,SHORT,2026-06-01 19:45:00,2026-06-01 21:00:00,4482.95,4485.6205,4478.94425,-1.0,LOSS,1.4978,1.0373,0.1872,NEAR_TP_GIVEBACK,Night 20:00-05:59,DATA_UNAVAILABLE
1033669|XAUUSD|breakout_retest|SHORT|2026-06-01 19:50:00|2026-06-01 20:55:00|2026-06-01 22:00:00|4484.62,B0_RAW_ALL_SESSION,SHORT,2026-06-01 22:05:00,2026-06-01 23:00:00,4482.65,4485.942642857143,4477.711035714285,-1.0,LOSS,0.9536,1.148,0.1519,BAD_EXIT_GIVEBACK,Night 20:00-05:59,DATA_UNAVAILABLE
1033669|XAUUSD|breakout_retest|LONG|2026-06-02 03:00:00|2026-06-02 03:05:00|2026-06-02 03:10:00|4485.59,B0_RAW_ALL_SESSION,LONG,2026-06-02 03:15:00,2026-06-02 03:30:00,4489.42,4485.094642857142,4495.908035714287,1.5,WIN,1.8033,0.9155,0.1156,WIN,Morning 06:00-11:59,FALLING
1033669|XAUUSD|breakout_retest|LONG|2026-06-02 06:30:00|2026-06-02 07:50:00|2026-06-02 07:55:00|4528.16,B0_RAW_ALL_SESSION,LONG,2026-06-02 08:00:00,2026-06-02 08:10:00,4531.9400000000005,4527.3665,4538.800250000001,1.5,WIN,1.559,0.0,0.1093,WIN,Afternoon 12:00-15:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2026-06-02 08:55:00|2026-06-02 09:25:00|2026-06-02 09:30:00|4527.71,B0_RAW_ALL_SESSION,SHORT,2026-06-02 09:35:00,2026-06-02 09:55:00,4525.19,4530.266642857143,4517.575035714284,-1.0,LOSS,0.78,1.1504,0.0985,BAD_EXIT_GIVEBACK,Afternoon 12:00-15:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2026-06-02 13:00:00|2026-06-02 13:05:00|2026-06-02 13:10:00|4524.47,B0_RAW_ALL_SESSION,SHORT,2026-06-02 13:15:00,2026-06-02 14:20:00,4513.219999999999,4525.168357142857,4495.297464285713,1.5,WIN,1.7383,0.3155,0.0418,WIN,Evening 16:00-19:59,RISING
1033669|XAUUSD|breakout_retest|SHORT|2026-06-02 22:55:00|2026-06-02 23:00:00|2026-06-02 23:05:00|4486.52,B0_RAW_ALL_SESSION,SHORT,2026-06-02 23:10:00,2026-06-02 23:20:00,4482.24,4488.932071428571,4472.201892857142,1.5,WIN,1.9844,0.121,0.0747,WIN,Night 20:00-05:59,FALLING
1033669|XAUUSD|breakout_retest|SHORT|2026-06-02 23:20:00|2026-06-03 00:55:00|2026-06-03 01:00:00|4486.52,B0_RAW_ALL_SESSION,SHORT,2026-06-03 01:05:00,2026-06-03 01:10:00,4485.65,4489.418,4479.998,1.5,WIN,4.9708,0.0,0.1327,WIN,Night 20:00-05:59,FALLING
1033669|XAUUSD|breakout_retest|SHORT|2026-06-03 06:30:00|2026-06-03 06:40:00|2026-06-03 06:45:00|4462.00,B0_RAW_ALL_SESSION,SHORT,2026-06-03 06:50:00,2026-06-03 07:05:00,4458.0199999999995,4464.148428571429,4448.827357142856,-1.0,LOSS,0.0914,1.3968,0.0816,BAD_SIGNAL,Morning 06:00-11:59,FALLING
1033669|XAUUSD|breakout_retest|SHORT|2026-06-03 07:45:00|2026-06-03 07:50:00|2026-06-03 07:55:00|4462.00,B0_RAW_ALL_SESSION,SHORT,2026-06-03 08:00:00,2026-06-03 08:55:00,4458.45,4464.327499999999,4449.633750000001,1.5,WIN,2.6967,0.0817,0.0851,WIN,Afternoon 12:00-15:59,FALLING
1033669|XAUUSD|breakout_retest|SHORT|2026-06-03 08:50:00|2026-06-03 09:15:00|2026-06-03 09:20:00|4450.46,B0_RAW_ALL_SESSION,SHORT,2026-06-03 09:25:00,2026-06-03 10:10:00,4446.71,4452.1486428571425,4438.552035714287,-1.0,LOSS,1.4654,3.7215,0.0919,NEAR_TP_GIVEBACK,Afternoon 12:00-15:59,FALLING
1033669|XAUUSD|breakout_retest|SHORT|2026-06-03 10:25:00|2026-06-03 10:30:00|2026-06-03 10:35:00|4462.00,B0_RAW_ALL_SESSION,SHORT,2026-06-03 10:40:00,2026-06-03 11:05:00,4458.49,4463.450642857142,4451.049035714286,-1.0,LOSS,1.1067,1.2055,0.1008,BAD_EXIT_GIVEBACK,Afternoon 12:00-15:59,FALLING
1033669|XAUUSD|breakout_retest|SHORT|2026-06-03 10:55:00|2026-06-03 11:10:00|2026-06-03 11:15:00|4462.00,B0_RAW_ALL_SESSION,SHORT,2026-06-03 11:20:00,2026-06-03 11:25:00,4460.83,4464.744857142858,4454.957714285713,-1.0,LOSS,0.0,1.2287,0.1277,BAD_SIGNAL,Afternoon 12:00-15:59,FALLING
