signal_id,candidate_id,decision_time,opened,reason,session_bucket,cost_R,final_r_if_raw,source_logical_source_name,source_file_sha256,source_row_number,schema_mapping_status
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 09:20:00Z|2026-05-29 09:25:00Z|2026-05-29 09:30:00Z|4526.04,B0_RAW_ALL_SESSION,2026-05-29 09:39:56Z,false,BREAKOUT_RETEST_LONG_DRY_RUN,Morning 06:00-11:59,,,a1_attachment_v01_breakout_xauusd_signal,ead62887eb7d9df870da2e48c9cb44fb7e8c0c634e458fd1815186ad8c374262,3,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 09:20:00Z|2026-05-29 09:25:00Z|2026-05-29 09:30:00Z|4526.04,B0_RAW_ALL_SESSION,2026-05-29 09:39:56Z,false,SWING_BREAKOUT_RETEST_LONG_DRY_RUN,Morning 06:00-11:59,,,a1_attachment_v01_swing_breakout_xauusd_signal,307d3b4f076334ac4a237aec5041742e0e493a53784319d9841b0e86f88942b0,3,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 09:55:00Z|2026-05-29 10:00:00Z|2026-05-29 10:05:00Z|4526.04,B0_RAW_ALL_SESSION,2026-05-29 10:14:56Z,false,BREAKOUT_RETEST_LONG_DRY_RUN,Morning 06:00-11:59,,,a1_attachment_v01_breakout_xauusd_signal,ead62887eb7d9df870da2e48c9cb44fb7e8c0c634e458fd1815186ad8c374262,10,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 09:55:00Z|2026-05-29 10:00:00Z|2026-05-29 10:05:00Z|4526.04,B0_RAW_ALL_SESSION,2026-05-29 10:14:56Z,false,SWING_BREAKOUT_RETEST_LONG_DRY_RUN,Morning 06:00-11:59,,,a1_attachment_v01_swing_breakout_xauusd_signal,307d3b4f076334ac4a237aec5041742e0e493a53784319d9841b0e86f88942b0,10,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 10:05:00Z|2026-05-29 10:10:00Z|2026-05-29 10:15:00Z|4526.04,B0_RAW_ALL_SESSION,2026-05-29 10:24:56Z,false,BREAKOUT_RETEST_LONG_DRY_RUN,Morning 06:00-11:59,,,a1_attachment_v01_breakout_xauusd_signal,ead62887eb7d9df870da2e48c9cb44fb7e8c0c634e458fd1815186ad8c374262,12,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 10:05:00Z|2026-05-29 10:10:00Z|2026-05-29 10:15:00Z|4526.04,B0_RAW_ALL_SESSION,2026-05-29 10:24:56Z,false,SWING_BREAKOUT_RETEST_LONG_DRY_RUN,Morning 06:00-11:59,,,a1_attachment_v01_swing_breakout_xauusd_signal,307d3b4f076334ac4a237aec5041742e0e493a53784319d9841b0e86f88942b0,12,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 10:10:00Z|2026-05-29 10:15:00Z|2026-05-29 10:20:00Z|4526.04,B0_RAW_ALL_SESSION,2026-05-29 10:29:56Z,false,BREAKOUT_RETEST_LONG_DRY_RUN,Morning 06:00-11:59,,,a1_attachment_v01_breakout_xauusd_signal,ead62887eb7d9df870da2e48c9cb44fb7e8c0c634e458fd1815186ad8c374262,13,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 10:10:00Z|2026-05-29 10:15:00Z|2026-05-29 10:20:00Z|4526.04,B0_RAW_ALL_SESSION,2026-05-29 10:29:56Z,false,SWING_BREAKOUT_RETEST_LONG_DRY_RUN,Morning 06:00-11:59,,,a1_attachment_v01_swing_breakout_xauusd_signal,307d3b4f076334ac4a237aec5041742e0e493a53784319d9841b0e86f88942b0,13,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 12:25:00Z|2026-05-29 12:30:00Z|2026-05-29 12:35:00Z|4516.51,B0_RAW_ALL_SESSION,2026-05-29 12:40:00Z,false,BREAKOUT_RETEST_LONG_DRY_RUN,Afternoon 12:00-15:59,,,a1_attachment_v01_breakout_xauusd_signal,ead62887eb7d9df870da2e48c9cb44fb7e8c0c634e458fd1815186ad8c374262,39,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
1025742|XAUUSD|breakout_retest|LONG|2026-05-29 12:45:00Z|2026-05-29 12:50:00Z|2026-05-29 12:55:00Z|4516.51,B0_RAW_ALL_SESSION,2026-05-29 13:00:00Z,false,BREAKOUT_RETEST_LONG_DRY_RUN,Afternoon 12:00-15:59,,,a1_attachment_v01_breakout_xauusd_signal,ead62887eb7d9df870da2e48c9cb44fb7e8c0c634e458fd1815186ad8c374262,43,DIAGNOSTIC_COMPONENT_TIMES_FROM_COMPLETED_DECISION_BAR
