bar_start_utc,bar_end_utc,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe,source_terminal
2026-06-01 00:00:00,2026-06-01 01:00:00,1.16483,1.16533,1.16446,1.16474,3692,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 01:00:00,2026-06-01 02:00:00,1.16475,1.1648,1.16416,1.16445,2337,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 02:00:00,2026-06-01 03:00:00,1.16446,1.16467,1.16434,1.16462,1333,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 03:00:00,2026-06-01 04:00:00,1.16464,1.16489,1.16413,1.16436,1726,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 04:00:00,2026-06-01 05:00:00,1.16435,1.16483,1.16431,1.16478,1179,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 05:00:00,2026-06-01 06:00:00,1.16479,1.16532,1.16476,1.16511,1696,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 06:00:00,2026-06-01 07:00:00,1.16512,1.16646,1.16499,1.16644,4383,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 07:00:00,2026-06-01 08:00:00,1.16643,1.16646,1.16515,1.16565,3819,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 08:00:00,2026-06-01 09:00:00,1.16567,1.16599,1.16531,1.16576,2937,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 09:00:00,2026-06-01 10:00:00,1.16577,1.16603,1.1648,1.16505,3233,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 10:00:00,2026-06-01 11:00:00,1.16506,1.16508,1.16458,1.16473,2351,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 11:00:00,2026-06-01 12:00:00,1.16472,1.1648,1.16414,1.16459,3128,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 12:00:00,2026-06-01 13:00:00,1.1646,1.16503,1.16449,1.16472,3897,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 13:00:00,2026-06-01 14:00:00,1.16471,1.1648,1.16087,1.16089,9527,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 14:00:00,2026-06-01 15:00:00,1.16087,1.16181,1.16066,1.16173,7630,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 15:00:00,2026-06-01 16:00:00,1.16174,1.16284,1.16149,1.16228,6127,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 16:00:00,2026-06-01 17:00:00,1.1623,1.16302,1.16162,1.16295,4336,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 17:00:00,2026-06-01 18:00:00,1.16296,1.16376,1.16249,1.16346,4663,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 18:00:00,2026-06-01 19:00:00,1.16345,1.16352,1.16305,1.16306,2151,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 19:00:00,2026-06-01 20:00:00,1.16305,1.16335,1.16264,1.16314,2756,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 20:00:00,2026-06-01 21:00:00,1.16313,1.16337,1.16303,1.1632,1206,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 21:00:00,2026-06-01 22:00:00,1.16262,1.16342,1.16257,1.16317,437,24,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 22:00:00,2026-06-01 23:00:00,1.1631,1.1634,1.16288,1.16337,583,7,0,EURUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
