bar_start_utc,bar_end_utc,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe,source_terminal
2026-06-01 00:00:00,2026-06-01 04:00:00,1.34505,1.34589,1.3445,1.34493,12765,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 04:00:00,2026-06-01 08:00:00,1.34494,1.34755,1.34489,1.34601,12949,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 08:00:00,2026-06-01 12:00:00,1.34603,1.34744,1.3455,1.3465,16729,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 12:00:00,2026-06-01 16:00:00,1.34651,1.34682,1.34063,1.34487,33858,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 16:00:00,2026-06-01 20:00:00,1.34486,1.34695,1.34401,1.34585,16368,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 20:00:00,2026-06-02 00:00:00,1.34584,1.34613,1.34482,1.34592,7169,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 00:00:00,2026-06-02 04:00:00,1.34593,1.34613,1.34503,1.34577,10878,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 04:00:00,2026-06-02 08:00:00,1.34576,1.34811,1.34567,1.34714,14752,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 08:00:00,2026-06-02 12:00:00,1.34713,1.34765,1.34602,1.34734,14853,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 12:00:00,2026-06-02 16:00:00,1.34736,1.34801,1.34621,1.34788,22288,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 16:00:00,2026-06-02 20:00:00,1.3479,1.34794,1.34527,1.34681,14294,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 20:00:00,2026-06-03 00:00:00,1.3468,1.34712,1.34498,1.34522,4941,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 00:00:00,2026-06-03 04:00:00,1.34521,1.34713,1.34512,1.34625,9146,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 04:00:00,2026-06-03 08:00:00,1.34626,1.34634,1.34362,1.34557,13895,13,0,GBPUSD,H4,C:\Program Files\MetaTrader 5\terminal64.exe
