bar_start_utc,bar_end_utc,open,high,low,close,tick_volume,spread,real_volume,symbol,timeframe,source_terminal
2026-06-01 00:00:00,2026-06-01 01:00:00,4539.45,4545.93,4535.02,4540.59,14796,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 01:00:00,2026-06-01 02:00:00,4540.48,4541.22,4523.56,4525.32,19531,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 02:00:00,2026-06-01 03:00:00,4525.32,4534.45,4520.96,4521.28,14692,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 03:00:00,2026-06-01 04:00:00,4521.24,4525.33,4509.71,4516.11,13494,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 04:00:00,2026-06-01 05:00:00,4515.98,4519.47,4508.5,4514.34,8544,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 05:00:00,2026-06-01 06:00:00,4514.23,4525.01,4512.55,4518.09,13525,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 06:00:00,2026-06-01 07:00:00,4518.2,4518.62,4500.01,4501.53,18545,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 07:00:00,2026-06-01 08:00:00,4501.51,4509.86,4492.25,4502.7,16781,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 08:00:00,2026-06-01 09:00:00,4502.71,4504.16,4490.25,4497.95,15303,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 09:00:00,2026-06-01 10:00:00,4497.95,4506.14,4489,4495.82,15168,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 10:00:00,2026-06-01 11:00:00,4495.84,4510.78,4495.84,4503.78,12360,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 11:00:00,2026-06-01 12:00:00,4503.78,4512.76,4499.54,4505.52,12985,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 12:00:00,2026-06-01 13:00:00,4505.66,4510.14,4497.26,4502.09,18736,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 13:00:00,2026-06-01 14:00:00,4502.14,4503.72,4448.44,4450.17,48077,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 14:00:00,2026-06-01 15:00:00,4449.78,4464.79,4447.46,4458.57,31558,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 15:00:00,2026-06-01 16:00:00,4458.65,4479.64,4455.23,4473.99,23445,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 16:00:00,2026-06-01 17:00:00,4473.95,4481.95,4462.8,4479.91,16647,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 17:00:00,2026-06-01 18:00:00,4479.99,4495.3,4471.18,4487.39,19568,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 18:00:00,2026-06-01 19:00:00,4487.44,4490.05,4484.62,4486.55,9123,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 19:00:00,2026-06-01 20:00:00,4486.55,4488.09,4478.95,4480.93,10469,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 20:00:00,2026-06-01 21:00:00,4481.06,4485.72,4480,4484.48,5653,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 22:00:00,2026-06-01 23:00:00,4486.54,4487.62,4479.51,4485.45,5342,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-01 23:00:00,2026-06-02 00:00:00,4485.49,4488.16,4479.13,4484.3,6908,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 00:00:00,2026-06-02 01:00:00,4484.29,4496.8,4476.5,4481.24,16395,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 01:00:00,2026-06-02 02:00:00,4481.23,4492.26,4462.7,4473.95,26520,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 02:00:00,2026-06-02 03:00:00,4474.06,4486.39,4472.08,4485.8,16522,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 03:00:00,2026-06-02 04:00:00,4485.82,4499.3,4485.46,4499.04,13749,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 04:00:00,2026-06-02 05:00:00,4498.98,4517.95,4497.48,4517.26,10934,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 05:00:00,2026-06-02 06:00:00,4517.2,4528.16,4514.96,4516.87,15010,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 06:00:00,2026-06-02 07:00:00,4516.96,4538.29,4516.76,4535.6,16235,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 07:00:00,2026-06-02 08:00:00,4535.43,4541.13,4527.71,4534.93,13635,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 08:00:00,2026-06-02 09:00:00,4534.79,4539.07,4525.67,4526.55,13464,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 09:00:00,2026-06-02 10:00:00,4526.57,4535.57,4521.23,4529.67,13069,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 10:00:00,2026-06-02 11:00:00,4529.68,4533.82,4524.47,4533.01,9415,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 11:00:00,2026-06-02 12:00:00,4533.07,4534.49,4525.32,4527.21,10240,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 12:00:00,2026-06-02 13:00:00,4527.3,4533.95,4513.21,4514.53,17985,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 13:00:00,2026-06-02 14:00:00,4514.57,4524.58,4502.71,4502.72,26184,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 14:00:00,2026-06-02 15:00:00,4502.52,4506.79,4489.89,4504.01,24526,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 15:00:00,2026-06-02 16:00:00,4503.99,4508.36,4500.04,4501.95,17338,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 16:00:00,2026-06-02 17:00:00,4501.93,4502.76,4486.23,4491.71,15698,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 17:00:00,2026-06-02 18:00:00,4491.72,4493.02,4481.82,4484.49,14343,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 18:00:00,2026-06-02 19:00:00,4484.57,4490.75,4478.64,4487.22,12331,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 19:00:00,2026-06-02 20:00:00,4487.29,4490.18,4483.23,4487.77,10214,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 20:00:00,2026-06-02 21:00:00,4487.79,4490.94,4486,4487.82,4834,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 22:00:00,2026-06-02 23:00:00,4490.38,4492.88,4483.96,4484.54,8318,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-02 23:00:00,2026-06-03 00:00:00,4484.74,4488.57,4462,4474.04,17672,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 00:00:00,2026-06-03 01:00:00,4474.02,4496.56,4473.52,4486.01,13096,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 01:00:00,2026-06-03 02:00:00,4485.97,4487.51,4463.24,4475.45,22457,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 02:00:00,2026-06-03 03:00:00,4475.43,4485.01,4472.52,4481.71,13809,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 03:00:00,2026-06-03 04:00:00,4481.73,4487.39,4481.73,4484.24,9675,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 04:00:00,2026-06-03 05:00:00,4484.28,4488.05,4468.18,4469.22,8180,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 05:00:00,2026-06-03 06:00:00,4469.2,4474.11,4456.47,4456.66,14539,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 06:00:00,2026-06-03 07:00:00,4456.71,4470.72,4454.96,4462.82,18869,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 07:00:00,2026-06-03 08:00:00,4462.86,4472.03,4452.69,4453.03,16735,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 08:00:00,2026-06-03 09:00:00,4453.14,4458.93,4440,4443.71,16842,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
2026-06-03 09:00:00,2026-06-03 10:00:00,4443.74,4458.82,4438.74,4442.91,16205,50,0,XAUUSD,H1,C:\Program Files\MetaTrader 5\terminal64.exe
