timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2022.07.01 04:00:00	2022.07.01 04:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1801.46	1801.48	2	1801.46	0.00	0.00	3161.00	0.0006	0		0	0	0.00	direction_mode_block	
2022.07.01 08:00:00	2022.07.01 08:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1794.81	1794.83	2	1794.75	0.00	0.00	3832.00	0.0005	0		0	0	0.00	direction_mode_block	
2022.07.01 12:00:00	2022.07.01 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1790.51	1790.54	3	1790.51	0.00	0.00	4256.00	0.0007	0		0	0	0.00	direction_mode_block	
2022.07.05 16:00:00	2022.07.05 16:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1768.93	1768.96	3	1768.93	0.00	0.00	4533.00	0.0007	0		0	0	0.00	direction_mode_block	
2022.07.06 12:00:00	2022.07.06 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1763.21	1763.26	5	1763.21	0.00	0.00	5105.00	0.0010	0		0	0	0.00	direction_mode_block	
2022.07.06 16:00:00	2022.07.06 16:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1733.71	1733.73	2	1733.69	0.00	0.00	8057.00	0.0002	0		0	0	0.00	direction_mode_block	
2022.07.11 20:00:00	2022.07.11 20:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1732.20	1732.24	4	1732.26	0.00	0.00	2019.00	0.0020	0		0	0	0.00	direction_mode_block	
2022.07.12 20:00:00	2022.07.12 20:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1725.76	1725.86	10	1725.79	0.00	0.00	2666.00	0.0038	0		0	0	0.00	direction_mode_block	
2022.07.20 20:00:00	2022.07.20 20:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1695.69	1695.83	14	1695.72	0.00	0.00	2823.00	0.0050	0		0	0	0.00	direction_mode_block	
2022.07.22 12:00:00	2022.07.22 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1728.55	1728.60	5	1728.55	0.00	0.00	4771.00	0.0010	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2022.08.01 12:00:00	2022.08.01 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1772.70	1772.75	5	1772.70	0.00	0.00	3864.00	0.0013	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2022.08.02 12:00:00	2022.08.02 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1778.64	1778.66	2	1778.64	0.00	0.00	2666.00	0.0008	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_compression	
2022.08.04 20:00:00	2022.08.04 20:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1793.55	1793.68	13	1793.65	0.00	0.00	3931.00	0.0033	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2022.08.09 16:00:00	2022.08.09 16:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1796.20	1796.30	10	1796.19	0.00	0.00	3121.00	0.0032	0		0	0	0.00	regime_router_block_long_r1_uptrend_only_state_chop	
2022.08.15 12:00:00	2022.08.15 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1775.12	1775.22	10	1775.10	0.00	0.00	2717.00	0.0037	0		0	0	0.00	direction_mode_block	
2022.08.17 12:00:00	2022.08.17 12:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1769.27	1769.37	10	1769.30	0.00	0.00	3297.00	0.0030	0		0	0	0.00	direction_mode_block	
2022.08.17 16:00:00	2022.08.17 16:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1762.15	1762.25	10	1762.14	0.00	0.00	4013.00	0.0025	0		0	0	0.00	direction_mode_block	
2022.08.18 16:00:00	2022.08.18 16:00:00	BT_A1_XAU_R1_LONG_EXP_R3_RECLASS_STRICT_R1	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1759.77	1759.87	10	1759.77	0.00	0.00	4199.00	0.0024	0		0	0	0.00	direction_mode_block	
