entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.01 00:10:00,2022-07-01,0,night,SHORT,2,0.01,1805.99,A1_M5_MOM_LOWER_HIGH,2022.07.01 05:36:37,2022-07-01,5,night,2022-07-01,0,night,3,1798.94,7.05,1007.05,tp 1798.99
2022.07.01 05:40:00,2022-07-01,5,night,SHORT,4,0.01,1795.58,A1_M5_MOM_LOWER_HIGH,2022.07.01 14:17:24,2022-07-01,14,afternoon,2022-07-01,5,night,5,1803.44,-7.86,999.19,sl 1803.44
2022.07.04 11:00:00,2022-07-04,11,morning,SHORT,6,0.01,1804.08,A1_M5_MOM_LOWER_HIGH,2022.07.04 11:19:34,2022-07-04,11,morning,2022-07-04,11,morning,7,1807.63,-3.55,995.64,sl 1807.58
2022.07.04 12:00:00,2022-07-04,12,afternoon,SHORT,8,0.01,1805.34,A1_M5_MOM_LOWER_HIGH,2022.07.04 12:25:40,2022-07-04,12,afternoon,2022-07-04,12,afternoon,9,1808.87,-3.53,992.11,sl 1808.84
2022.07.05 09:50:00,2022-07-05,9,morning,SHORT,10,0.01,1802.84,A1_M5_MOM_LOWER_HIGH,2022.07.05 13:09:40,2022-07-05,13,afternoon,2022-07-05,9,morning,11,1795.83,7.01,999.12,tp 1795.84
2022.07.05 13:40:00,2022-07-05,13,afternoon,SHORT,12,0.01,1791.06,A1_M5_MOM_LOWER_HIGH,2022.07.05 14:08:02,2022-07-05,14,afternoon,2022-07-05,13,afternoon,13,1767.41,23.65,1022.77,tp 1767.41
2022.07.05 14:45:00,2022-07-05,14,afternoon,SHORT,14,0.01,1773.34,A1_M5_MOM_LOWER_HIGH,2022.07.06 15:37:37,2022-07-06,15,afternoon,2022-07-05,14,afternoon,15,1736.51,36.83,1059.6,tp 1736.51
2022.07.06 15:40:00,2022-07-06,15,afternoon,SHORT,16,0.01,1736.93,A1_M5_MOM_LOWER_HIGH,2022.07.14 13:24:30,2022-07-14,13,afternoon,2022-07-06,15,afternoon,17,1704.60,32.33,1091.93,tp 1704.60
2022.07.14 13:35:00,2022-07-14,13,afternoon,SHORT,18,0.01,1703.34,A1_M5_MOM_LOWER_HIGH,2022.07.15 02:02:42,2022-07-15,2,night,2022-07-14,13,afternoon,19,1714.87,-11.53,1080.4,sl 1714.87
2022.07.15 03:30:00,2022-07-15,3,night,SHORT,20,0.01,1708.78,A1_M5_MOM_LOWER_HIGH,2022.07.18 03:14:27,2022-07-18,3,night,2022-07-15,3,night,21,1715.80,-7.02,1073.38,sl 1715.80
