timestamp_broker	timestamp_local	run_id	account	symbol	magic	deal_ticket	position_id	entry_code	type_code	reason_code	direction	volume	price	profit	commission	swap	order_ticket	comment
2022.07.01 00:10:00	2022.07.01 00:10:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	2	2	0	1	3	SHORT	0.01	1805.99	0.00	0.00	0.00	2	A1_M5_MOM_LOWER_HIGH
2022.07.01 05:36:37	2022.07.01 05:36:37	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	3	2	1	0	5	SHORT	0.01	1798.94	7.05	0.00	0.00	3	tp 1798.99
2022.07.01 05:40:00	2022.07.01 05:40:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	4	4	0	1	3	SHORT	0.01	1795.58	0.00	0.00	0.00	4	A1_M5_MOM_LOWER_HIGH
2022.07.01 14:17:24	2022.07.01 14:17:24	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	5	4	1	0	4	SHORT	0.01	1803.44	-7.86	0.00	0.00	5	sl 1803.43
2022.07.04 11:00:00	2022.07.04 11:00:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	6	6	0	1	3	SHORT	0.01	1804.08	0.00	0.00	0.00	6	A1_M5_MOM_LOWER_HIGH
2022.07.04 11:19:34	2022.07.04 11:19:34	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	7	6	1	0	4	SHORT	0.01	1807.63	-3.55	0.00	0.00	7	sl 1807.58
2022.07.04 12:00:00	2022.07.04 12:00:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	8	8	0	1	3	SHORT	0.01	1805.34	0.00	0.00	0.00	8	A1_M5_MOM_LOWER_HIGH
2022.07.04 12:25:40	2022.07.04 12:25:40	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	9	8	1	0	4	SHORT	0.01	1808.87	-3.53	0.00	0.00	9	sl 1808.84
2022.07.05 09:50:00	2022.07.05 09:50:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	10	10	0	1	3	SHORT	0.01	1802.84	0.00	0.00	0.00	10	A1_M5_MOM_LOWER_HIGH
2022.07.05 13:09:40	2022.07.05 13:09:40	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	11	10	1	0	5	SHORT	0.01	1795.83	7.01	0.00	0.00	11	tp 1795.84
2022.07.05 13:30:00	2022.07.05 13:30:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	12	12	0	1	3	SHORT	0.01	1793.72	0.00	0.00	0.00	12	A1_M5_MOM_LOWER_HIGH
2022.07.05 14:05:17	2022.07.05 14:05:17	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	13	12	1	0	5	SHORT	0.01	1775.33	18.39	0.00	0.00	13	tp 1775.34
2022.07.05 14:30:00	2022.07.05 14:30:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	14	14	0	1	3	SHORT	0.01	1772.26	0.00	0.00	0.00	14	A1_M5_MOM_LOWER_HIGH
2022.07.12 01:01:11	2022.07.12 01:01:11	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	15	14	1	0	5	SHORT	0.01	1730.94	41.32	0.00	0.00	15	tp 1730.95
2022.07.12 01:15:00	2022.07.12 01:15:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	16	16	0	1	3	SHORT	0.01	1724.69	0.00	0.00	0.00	16	A1_M5_MOM_LOWER_HIGH
2022.07.12 01:30:21	2022.07.12 01:30:21	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	17	16	1	0	4	SHORT	0.01	1735.36	-10.67	0.00	0.00	17	sl 1735.30
2022.07.12 03:40:00	2022.07.12 03:40:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	18	18	0	1	3	SHORT	0.01	1733.37	0.00	0.00	0.00	18	A1_M5_MOM_LOWER_HIGH
2022.07.12 05:16:19	2022.07.12 05:16:19	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	19	18	1	0	5	SHORT	0.01	1726.34	7.03	0.00	0.00	19	tp 1726.37
2022.07.12 05:50:00	2022.07.12 05:50:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	20	20	0	1	3	SHORT	0.01	1727.52	0.00	0.00	0.00	20	A1_M5_MOM_LOWER_HIGH
2022.07.12 06:26:25	2022.07.12 06:26:25	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	21	20	1	0	4	SHORT	0.01	1731.04	-3.52	0.00	0.00	21	sl 1731.02
2022.07.12 13:45:00	2022.07.12 13:45:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	22	22	0	1	3	SHORT	0.01	1728.62	0.00	0.00	0.00	22	A1_M5_MOM_LOWER_HIGH
2022.07.13 12:33:17	2022.07.13 12:33:17	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	23	22	1	0	5	SHORT	0.01	1716.93	11.69	0.00	0.00	23	tp 1716.93
2022.07.14 01:10:00	2022.07.14 01:10:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	24	24	0	1	3	SHORT	0.01	1728.09	0.00	0.00	0.00	24	A1_M5_MOM_LOWER_HIGH
2022.07.14 03:05:15	2022.07.14 03:05:15	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	25	24	1	0	4	SHORT	0.01	1731.60	-3.51	0.00	0.00	25	sl 1731.59
2022.07.14 05:25:00	2022.07.14 05:25:00	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	26	26	0	1	3	SHORT	0.01	1727.25	0.00	0.00	0.00	26	A1_M5_MOM_LOWER_HIGH
2022.07.14 07:00:40	2022.07.14 07:00:40	BT_A1_XAU_SHORT_LOWER_HIGH_LH3_TIGHTER_REJECT	1025742	XAUUSD	932200	27	26	1	0	5	SHORT	0.01	1720.19	7.06	0.00	0.00	27	tp 1720.20
