entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.01 00:10:00,2022-07-01,0,night,SHORT,2,0.01,1805.99,A1_M5_MOM_WR50_S1_M5,2022.07.01 05:36:37,2022-07-01,5,night,2022-07-01,0,night,3,1798.94,7.05,1007.05,tp 1798.99
2022.07.04 18:25:00,2022-07-04,18,evening,SHORT,4,0.01,1807.50,A1_M5_MOM_WR50_S1_M5,2022.07.05 01:40:49,2022-07-05,1,night,2022-07-04,18,evening,5,1811.00,-3.5,1003.55,sl 1811.00
2022.07.07 03:50:00,2022-07-07,3,night,SHORT,6,0.01,1745.82,A1_M5_MOM_WR50_S1_M5,2022.07.07 12:50:31,2022-07-07,12,afternoon,2022-07-07,3,night,7,1738.82,7.0,1010.55,tp 1738.82
2022.07.08 00:05:00,2022-07-08,0,night,SHORT,8,0.01,1741.42,A1_M5_MOM_WR50_S1_M5,2022.07.08 00:59:36,2022-07-08,0,night,2022-07-08,0,night,9,1744.94,-3.52,1007.03,sl 1744.92
2022.07.11 22:45:00,2022-07-11,22,night,SHORT,10,0.01,1733.88,A1_M5_MOM_WR50_S1_M5,2022.07.12 01:01:39,2022-07-12,1,night,2022-07-11,22,night,11,1726.87,7.01,1014.04,tp 1726.88
2022.07.13 06:55:00,2022-07-13,6,morning,SHORT,12,0.01,1725.94,A1_M5_MOM_WR50_S1_M5,2022.07.13 09:12:18,2022-07-13,9,morning,2022-07-13,6,morning,13,1729.46,-3.52,1010.52,sl 1729.44
2022.07.14 18:45:00,2022-07-14,18,evening,SHORT,14,0.01,1710.76,A1_M5_MOM_WR50_S1_M5,2022.07.15 02:01:01,2022-07-15,2,night,2022-07-14,18,evening,15,1714.26,-3.5,1007.02,sl 1714.26
2022.07.19 02:25:00,2022-07-19,2,night,SHORT,16,0.01,1707.78,A1_M5_MOM_WR50_S1_M5,2022.07.19 07:58:31,2022-07-19,7,morning,2022-07-19,2,night,17,1711.28,-3.5,1003.52,sl 1711.28
2022.08.22 03:15:00,2022-08-22,3,night,SHORT,18,0.01,1747.82,A1_M5_MOM_WR50_S1_M5,2022.08.22 07:01:35,2022-08-22,7,morning,2022-08-22,3,night,19,1740.81,7.01,1010.53,tp 1740.82
2022.08.29 09:20:00,2022-08-29,9,morning,SHORT,20,0.01,1723.21,A1_M5_MOM_WR50_S1_M5,2022.08.29 10:27:37,2022-08-29,10,morning,2022-08-29,9,morning,21,1726.71,-3.5,1007.03,sl 1726.71
