timestamp_broker	timestamp_local	run_id	account	symbol	magic	action	direction	lots	bid	ask	spread_points	entry_reference	sl	tp	stop_points	estimated_cost_r	retcode	retcode_description	order_ticket	deal_ticket	result_price	reason
2022.07.01 01:15:00	2022.07.01 01:15:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	ORDER_SEND_OK	SHORT	0.01	1805.42	1805.48	6	1805.42	1808.92	1798.42	350.00	0.0171	10009	done at 1805.42	2	2	1805.42	pass	
2022.07.01 01:45:00	2022.07.01 01:45:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1805.25	1805.30	5	1805.25	0.00	0.00	350.00	0.0143	0		0	0	0.00	own_position_exists	
2022.07.01 02:00:00	2022.07.01 02:00:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1804.56	1804.61	5	1804.56	0.00	0.00	350.00	0.0143	0		0	0	0.00	own_position_exists	
2022.07.01 02:45:00	2022.07.01 02:45:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1805.00	1805.08	8	1805.01	0.00	0.00	350.00	0.0229	0		0	0	0.00	own_position_exists	
2022.07.01 02:50:00	2022.07.01 02:50:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1804.69	1804.73	4	1804.67	0.00	0.00	350.00	0.0114	0		0	0	0.00	own_position_exists	
2022.07.01 03:00:00	2022.07.01 03:00:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1804.37	1804.43	6	1804.37	0.00	0.00	350.00	0.0171	0		0	0	0.00	own_position_exists	
2022.07.01 04:45:00	2022.07.01 04:45:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1801.45	1801.51	6	1801.45	0.00	0.00	350.00	0.0171	0		0	0	0.00	own_position_exists	
2022.07.01 06:25:00	2022.07.01 06:25:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	ORDER_SEND_OK	SHORT	0.01	1797.77	1797.82	5	1797.77	1801.49	1790.32	372.27	0.0134	10009	done at 1797.77	4	4	1797.77	pass	
2022.07.01 06:35:00	2022.07.01 06:35:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1797.10	1797.11	1	1797.10	0.00	0.00	382.01	0.0026	0		0	0	0.00	own_position_exists	
2022.07.01 06:40:00	2022.07.01 06:40:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1796.54	1796.56	2	1796.54	0.00	0.00	375.41	0.0053	0		0	0	0.00	own_position_exists	
2022.07.01 07:10:00	2022.07.01 07:10:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1796.11	1796.14	3	1796.11	0.00	0.00	350.00	0.0086	0		0	0	0.00	own_position_exists	
2022.07.01 07:50:00	2022.07.01 07:50:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1794.56	1794.59	3	1794.58	0.00	0.00	408.89	0.0073	0		0	0	0.00	own_position_exists	
2022.07.01 08:05:00	2022.07.01 08:05:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1794.01	1794.03	2	1794.01	0.00	0.00	421.46	0.0047	0		0	0	0.00	own_position_exists	
2022.07.01 08:55:00	2022.07.01 08:55:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1793.18	1793.24	6	1793.21	0.00	0.00	350.00	0.0171	0		0	0	0.00	own_position_exists	
2022.07.01 10:05:00	2022.07.01 10:05:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	SHORT	0.00	1793.97	1793.98	1	1794.01	0.00	0.00	350.00	0.0029	0		0	0	0.00	own_position_exists	
2022.07.01 14:10:00	2022.07.01 14:10:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1797.39	1797.40	1	1797.40	0.00	0.00	745.64	0.0013	0		0	0	0.00	direction_mode_block	
2022.07.01 20:15:00	2022.07.01 20:15:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1807.08	1807.18	10	1807.08	0.00	0.00	350.00	0.0286	0		0	0	0.00	direction_mode_block	
2022.07.01 20:45:00	2022.07.01 20:45:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1807.46	1807.50	4	1807.46	0.00	0.00	350.00	0.0114	0		0	0	0.00	direction_mode_block	
2022.07.04 03:55:00	2022.07.04 03:55:00	BT_A1_XAU_SHORT_WR50_S4_M5_EMA_TREND_STRUCTURAL	1025742	XAUUSD	932200	GUARD_BLOCK	LONG	0.00	1812.08	1812.12	4	1812.07	0.00	0.00	350.00	0.0114	0		0	0	0.00	direction_mode_block	
