entry_time,entry_date,entry_hour,entry_session,direction,entry_deal,volume,entry_price,entry_comment,exit_time,exit_date,exit_hour,exit_session,date,hour,session,exit_deal,exit_price,profit_aed,balance,exit_comment
2022.07.01 04:45:00,2022-07-01,4,night,SHORT,2,0.01,1801.45,A1_M5_MOM_WR50_S5_V2,2022.07.01 07:11:30,2022-07-01,7,morning,2022-07-01,4,night,3,1794.43,7.02,1007.02,tp 1794.45
2022.07.01 10:45:00,2022-07-01,10,morning,SHORT,4,0.01,1790.09,A1_M5_MOM_WR50_S5_V2,2022.07.01 13:04:14,2022-07-01,13,afternoon,2022-07-01,10,morning,5,1794.09,-4.0,1003.02,sl 1794.09
2022.07.05 11:30:00,2022-07-05,11,morning,SHORT,6,0.01,1798.60,A1_M5_MOM_WR50_S5_V2,2022.07.05 12:16:58,2022-07-05,12,afternoon,2022-07-05,11,morning,7,1802.11,-3.51,999.51,sl 1802.10
2022.07.05 13:55:00,2022-07-05,13,afternoon,SHORT,8,0.01,1786.08,A1_M5_MOM_WR50_S5_V2,2022.07.05 14:03:41,2022-07-05,14,afternoon,2022-07-05,13,afternoon,9,1778.16,7.92,1007.43,tp 1778.16
2022.07.05 14:05:00,2022-07-05,14,afternoon,SHORT,10,0.01,1777.61,A1_M5_MOM_WR50_S5_V2,2022.07.06 14:02:31,2022-07-06,14,afternoon,2022-07-05,14,afternoon,11,1755.35,22.26,1029.69,tp 1755.35
2022.07.06 14:35:00,2022-07-06,14,afternoon,SHORT,12,0.01,1753.74,A1_M5_MOM_WR50_S5_V2,2022.07.06 15:17:41,2022-07-06,15,afternoon,2022-07-06,14,afternoon,13,1736.63,17.11,1046.8,tp 1736.65
2022.07.06 15:40:00,2022-07-06,15,afternoon,SHORT,14,0.01,1736.93,A1_M5_MOM_WR50_S5_V2,2022.07.06 19:15:39,2022-07-06,19,evening,2022-07-06,15,afternoon,15,1742.01,-5.08,1041.72,sl 1741.98
2022.07.07 01:40:00,2022-07-07,1,night,SHORT,16,0.01,1738.82,A1_M5_MOM_WR50_S5_V2,2022.07.07 02:44:16,2022-07-07,2,night,2022-07-07,1,night,17,1742.32,-3.5,1038.22,sl 1742.32
2022.07.07 07:10:00,2022-07-07,7,morning,SHORT,18,0.01,1743.15,A1_M5_MOM_WR50_S5_V2,2022.07.07 13:49:03,2022-07-07,13,afternoon,2022-07-07,7,morning,19,1746.66,-3.51,1034.71,sl 1746.65
2022.07.11 07:50:00,2022-07-11,7,morning,SHORT,20,0.01,1736.31,A1_M5_MOM_WR50_S5_V2,2022.07.11 09:13:05,2022-07-11,9,morning,2022-07-11,7,morning,21,1739.83,-3.52,1031.19,sl 1739.81
2022.07.11 09:50:00,2022-07-11,9,morning,SHORT,22,0.01,1735.57,A1_M5_MOM_WR50_S5_V2,2022.07.11 13:38:37,2022-07-11,13,afternoon,2022-07-11,9,morning,23,1739.07,-3.5,1027.69,sl 1739.07
2022.07.11 17:00:00,2022-07-11,17,evening,SHORT,24,0.01,1735.05,A1_M5_MOM_WR50_S5_V2,2022.07.12 01:01:35,2022-07-12,1,night,2022-07-11,17,evening,25,1728.04,7.01,1034.7,tp 1728.05
2022.07.12 01:10:00,2022-07-12,1,night,SHORT,26,0.01,1727.35,A1_M5_MOM_WR50_S5_V2,2022.07.12 01:30:18,2022-07-12,1,night,2022-07-12,1,night,27,1733.52,-6.17,1028.53,sl 1733.52
2022.07.12 04:05:00,2022-07-12,4,night,SHORT,28,0.01,1731.95,A1_M5_MOM_WR50_S5_V2,2022.07.12 06:42:38,2022-07-12,6,morning,2022-07-12,4,night,29,1735.45,-3.5,1025.03,sl 1735.45
2022.07.12 13:10:00,2022-07-12,13,afternoon,SHORT,30,0.01,1731.39,A1_M5_MOM_WR50_S5_V2,2022.07.13 00:53:38,2022-07-13,0,night,2022-07-12,13,afternoon,31,1723.36,8.03,1033.06,tp 1723.38
2022.07.14 01:10:00,2022-07-14,1,night,SHORT,32,0.01,1728.09,A1_M5_MOM_WR50_S5_V2,2022.07.14 03:05:15,2022-07-14,3,night,2022-07-14,1,night,33,1731.60,-3.51,1029.55,sl 1731.59
2022.07.14 05:25:00,2022-07-14,5,night,SHORT,34,0.01,1727.25,A1_M5_MOM_WR50_S5_V2,2022.07.14 07:00:39,2022-07-14,7,morning,2022-07-14,5,night,35,1720.25,7.0,1036.55,tp 1720.25
2022.07.14 07:25:00,2022-07-14,7,morning,SHORT,36,0.01,1719.08,A1_M5_MOM_WR50_S5_V2,2022.07.14 10:57:59,2022-07-14,10,morning,2022-07-14,7,morning,37,1712.07,7.01,1043.56,tp 1712.08
2022.07.14 13:35:00,2022-07-14,13,afternoon,SHORT,38,0.01,1703.34,A1_M5_MOM_WR50_S5_V2,2022.07.14 15:00:39,2022-07-14,15,afternoon,2022-07-14,13,afternoon,39,1709.78,-6.44,1037.12,sl 1709.77
2022.07.15 06:25:00,2022-07-15,6,morning,SHORT,40,0.01,1705.47,A1_M5_MOM_WR50_S5_V2,2022.07.15 12:37:32,2022-07-15,12,afternoon,2022-07-15,6,morning,41,1709.00,-3.53,1033.59,sl 1708.97
2022.07.18 18:00:00,2022-07-18,18,evening,SHORT,42,0.01,1709.89,A1_M5_MOM_WR50_S5_V2,2022.07.19 09:31:41,2022-07-19,9,morning,2022-07-18,18,evening,43,1713.40,-3.51,1030.08,sl 1713.39
2022.07.20 06:45:00,2022-07-20,6,morning,SHORT,44,0.01,1706.20,A1_M5_MOM_WR50_S5_V2,2022.07.20 09:15:13,2022-07-20,9,morning,2022-07-20,6,morning,45,1709.72,-3.52,1026.56,sl 1709.70
2022.07.20 17:40:00,2022-07-20,17,evening,SHORT,46,0.01,1702.35,A1_M5_MOM_WR50_S5_V2,2022.07.20 20:00:20,2022-07-20,20,night,2022-07-20,17,evening,47,1695.29,7.06,1033.62,tp 1695.35
2022.07.21 09:05:00,2022-07-21,9,morning,SHORT,48,0.01,1682.72,A1_M5_MOM_WR50_S5_V2,2022.07.21 09:40:11,2022-07-21,9,morning,2022-07-21,9,morning,49,1686.52,-3.8,1029.82,sl 1686.52
2022.08.19 04:05:00,2022-08-19,4,night,SHORT,50,0.01,1753.74,A1_M5_MOM_WR50_S5_V2,2022.08.19 06:26:24,2022-08-19,6,morning,2022-08-19,4,night,51,1757.24,-3.5,1026.32,sl 1757.24
2022.08.19 14:00:00,2022-08-19,14,afternoon,SHORT,52,0.01,1751.61,A1_M5_MOM_WR50_S5_V2,2022.08.22 04:54:03,2022-08-22,4,night,2022-08-19,14,afternoon,53,1744.59,7.02,1033.34,tp 1744.61
2022.08.22 04:55:00,2022-08-22,4,night,SHORT,54,0.01,1743.96,A1_M5_MOM_WR50_S5_V2,2022.08.22 07:59:29,2022-08-22,7,morning,2022-08-22,4,night,55,1736.96,7.0,1040.34,tp 1736.96
2022.08.22 08:25:00,2022-08-22,8,morning,SHORT,56,0.01,1735.03,A1_M5_MOM_WR50_S5_V2,2022.08.22 09:55:41,2022-08-22,9,morning,2022-08-22,8,morning,57,1738.53,-3.5,1036.84,sl 1738.53
2022.08.22 19:45:00,2022-08-22,19,evening,SHORT,58,0.01,1734.46,A1_M5_MOM_WR50_S5_V2,2022.08.23 00:30:15,2022-08-23,0,night,2022-08-22,19,evening,59,1737.97,-3.51,1033.33,sl 1737.96
2022.08.23 05:10:00,2022-08-23,5,night,SHORT,60,0.01,1736.78,A1_M5_MOM_WR50_S5_V2,2022.08.23 08:16:18,2022-08-23,8,morning,2022-08-23,5,night,61,1740.29,-3.51,1029.82,sl 1740.28
2022.08.26 15:15:00,2022-08-26,15,afternoon,SHORT,62,0.01,1736.67,A1_M5_MOM_WR50_S5_V2,2022.08.29 01:59:40,2022-08-29,1,night,2022-08-26,15,afternoon,63,1723.88,12.79,1042.61,tp 1723.88
2022.08.29 02:00:00,2022-08-29,2,night,SHORT,64,0.01,1723.80,A1_M5_MOM_WR50_S5_V2,2022.08.29 12:24:15,2022-08-29,12,afternoon,2022-08-29,2,night,65,1730.89,-7.09,1035.52,sl 1730.88
2022.08.30 07:15:00,2022-08-30,7,morning,SHORT,66,0.01,1731.08,A1_M5_MOM_WR50_S5_V2,2022.08.30 08:06:20,2022-08-30,8,morning,2022-08-30,7,morning,67,1734.59,-3.51,1032.01,sl 1734.58
2022.08.30 11:50:00,2022-08-30,11,morning,SHORT,68,0.01,1732.04,A1_M5_MOM_WR50_S5_V2,2022.08.30 14:20:04,2022-08-30,14,afternoon,2022-08-30,11,morning,69,1725.04,7.0,1039.01,tp 1725.04
2022.08.30 22:15:00,2022-08-30,22,night,SHORT,70,0.01,1722.83,A1_M5_MOM_WR50_S5_V2,2022.08.31 05:25:31,2022-08-31,5,night,2022-08-30,22,night,71,1726.33,-3.5,1035.51,sl 1726.33
2022.08.31 06:30:00,2022-08-31,6,morning,SHORT,72,0.01,1722.02,A1_M5_MOM_WR50_S5_V2,2022.08.31 08:24:04,2022-08-31,8,morning,2022-08-31,6,morning,73,1714.99,7.03,1042.54,tp 1715.02
2022.08.31 17:40:00,2022-08-31,17,evening,SHORT,74,0.01,1713.85,A1_M5_MOM_WR50_S5_V2,2022.08.31 22:21:25,2022-08-31,22,night,2022-08-31,17,evening,75,1706.83,7.02,1049.56,tp 1706.85
