section,bucket,threshold_r,rule,raw_rows,family_unique_events,primary_rows,observer_duplicate_rows,median_proxy_cost_r,mean_proxy_cost_r,median_net_after_proxy_r,median_stop_distance_points,median_spread_points,normal_count,cost_watch_count,suspend_family_count
cost_gate_threshold,proxy_cost_gt_0.20R,0.2,proxy_cost_r > 0.20,61,34,34,27,0.287,0.3419,0.2246,417.23,50.0,38,3,20
cost_gate_threshold,proxy_cost_gt_0.25R,0.25,proxy_cost_r > 0.25,50,28,28,22,0.3054,0.3678,0.2061,399.46,50.0,27,3,20
cost_gate_threshold,proxy_cost_gt_0.30R,0.3,proxy_cost_r > 0.30,27,15,15,12,0.4801,0.4533,0.0315,312.02,50.0,4,3,20
cost_gate_threshold,proxy_cost_gt_0.35R,0.35,proxy_cost_r > 0.35,23,13,13,10,0.4804,0.479,0.0312,283.09,50.0,0,3,20
bucket,0_to_249,,0_to_249,11,6,6,5,0.5197,0.5342,-0.0081,211.67,50.0,0,0,11
bucket,250_to_499,,250_to_499,41,23,23,18,0.2689,0.3108,0.2427,417.54,50.0,29,3,9
bucket,500_to_749,,500_to_749,29,15,15,14,0.1838,0.1962,0.3278,614.72,50.0,29,0,0
bucket,750_plus,,750_plus,8,5,5,3,0.1514,0.1512,0.3602,880.43,62.5,8,0,0
bucket,spread_lte_median_50_0,,spread_lte_median_50_0,70,38,38,32,0.2529,0.2711,0.2587,434.91,50.0,57,2,11
bucket,spread_median_to_p95_50_0_75_0,,spread_median_to_p95_50_0_75_0,19,11,11,8,0.361,0.3442,0.1506,443.17,75.0,9,1,9
bucket,spread_gt_p95_75_0,,spread_gt_p95_75_0,0,0,0,0,,,,,,0,0,0
kill_state,COST_WATCH,,kill_rule_state,3,2,2,1,0.3525,0.3553,0.1591,312.02,50.0,0,3,0
kill_state,NORMAL,,kill_rule_state,66,36,36,30,0.2252,0.2197,0.2864,537.825,50.0,66,0,0
kill_state,SUSPEND_FAMILY,,kill_rule_state,20,11,11,9,0.4822,0.4976,0.0294,229.12,50.0,0,0,20
