family_event_id,symbol,bar_time,group_size,classification,differing_fields,source_cluster_ids,observers,directions,level_kinds,level_prices,entry_prices,stop_losses,take_profits,stop_distance_points
FAM00001,XAUUSD,2026.05.22 11:25:00,2,TRUE_DUPLICATE,observer,WS001;WS002,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4514.67,4511.74,4516.09,4505.22,434.91
FAM00002,XAUUSD,2026.05.22 11:50:00,2,TRUE_DUPLICATE,observer,WS003;WS004,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4517.11,4522.94,4516.58,4532.47,635.57
FAM00003,XAUUSD,2026.05.22 12:45:00,2,TRUE_DUPLICATE,observer,WS005;WS006,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4517.11,4518.58,4514.30,4525.01,428.49
FAM00004,XAUUSD,2026.05.22 12:50:00,2,TRUE_DUPLICATE,observer,WS007;WS008,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4517.11,4519.58,4515.40,4525.85,417.78
FAM00005,XAUUSD,2026.05.22 14:05:00,2,TRUE_DUPLICATE,observer,WS009;WS010,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4514.87,4511.45,4517.35,4502.59,590.46
FAM00006,XAUUSD,2026.05.25 05:50:00,2,TRUE_DUPLICATE,observer,WS011;WS012,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4559.47,4555.14,4561.13,4546.16,598.55
FAM00007,XAUUSD,2026.05.25 07:40:00,2,TRUE_DUPLICATE,observer,WS013;WS014,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4559.47,4553.95,4562.05,4541.80,810.11
FAM00008,XAUUSD,2026.05.25 12:50:00,2,TRUE_DUPLICATE,observer,WS015;WS016,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4567.36,4566.19,4569.52,4561.19,333.04
FAM00009,XAUUSD,2026.05.25 13:20:00,2,TRUE_DUPLICATE,observer,WS017;WS018,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4567.36,4562.45,4568.88,4552.81,642.90
FAM00010,XAUUSD,2026.05.25 15:05:00,2,TRUE_DUPLICATE,observer,WS019;WS020,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4565.43,4566.87,4564.95,4569.75,191.81
FAM00011,XAUUSD,2026.05.25 15:15:00,2,TRUE_DUPLICATE,observer,WS021;WS022,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4565.43,4568.04,4565.21,4572.29,283.09
FAM00012,XAUUSD,2026.05.25 16:45:00,2,TRUE_DUPLICATE,observer,WS023;WS024,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4570.39,4571.01,4569.24,4573.67,177.04
FAM00013,XAUUSD,2026.05.25 16:50:00,2,TRUE_DUPLICATE,observer,WS025;WS026,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4570.39,4572.27,4569.98,4575.71,229.12
FAM00014,XAUUSD,2026.05.25 22:20:00,2,TRUE_DUPLICATE,observer,WS027;WS028,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4572.59,4574.04,4571.76,4577.46,228.11
FAM00015,XAUUSD,2026.05.25 22:45:00,2,TRUE_DUPLICATE,observer,WS029;WS030,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4571.28,4573.37,4569.19,4579.63,417.54
FAM00016,XAUUSD,2026.05.26 00:55:00,1,TRUE_DUPLICATE,,WS031,breakout_retest,SHORT,previous_daily_low,4550.23,4544.51,4552.17,4533.02,765.82
FAM00017,XAUUSD,2026.05.26 05:50:00,2,TRUE_DUPLICATE,observer,WS032;WS033,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4529.75,4527.70,4533.13,4519.56,542.99
FAM00018,XAUUSD,2026.05.26 07:40:00,2,TRUE_DUPLICATE,observer,WS034;WS035,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4528.04,4522.83,4530.14,4511.87,730.56
FAM00019,XAUUSD,2026.05.26 08:30:00,2,TRUE_DUPLICATE,observer,WS036;WS037,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4528.04,4525.98,4530.32,4519.46,434.44
FAM00020,XAUUSD,2026.05.26 12:00:00,2,TRUE_DUPLICATE,observer,WS038;WS039,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4511.97,4510.47,4516.04,4502.11,557.44
FAM00021,XAUUSD,2026.05.26 12:15:00,2,TRUE_DUPLICATE,observer,WS040;WS041,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4511.97,4506.21,4512.59,4496.64,637.74
FAM00022,XAUUSD,2026.05.26 12:30:00,2,TRUE_DUPLICATE,observer,WS042;WS043,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4511.97,4507.95,4513.28,4499.96,532.66
FAM00023,XAUUSD,2026.05.26 13:20:00,2,TRUE_DUPLICATE,observer,WS044;WS045,breakout_retest;swing_breakout_retest_v0,LONG,latest_swing_high,4515.76,4522.42,4515.02,4533.53,740.49
FAM00024,XAUUSD,2026.05.26 14:15:00,2,TRUE_DUPLICATE,observer,WS046;WS047,breakout_retest;swing_breakout_retest_v0,SHORT,latest_swing_low,4515.71,4514.70,4520.85,4505.48,614.72
